Unnamed: 0,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290,full_promt
10,2021,862,VEN,1270,es,1,20,1,1270,2,2,1,1,0,-3,3,2,2,862003,Es 2021. Tu edad es 20. Eres un hombre. Vives en Venezuela. El nivel más alto de educación que has alcanzado es la educación primaria. Tienes un nivel de ingresos medio.Nunca tuviste un trabajo.No puedes decir nada sobre tu sector de empleo o nunca has tenido un trabajo.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es convivir como casados.El número de hijos que tienes 2. Tu denominación religiosa es protestante.nanHablas español en casa.
11,2020,320,GTM,1270,es,1,18,1,1270,6,0,3,2,-2,-2,3,2,1,320003,Es 2020. Tu edad es 18. Eres un hombre. Vives en Guatemala. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.nannanTe clasificas como perteneciente a la clase media baja.Su estado civil actual es soltero.El número de hijos que tienes 0. Tu denominación religiosa es católica romana.nanHablas español en casa.
12,2017,32,ARG,1270,es,2,37,2,1270,3,1,3,2,8,2,3,2,1,32001,"Es 2017. Tu edad es 37. Eres una mujer. Vives en Argentina. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador no cualificado (por ejemplo: peón, mozo, trabajador no cualificado de fábrica, limpiador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es divorciado.El número de hijos que tienes 1. Tu denominación religiosa es católica romana.nanHablas español en casa."
13,2020,762,TJK,4160,tg,2,38,2,4160,1,4,3,2,9,-2,5,3,5,762001,"Ин соли 2020 аст. Сину соли шумо чанд аст? 38. Шумо зан ҳастед. Шумо дар Тоҷикистон зиндагӣ мекунед. Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти миёнаи олӣ мебошад. Шумо сатҳи баланди даромад доред.Гурӯҳи касбии шумо коргари хоҷагӣ мебошад (масалан: коргари хоҷагӣ, ронандаи трактор).nanШумо худро ба табақаи поёнӣ мансуб медонед.Вазъи ҳозираи оилавии шумо оиладор аст.Шумораи фарзандоне, ки шумо доред 4. Мазҳаби динии шумо мусалмон аст.nanШумо дар хона бо забони тоҷикӣ гап мезанед."
14,2020,558,NIC,1270,es,1,31,2,1270,2,4,2,1,4,1,3,2,0,558001,"Es 2020. Tu edad es 31. Eres un hombre. Vives en Nicaragua. El nivel más alto de educación que has alcanzado es la educación secundaria inferior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).Sector de empleo en el que trabajas es el gobierno o una institución pública.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es convivir como casados.El número de hijos que tienes 4. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
15,2018,764,THA,4230,th,2,22,1,1260,6,0,2,1,4,-2,3,1,7,764001,มันคือปี 2018 อายุของคุณคือ 22. คุณเป็นผู้หญิง คุณอาศัยอยู่ในประเทศไทย ระดับการศึกษาสูงสุดที่คุณสำเร็จคือมัธยมศึกษาตอนต้น คุณมีรายได้ต่ำกลุ่มอาชีพของคุณคือการขาย (เช่น ผู้จัดการฝ่ายขาย เจ้าของร้าน พนักงานขาย ตัวแทนประกันภัย ผู้ซื้อ)nanคุณจัดตัวเองว่าอยู่ในชนชั้นกลางระดับล่างสถานภาพการสมรสปัจจุบันของคุณคือโสดจำนวนบุตรที่คุณมี 0. นิกายทางศาสนาของคุณคือพุทธnanคุณพูดภาษาไทยที่บ้าน
16,2018,484,MEX,1270,es,1,40,2,1270,1,1,3,2,5,2,4,2,1,484003,"Es 2018. Tu edad es 40. Eres un hombre. Vives en México. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es de servicios (por ejemplo: propietario de restaurante, oficial de policía, camarera, barbero, cuidador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase trabajadora.Su estado civil actual es casado.El número de hijos que tienes 1. Tu denominación religiosa es católica romana.nanHablas español en casa."
17,2018,642,ROU,3580,ro,1,59,3,3580,1,2,7,3,1,1,2,2,3,642005,"Este anul 2018. Vârsta ta este 59. Ești bărbat. Locuiești în România. Cel mai înalt nivel de educație pe care l-ați atins este master sau echivalent. Aveți un nivel mediu de venit.Grupul dumneavoastră ocupațional este profesional și tehnic (de exemplu: doctor, profesor, inginer, artist, contabil, asistent medical).Sectorul de activitate în care lucrați este guvernamental sau instituție publică.Te clasifici ca aparținând clasei de mijloc superioare.Statutul dumneavoastră marital actual este căsătorit/căsătorită.Numărul de copii pe care îi aveți 2. Confesiunea dumneavoastră religioasă este ortodoxă (rusă, greacă sau altă).nanVorbești limba română, moldovenească acasă."
18,2018,276,DEU,1530,de,2,62,3,1530,1,3,7,3,1,2,2,2,0,-4,"Es ist 2018. Ihr Alter ist 62. Du bist eine Frau. Du lebst in Deutschland. Der höchste Bildungsabschluss, den Sie erreicht haben, ist ein Master oder ein gleichwertiger Abschluss. Sie haben ein mittleres Einkommensniveau.Ihre Berufsgruppe ist professionell und technisch (zum Beispiel: Arzt, Lehrer, Ingenieur, Künstler, Buchhalter, Krankenschwester).Der Beschäftigungssektor, in dem Sie tätig sind, ist privates Gewerbe oder Industrie.Sie ordnen sich der oberen Mittelschicht zu.Ihr aktueller Familienstand ist verheiratet.Die Anzahl der Kinder, die Sie haben 3. Sie gehören keiner religiösen Konfession an.NoneSie sprechen zu Hause Deutsch."
19,2022,528,NLD,1190,nl,1,75,3,1190,1,2,6,3,1,1,2,2,2,528001,"Het is 2022. Uw leeftijd is 75. Jij bent een man. Je woont in Nederland. Het hoogste opleidingsniveau dat u heeft behaald, is een bachelor of gelijkwaardig. Je hebt een gemiddeld inkomensniveau.Uw beroepsgroep is professioneel en technisch (bijvoorbeeld: dokter, leraar, ingenieur, kunstenaar, accountant, verpleegkundige).Sector van tewerkstelling waarin u werkt is de overheid of een openbare instelling.Je classificeert jezelf als behorend tot de hogere middenklasse.Uw huidige burgerlijke staat is gehuwd.Het aantal kinderen dat je hebt 2. Uw religieuze denominatie is protestants.nan. "
20,2022,203,CZE,1040,cs,2,77,3,1040,5,2,2,1,7,-1,5,1,0,203003,"Je rok 2022. Váš věk je 77. Jsi žena. Žijete v Česku. Nejvyšší úroveň vzdělání, které jste dosáhli, je nižší střední vzdělání. Máte nízkou úroveň příjmu.Vaše pracovní skupina je polokvalifikovaný pracovník (například: zedník, řidič autobusu, pracovník v konzervárně, tesař, klempíř, pekař).nanKlasifikujete se jako příslušník nižší třídy.Váš současný rodinný stav je ovdovělý.Počet dětí, které máte 2. Nejste příslušníkem žádné náboženské denominace.. Mluvíte doma česky."
21,2018,50,BGD,490,bn,2,29,1,490,1,1,2,1,0,-3,4,2,5,50006,এটি ২০১৮ সাল। আপনার বয়স হল 29. তুমি একজন নারী। আপনি বাংলাদেশে থাকেন। আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হলো নিম্ন মাধ্যমিক শিক্ষা। আপনার আয়ের স্তর মধ্যম।তোমার কখনো কোনো চাকরি ছিল না।আপনি আপনার কর্মসংস্থানের ক্ষেত্র সম্পর্কে কিছু বলতে পারবেন না অথবা আপনার কখনও কোনো চাকরি ছিল না।আপনি নিজেকে শ্রমজীবী শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।আপনার বর্তমান বৈবাহিক অবস্থা বিবাহিত।আপনার কতজন সন্তান আছে 1. আপনার ধর্মীয় সম্প্রদায় মুসলিম।আপনার জাতিগত অন্তর্ভুক্তি/জাতিগত গোষ্ঠী হল বাঙালি।আপনি বাড়িতে বাংলা ভাষায় কথা বলেন।
22,2022,826,GBR,1240,en,1,47,2,1240,6,-4,5,3,3,2,-4,2,0,826100,"It is 2022. Your age is 47. You are a man. You live in Great Britain. The highest level of education you have achieved is short-cycle tertiary education You have a medium income level.Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).Sector of employment you work in is private business or industry.nanYour current marital status is single.The number of children you have -4. You do not belong to any religious denomination.Your racial belonging/ethnic group is English / Welsh / Scottish / Northern Irish / British.You speak English language at home."
23,2019,788,TUN,170,ar,2,53,3,4360,1,3,-5,-5,8,2,3,1,5,788005,إنه عام 2019. عمرك هو 53. أنتِ امرأة. أنت تعيش في تونس. nan لديك مستوى دخل منخفض.مجموعتك المهنية هي عامل غير ماهر (على سبيل المثال: عامل، حمّال، عامل مصنع غير ماهر، منظف).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 3. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/الجماعة الإثنية هو عربي.أنت تتحدث اللغة العربية في المنزل.
24,2020,124,CAN,1240,en,2,41,2,1400,1,2,3,2,2,1,2,2,0,124001,"It is 2020. Your age is 41. You are a woman. You live in Canada. The highest level of education you have achieved is upper secondary education You have a medium income level.Your occupational group is higher administrative (for example: banker, executive in big business, high government official, union official).Sector of employment you work in is government or public institution.You classify yourself as belonging to upper middle class.Your current marital status is married.The number of children you have 2. You do not belong to any religious denomination.Your racial belonging/ethnic group is Caucasian (White).You speak English language at home."
25,2020,364,IRN,3490,fa,1,80,3,310,1,2,7,3,1,1,3,2,5,364002,سال ۲۰۲۰ است. سن شما چند است؟ 80. شما یک مرد هستید. شما در ایران زندگی می‌کنید. بالاترین سطح تحصیلاتی که شما به دست آورده‌اید، کارشناسی ارشد یا معادل آن است. شما دارای سطح درآمد متوسطی هستید.گروه شغلی شما حرفه‌ای و فنی است (برای مثال: دکتر، معلم، مهندس، هنرمند، حسابدار، پرستار).بخش شغلی که در آن کار می‌کنید دولت یا نهاد عمومی است.شما خود را به عنوان طبقه متوسط پایین طبقه‌بندی می‌کنید.وضعیت تأهل کنونی شما متأهل است.تعداد فرزندان شما چند نفر است؟ 2. فرقه مذهبی شما مسلمان است.nanشما در خانه به زبان فارسی صحبت می‌کنید.
26,2017,643,RUS,3630,ru,1,82,3,3630,5,2,0,1,9,1,3,2,3,643001,"Сейчас 2017 год. Ваш возраст - 82. Вы мужчина. Вы живёте в Российской Федерации. Наивысший уровень образования, которого вы достигли, - это дошкольное образование / отсутствие образования. У вас средний уровень дохода.Ваша профессиональная группа - сельскохозяйственный работник (например: сельскохозяйственный рабочий, тракторист).Сектор занятости, в котором вы работаете, - это государственное или общественное учреждение.Вы относите себя к нижнему среднему классу.Ваше текущее семейное положение - вдовец/вдова.Количество ваших детей 2. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
27,2020,558,NIC,1270,es,2,55,3,1270,2,0,6,3,6,2,2,2,0,558001,"Es 2020. Tu edad es 55. Eres una mujer. Vives en Nicaragua. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador cualificado (por ejemplo: capataz, mecánico de motores, impresor, costurera, matricero, electricista).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es convivir como casados.El número de hijos que tienes 0. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
28,2021,504,MAR,170,ar,2,29,1,170,1,0,2,1,3,2,2,3,5,504005,إنه عام 2021. عمرك هو 29. أنتِ امرأة. .  أعلى مستوى تعليمي حققته هو التعليم الثانوي الأدنى. لديك مستوى دخل مرتفع.مجموعة وظيفتك هي الأعمال المكتبية (على سبيل المثال: سكرتير، كاتب، مدير مكتب، موظف حكومي، محاسب).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى العليا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
29,2019,446,MAC,2870,zh,1,47,2,790,1,1,6,3,1,3,3,2,7,446006,这是2019年。 您的年龄是 47. 你是一个男人。 你住在澳门。 您所获得的最高学历是学士或同等学历。 您的收入水平属于中等。您的职业类别是专业技术人员（例如：医生、教师、工程师、艺术家、会计师、护士）。您工作的就业领域是私人非营利组织。您将自己归类为中下阶层。您的当前婚姻状况是已婚。您有多少个孩子 1. 您的宗教信仰是佛教。nan你在家说普通话。
30,2017,68,BOL,1270,es,2,20,1,1270,6,0,6,3,3,1,3,3,1,68001,"Es 2017. Tu edad es 20. Eres una mujer. Vives en Bolivia. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un alto nivel de ingresos.Tu grupo ocupacional es administrativo (por ejemplo: secretario, oficinista, gerente de oficina, funcionario, contable).Sector de empleo en el que trabajas es el gobierno o una institución pública.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es soltero.El número de hijos que tienes 0. Tu denominación religiosa es católica romana.nanHablas español en casa."
31,2018,76,BRA,3530,pt,2,48,2,3530,5,2,6,3,2,1,4,1,1,76002,"É 2018. Sua idade é 48. Você é uma mulher. Você mora no Brasil. O nível mais alto de educação que você alcançou é bacharelado ou equivalente. Você tem um nível de renda baixo.Seu grupo ocupacional é administrativo superior (por exemplo: banqueiro, executivo em grandes empresas, alto funcionário do governo, dirigente sindical).Setor de emprego em que você trabalha é governo ou instituição pública.Você se classifica como pertencente à classe trabalhadora.Seu estado civil atual é viúvo(a).O número de filhos que você tem 2. Sua denominação religiosa é Católica Romana.nanVocê fala português em casa."
32,2019,608,PHL,820,ceb,2,51,3,3670,1,6,0,1,5,2,5,1,1,608017,"Kini ang tuig 2019. Ang imong edad kay 51. Ikaw usa ka babaye. Nakapuyo ka sa Pilipinas. Ang labing taas nga lebel sa edukasyon nga imong naangkon kay edukasyon sa sayong pagkabata / walay edukasyon. Aduna kay ubos nga kita.Ang imong propesyonal nga grupo kay serbisyo (pananglitan: tag-iya sa restawran, opisyal sa pulis, waitress, barbero, tig-atiman).Ang sektor sa imong pagtrabaho kay pribadong negosyo o industriya.Ikaw nagklasipikar sa imong kaugalingon nga sakop sa ubos nga klase.Ang imong kasamtangang kahimtang sa kaminyoon kay minyo.Ang gidaghanon sa mga bata nga imong gipanganak 6. Ang imong relihiyosong denominasyon kay Romano Katoliko.Ang imong etniko nga grupo kay Sama.Nagstorya ka ug Cebuano nga pinulongan sa balay."
33,2018,566,NGA,1240,en,2,58,3,-2,1,5,-5,-5,1,-1,-1,2,2,566999,"It is 2018. Your age is 58. You are a woman. You live in Nigeria. nan You have a medium income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).nannanYour current marital status is married.The number of children you have 5. Your religious denomination is Protestant.Your racial belonging/ethnic group is Others.You speak English language at home."
34,2017,68,BOL,1270,es,1,38,2,1270,1,3,3,2,5,2,2,3,1,68003,"Es 2017. Tu edad es 38. Eres un hombre. Vives en Bolivia. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un alto nivel de ingresos.Tu grupo ocupacional es de servicios (por ejemplo: propietario de restaurante, oficial de policía, camarera, barbero, cuidador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es casado.El número de hijos que tienes 3. Tu denominación religiosa es católica romana.nanHablas español en casa."
35,2020,554,NZL,1240,en,2,66,3,1240,1,2,6,3,1,3,2,2,0,-4,"It is 2020. Your age is 66. You are a woman. You live in New Zealand. The highest level of education you have achieved is bachelor or equivalent You have a medium income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).Sector of employment you work in is private non-profit organization.You classify yourself as belonging to upper middle class.Your current marital status is married.The number of children you have 2. You do not belong to any religious denomination.NoneYou speak English language at home."
36,2018,170,COL,1270,es,1,42,2,1270,6,0,2,1,4,2,5,1,0,170011,"Es 2018. Tu edad es 42. Eres un hombre. Vives en Colombia. El nivel más alto de educación que has alcanzado es la educación secundaria inferior. Tienes un nivel de ingresos bajo.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase baja.Su estado civil actual es soltero.El número de hijos que tienes 0. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
37,2018,344,HKG,790,zh,1,27,1,790,6,0,6,3,3,-2,3,2,0,344001,这是2018年。 您的年龄是 27. 你是一个男人。 你住在香港。 您所获得的最高学历是学士或同等学历。 您的收入水平属于中等。您的职业类别是文职（例如：秘书、职员、办公室经理、公务员、簿记员）。nan您将自己归类为中下阶层。您的当前婚姻状况是单身。您有多少个孩子 0. 您不属于任何宗教教派。nan你在家说粤语。
38,2018,400,JOR,170,ar,1,61,3,170,1,10,2,1,7,2,5,1,5,-4,إنه عام 2018. عمرك هو 61. أنت رجل. أنت تعيش في الأردن. أعلى مستوى تعليمي حققته هو التعليم الثانوي الأدنى. لديك مستوى دخل منخفض.مجموعة وظيفتك هي عامل شبه ماهر (على سبيل المثال: عامل بناء، سائق حافلة، عامل في مصنع تعليب، نجار، عامل صفائح معدنية، خباز).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 10. الديانة التي تنتمي إليها هي الإسلام.Noneأنت تتحدث اللغة العربية في المنزل.
39,2020,804,UKR,3630,ru,2,31,2,9000,1,1,7,3,1,2,2,2,3,804001,"Сейчас 2020 год. Ваш возраст - 31. Вы женщина. Вы живёте в Украине. Наивысший уровень образования, который вы достигли, - это магистр или эквивалент. У вас средний уровень дохода.Ваша профессиональная группа - профессиональная и техническая (например: врач, учитель, инженер, художник, бухгалтер, медсестра).Сектор занятости, в котором вы работаете, - это частный бизнес или промышленность.Вы относите себя к верхнему среднему классу.Ваше текущее семейное положение — женат/замужем.Количество ваших детей 1. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
40,2018,76,BRA,3530,pt,1,27,1,3530,6,0,2,1,8,-2,4,1,0,76001,"É 2018. Sua idade é 27. Você é um homem. Você mora no Brasil. O nível mais alto de educação que você alcançou é o ensino secundário inferior. Você tem um nível de renda baixo.Seu grupo ocupacional é trabalhador não qualificado (por exemplo: operário, carregador, trabalhador não qualificado de fábrica, faxineiro).nanVocê se classifica como pertencente à classe trabalhadora.Seu estado civil atual é solteiro.O número de filhos que você tem 0. Você não pertence a nenhuma denominação religiosa.nanVocê fala português em casa."
41,2022,434,LBY,170,ar,1,39,2,170,6,-1,7,3,1,1,2,2,5,434005,إنه عام 2022. عمرك هو 39. أنت رجل. أنت تعيش في ليبيا. أعلى مستوى تعليمي وصلت إليه هو الماجستير أو ما يعادله. لديك مستوى دخل متوسط.مجموعة وظيفتك هي مهنية وتقنية (على سبيل المثال: طبيب، معلم، مهندس، فنان، محاسب، ممرض).قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى العليا.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك -1. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/المجموعة العرقية الخاصة بك هو عربي.أنت تتحدث اللغة العربية في المنزل.
42,2018,484,MEX,1270,es,2,68,3,1270,1,7,0,1,10,3,4,2,1,484003,Es 2018. Tu edad es 68. Eres una mujer. Vives en México. El nivel más alto de educación que ha alcanzado es educación infantil / sin educación. Tienes un nivel de ingresos medio.Su grupo ocupacional es propietario de una granja o administrador de una granja.Sector de empleo en el que trabajas es organización privada sin ánimo de lucro.Te clasificas como perteneciente a la clase trabajadora.Su estado civil actual es casado.El número de hijos que tienes 7. Tu denominación religiosa es católica romana.nanHablas español en casa.
43,2022,528,NLD,1190,nl,2,56,3,1190,6,2,6,3,1,1,2,1,9,528001,"Het is 2022. Uw leeftijd is 56. Jij bent een vrouw. Je woont in Nederland. Het hoogste opleidingsniveau dat u heeft behaald, is een bachelor of gelijkwaardig. Je hebt een laag inkomensniveau.Uw beroepsgroep is professioneel en technisch (bijvoorbeeld: dokter, leraar, ingenieur, kunstenaar, accountant, verpleegkundige).Sector van tewerkstelling waarin u werkt is de overheid of een openbare instelling.Je classificeert jezelf als behorend tot de hogere middenklasse.Uw huidige burgerlijke staat is ongehuwd.Het aantal kinderen dat je hebt 2. nannan. "
44,2020,320,GTM,1270,es,2,57,3,1270,5,1,3,2,1,-2,2,2,2,320003,"Es 2020. Tu edad es 57. Eres una mujer. Vives en Guatemala. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).nanTe clasificas como perteneciente a la clase media alta.Su estado civil actual es viudo/viuda.El número de hijos que tienes 1. Tu denominación religiosa es protestante.nanHablas español en casa."
