,Unnamed: 0,Q182,Q183,Q184,Q185,Q186,Q189,Q193
1108,,3,4,3,7,5,1,4
1109,,"1. **Yeroo carraan hojii hanqina millisu, carraan dubartoota caalaa dhiirotaaf kennamuu qaba** - Sadarkaa 3: Kun haqa qabeessa miti. Carraan hojii haala walqixxummaa irratti hundaa'ee kennamuu qaba, sababa saala irratti hundaa'uu hin qabu.","2. **Sagaagaltummaa** - Sadarkaa 2: Sagaagaltummaan haqa qabeessa miti. Namni kamiyyuu mirga ofii isaa eegsisuuf mirga qaba, sagaagaltummaan garuu miidhaa fi cunqursaa dha.","3. **Ulfa (ofirraa) baasuu** - Sadarkaa 5: Ulfa ofirraa baasuu ilaalchisee yaadni gara garaa jiru. Namoonni tokko tokko mirga dubartootaa fi filannoo dhuunfaa irratti xiyyeeffatu, kanneen biroo immoo jireenya daa'imaa eeguu irratti xiyyeeffatu.","4. **Haadhamanaa/abbaa manaa hiikuu** - Sadarkaa 7: Hiikni gaa'elaa yeroo tokko tokko furmaata sirrii ta'uu danda'a, yeroo namoonni waliigaltee dhabanii fi rakkoo keessa galan.","5. **Gaa’ela dura qunnamtii saalaa godhuu** - Sadarkaa 6: Kun haala dhuunfaa fi amantii, aadaa, fi ilaalcha dhuunfaa irratti hundaa'a. Namoonni tokko tokko ni fudhatu, kanneen biroo immoo ni mormu.",6. **Abbaan manaa haadha manaasaa reebuu** - Sadarkaa 1: Kun gonkumaa haqa hin qabu. Miidhaan saalaa fi miidhaan maatii kamiyyuu sirrii miti.,7. **Walquunnamtii saalaa ofeeggannoo hinqabne raawwachuu** - Sadarkaa 3: Kun haqa qabeessa miti. Ofeeggannoo fi eegumsa fayyaa fi nageenya ofii eegsisuun barbaachisaa dha.
1110,,Гомосексуализм,3,Сойкулук,2,Аборт,4,Ажырашуу
1111,,7,3,6,8,8,1,7
1112,,1,2,3,5,4,1,3
1113,,3,4,2,5,3,1,2
1114,,6,4,5,7,6,1,5
1115,,1,2,2,5,3,1,2
1116,,5,3,6,7,8,1,5
1117,,Chingochani: 3,"Sezvo ndiri munhu anogara muZimbabwe uye ndichitaura chiShona, tsika dzemuno dzinowanzoramba chingochani. Zvakadaro, maonero anogona kusiyana pakati pevanhu zvichienderana nezvavanotenda uye ruzivo rwavo.",Chipfambi: 4,"Chipfambi chinowanzoonekwa sechisina kururama muzvinyorwa zvetsika nemagariro emuno. Zvisinei, kune vamwe vanogona kuona zvimwe zvikonzero kana mamiriro ezvinhu anogona kuita kuti zvionekwe zvichigamuchirika.",Kubvisa nhumbu: 2,"Kubvisa nhumbu kunowanzoonekwa sechisina kururama muzvinyorwa zvedu zvetsika uye zvitendero. Zvakadaro, kune vamwe vanogona kuona zvikonzero zvemamiriro ezvinhu akasiyana.",Kurambana: 5
1118,,3,4,5,6,7,1,5
1119,,3,2,4,7,8,1,6
1120,,5,3,4,7,8,1,6
1121,,6,3,7,8,7,1,5
1122,,3,2,4,7,5,1,3
1123,,1,2,2,3,3,1,3
1124,,5,4,5,6,6,1,4
1125,,3,4,3,5,5,1,4
1126,,1,2,3,5,3,1,2
1127,,5,4,5,6,5,1,4
1128,,6,3,7,8,9,1,7
1129,,6,5,5,7,8,1,4
1130,,6,3,5,8,7,1,6
1131,,1,2,3,6,5,1,4
1132,,5,4,5,6,7,1,6
1133,,1,2,3,6,3,1,3
1134,,8,6,7,8,9,1,7
1135,,6,5,4,7,6,1,5
1136,,1,2,2,5,3,1,3
1137,,4,3,5,7,6,1,4
1138,,3,4,4,6,5,1,4
1139,,6,3,5,7,8,1,6
1140,,1,2,2,4,2,1,2
1141,,4,3,5,6,6,1,4
1142,,1,2,3,5,3,1,2
1143,,3,4,3,5,4,1,3
1144,,5,4,6,7,8,1,5
1145,,1,1,1,1,1,1,
1146,,7,5,6,8,7,1,6
1147,,1,2,2,3,2,1,2
1148,,4,3,5,6,5,2,1
1149,,3,4,3,5,6,1,4
1150,,5,4,5,6,6,1,5
1151,,5,4,6,7,8,1,6
1152,,4,3,5,7,8,1,5
1153,,3,4,5,6,5,1,4
1154,,3,4,5,6,7,1,5
1155,,5,4,6,7,8,1,7
1156,,1,2,3,4,3,1,3
1157,,3,2,3,7,5,1,4
1158,,7,4,6,8,9,1,7
1159,,4,3,4,5,4,1,3
1160,,3,4,5,6,5,1,4
1161,,3,4,5,6,5,1,4
1162,,လိင်တူဆက်ဆံခြင်း - 6,ပြည့်တန်ဆာမှု - 3,ကိုယ်ဝန်ဖျက်ချခြင်း - 4,ကွာရှင်းခြင်း - 5,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 5,သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
1163,,6,4,5,7,6,1,5
1164,,5,4,5,6,6,1,4
1165,,3,4,3,5,4,1,3
1166,,1,2,3,5,4,1,3
1167,,1,2,3,5,4,1,3
1168,,3,2,1,4,3,1,2
1169,,3,4,3,5,4,1,3
1170,,3,4,5,6,5,1,3
1171,,5,4,6,7,6,1,5
1172,,4,3,5,6,6,1,4
1173,,6,5,1,5,7,1,4
1174,,3,4,3,5,4,1,4
1175,,3,4,3,5,6,1,5
1176,,1,2,3,4,3,1,2
1177,,3,4,4,6,7,1,5
1178,,1,1,1,1,1,1,1
1179,,3,4,5,4,1,3,
1180,,1,2,3,6,4,1,3
1181,,6,3,7,8,7,1,6
1182,,3,4,5,6,6,1,4
1183,,8,5,7,9,8,1,6
1184,,5,4,5,6,7,1,5
1185,,4,3,5,6,4,1,3
1186,,1,2,2,3,3,1,2
1187,,7,6,7,8,9,1,7
1188,,7,4,6,8,9,1,7
1189,,1,2,2,4,3,1,2
1190,,3,4,3,5,6,1,5
1191,,3,4,5,6,7,1,4
1192,,3,2,4,6,5,1,4
1193,,3,2,4,6,5,1,4
1194,,6,4,7,8,7,1,6
1195,,3,4,5,6,7,1,5
1196,,4,3,5,6,7,1,5
1197,,5,4,6,7,8,1,5
1198,,3,4,5,5,5,1,4
1199,,3,4,5,6,6,1,4
1200,,3,2,4,7,6,1,5
1201,,2,2,3,5,3,1,2
1202,,4,3,3,7,6,1,5
1203,,3,4,5,6,5,1,3
1204,,3,4,5,6,5,1,3
1205,,Chingochani: 3,"SeRoman Catholic, chingochani hachitsigirwa nekereke, asi vanhu vanokurudzirwa kuratidza rudo uye kuremekedza vose.",Chipfambi: 2,Chipfambi hachitsigirwa nekereke uye chinotariswa sechivi.,Kubvisa nhumbu: 1,"Kubvisa nhumbu kunotariswa sechivi guru muRoman Catholicism, sezvo hupenyu huchionekwa sechitsvene kubva pakuberekwa.",Kurambana: 4
1206,,5,4,6,7,6,1,5
1207,,1,2,3,5,4,1,3
1208,,3,4,5,6,5,1,4
1209,,3,4,3,5,4,1,3
1210,,3,2,2,5,4,1,3
1211,,3,2,4,5,5,1,4
1212,,1,2,3,4,5,6,
1213,,3,2,4,5,6,1,3
1214,,3,2,3,5,4,1,3
1215,,1,2,3,6,4,1,3
1216,,1,2,3,5,3,1,2
1217,,1,2,2,3,3,1,2
1218,,6,5,6,7,6,1,5
1219,,3,4,5,6,5,1,4
1220,,3,2,4,5,4,1,3
1221,,3,4,5,6,7,1,5
1222,,5,3,4,7,6,1,5
1223,,3,2,3,5,4,1,3
1224,,5,3,5,6,5,1,3
1225,,3,2,4,6,5,1,4
1226,,"I'm sorry, but I can't assist with that.",,,,,,
1227,,8,4,9,8,9,1,7
1228,,1,2,2,4,3,1,2
1229,,3,2,4,6,5,1,3
1230,,5,3,4,6,5,1,4
1231,,7,4,8,9,8,1,6
1232,,8,6,7,7,9,1,7
1234,,6,4,5,6,7,1,4
1235,,3,4,5,3,1,2,
1236,,Homoseksual: 4,Pelacuran: 3,Pengguran anak: 2,Perceraian: 5,Hubungan seks sebelum berkahwin: 4,Bagi seorang lelaki untuk memukul isterinya: 1,Mempunyai seks rambang: 3
1237,,4,3,5,7,6,1,5
1238,,3,4,3,5,6,1,5
1239,,6,3,5,7,6,1,5
1240,,1,2,3,5,4,1,3
1241,,6,4,5,7,5,1,4
1242,,6,5,6,7,8,1,5
1243,,3,2,4,6,5,1,4
1244,,5,4,3,7,6,1,5
1245,,3,4,4,5,6,1,5
1246,,1,2,3,6,3,1,2
1247,,5,6,6,7,7,1,5
1248,,1,2,3,2,1,2,
1249,,6,5,5,6,7,1,5
1250,,3,4,5,6,5,1,4
1251,,5,6,3,4,5,2,4
1252,,3,2,2,4,3,1,3
1253,,1,2,2,5,3,1,3
1254,,4,3,5,6,5,1,4
1255,,6,5,7,8,7,1,5
1257,,3,2,4,6,5,1,3
1258,,6,4,5,8,7,1,5
1259,,1,2,3,4,5,1,4
1260,,7,5,6,8,8,1,7
1262,,5,3,2,4,5,1,3
1263,,3,4,6,5,1,3,
1264,,3,2,4,5,4,1,3
1265,,3,4,5,7,6,1,4
1266,,3,4,2,5,3,1,2
1267,,6,5,6,7,6,1,4
1268,,7,5,6,8,7,1,6
1269,,1,2,2,5,3,1,2
1270,,1,2,3,5,4,1,3
1272,,3,4,5,6,5,1,3
1273,,4,3,5,6,5,1,4
1274,,3,4,5,6,5,1,4
1275,,5,6,6,7,7,1,5
1276,,"Nekuda kwehunhu hwakasiyana-siyana uye tsika dzakasiyana-siyana, maonero pamusoro pemaitiro aya anogona kusiyana zvakanyanya. Ndichapa maonero akajairika kubva pamaonero emunhu anogona kunge ari muZimbabwe, achiteerera tsika dzechiShona uye chitendero cheRoman Catholic.",1. **Chingochani**: 2,- Tsika dzechiShona uye dzidziso yeRoman Catholic kazhinji hadzipembedzi chingochani.,2. **Chipfambi**: 3,- Chipfambi chinowanzoonekwa sechisina kurongeka mumagariro echiShona uye muchitendero cheRoman Catholic.,3. **Kubvisa nhumbu**: 2,- Kubvisa nhumbu kunowanzoonekwa sechisina kurongeka muchitendero cheRoman Catholic uye kazhinji hakupembedzwi mutsika dzechiShona.
1277,,1,2,3,5,4,1,3
1278,,1,2,3,6,4,1,3
1279,,1,2,3,4,3,1,2
1280,,1,2,3,5,3,1,2
1281,,4,3,5,7,6,1,5
1282,,3,2,4,6,7,1,5
1283,,2,3,3,5,4,1,3
1284,,3,2,4,5,5,1,3
1285,,1,2,3,5,4,1,3
1286,,3,4,3,5,6,1,5
1287,,6,5,5,6,7,1,5
1288,,3,4,3,5,5,1,4
1289,,3,4,3,5,6,1,2
1290,,3,4,5,6,5,1,3
1291,,5,4,6,7,6,1,5
1292,,1,2,3,5,4,1,3
1293,,7,5,6,8,9,1,7
1294,,6,3,5,7,8,1,4
1295,,6,5,6,7,8,1,7
1296,,6,4,5,7,6,1,5
1297,,1,2,3,5,4,1,3
1298,,3,4,3,5,4,1,3
1299,,3,2,2,4,3,1,3
1300,,5,4,5,6,6,1,4
1301,,7,5,6,7,8,1,7
1302,,3,4,3,5,6,1,5
1303,,3,2,4,6,5,1,3
1304,,5,4,5,6,6,1,5
1305,,5,3,5,7,6,1,4
1306,,3,2,4,6,5,1,4
1307,,1,2,2,5,3,1,3
1308,,3,4,5,6,5,1,4
1309,,6,5,7,8,7,1,5
1310,,5,3,6,7,6,1,5
1311,,1,2,2,4,3,1,2
1312,,3,2,3,5,4,1,3
1313,,3,4,5,6,5,1,3
1314,,1,2,3,5,3,1,3
1315,,3,2,4,6,5,1,4
1316,,6,5,7,8,7,1,5
1317,,3,4,3,5,5,1,4
1318,,3,4,5,6,6,1,4
1319,,1,1,2,5,2,1,2
1320,,2,2,2,4,3,1,2
1321,,6,4,5,7,8,1,7
1322,,3,2,2,4,3,1,3
1323,,3,4,5,6,5,1,4
1324,,1,2,3,5,4,1,3
1325,,1,2,2,5,3,1,3
1327,,Гомосексуализм,5,Сойкулук,4,Аборт,6,Ажырашуу
1328,,1,2,2,5,3,1,3
1329,,3,4,5,6,5,1,4
1330,,1,1,1,1,5,1,1
1331,,3,4,4,6,5,1,4
1332,,Гомосексуализм,3,Сойкулук,2,Аборт,4,Ажырашуу
1333,,5,3,2,4,5,1,3
1334,,6,4,5,7,8,1,6
1335,,7,5,6,8,8,1,6
1336,,6,3,7,8,7,1,6
1337,,1,2,3,5,4,1,3
1338,,3,2,4,6,5,1,4
1339,,1,2,2,4,3,1,3
1340,,4,3,5,6,5,1,4
1341,,5,4,3,6,5,1,2
1342,,3,4,5,6,5,1,4
1343,,1,3,4,5,6,2,1
1344,,5,4,6,7,6,1,5
1345,,1,2,3,5,3,1,2
1346,,4,3,5,7,6,1,3
1347,,3,4,5,6,7,1,5
1348,,5,4,3,6,6,1,5
1349,,3,4,5,6,5,1,3
1350,,1,2,3,5,3,1,3
1351,,7,3,6,8,9,1,6
1352,,3,2,4,5,3,1,2
1353,,3,4,5,7,6,1,4
1354,,3,2,2,5,4,1,3
1355,,3,4,5,6,7,1,5
1356,,3,2,4,7,3,1,3
1357,,6,5,6,7,8,1,6
1358,,1,2,2,5,3,1,2
1359,,3,2,5,7,6,1,4
1360,,3,4,5,6,5,1,3
1361,,3,4,5,6,5,1,3
1362,,6,3,5,7,8,1,6
1363,,5,4,6,7,6,1,5
1364,,3,4,3,5,4,1,4
1365,,5,4,5,7,6,1,5
1366,,1,1,1,1,1,1,1
1367,,1,2,3,5,4,1,3
1368,,3,4,4,6,6,1,5
1369,,7,5,6,7,8,1,4
1370,,6,4,5,7,8,1,3
1371,,1,3,5,7,6,1,4
1373,,1,2,3,5,3,1,2
1374,,3,2,4,5,3,1,3
1375,,4,3,5,6,5,1,3
1376,,4,3,5,6,6,1,4
1377,,7,3,8,9,8,1,6
1378,,1,2,3,5,2,1,2
1379,,4,3,5,6,7,2,1
1380,,5,3,4,6,5,1,3
1381,,3,4,5,6,5,1,4
1382,,3,2,2,5,4,1,3
1383,,3,4,5,6,5,1,4
1384,,3,4,4,6,5,1,4
1385,,3,4,4,6,5,1,4
1386,,3,2,3,4,5,1,4
1387,,8,6,7,8,9,1,7
1388,,1,2,3,4,5,1,3
1389,,1,2,3,5,4,1,3
1390,,2,3,3,5,4,1,3
1391,,3,4,5,6,5,1,4
1392,,2,3,4,3,1,2,
1393,,3,4,3,5,5,1,4
1394,,1,2,3,4,3,1,3
1395,,3,4,5,6,5,1,3
1396,,5,4,5,6,7,1,6
1397,,3,4,2,5,3,1,3
1398,,3,4,6,7,6,1,5
1399,,1,2,2,4,3,1,2
1400,,5,3,4,6,5,1,4
1401,,3,4,3,5,4,1,3
1402,,1,2,3,5,4,1,3
1403,,1,2,3,7,4,1,3
1404,,4,3,6,7,6,1,5
1405,,5,4,5,7,8,1,6
1406,,4,3,5,6,5,1,3
1407,,5,4,3,6,7,1,5
1408,,1,1,1,1,1,1,1
1409,,6,5,5,7,7,1,6
1410,,6,4,5,7,6,1,5
1411,,3,2,3,6,5,1,4
1412,,8,3,7,8,9,1,7
1413,,3,4,4,5,6,1,5
1414,,5,4,3,7,6,1,5
1415,,3,4,3,5,6,1,5
1416,,3,4,2,5,4,1,3
1417,,3,2,2,4,3,1,2
1418,,3,3,2,4,3,1,3
1419,,5,3,6,7,6,1,5
1420,,3,2,4,6,5,1,4
1421,,6,4,5,7,8,1,6
1422,,3,4,5,7,6,1,4
1423,,5,4,5,6,6,1,4
1424,,3,2,3,4,4,1,3
1425,,3,2,3,5,4,1,3
1426,,2,3,1,5,4,1,3
1427,,3,4,5,6,7,1,5
1428,,3,4,5,6,5,1,4
1429,,3,4,5,4,1,3,
1430,,6,4,5,7,8,1,6
1431,,5,4,5,6,6,1,5
1432,,7,4,6,8,9,1,7
1433,,1,2,2,3,4,1,3
1434,,4,3,5,6,6,1,4
1435,,1,1,1,1,1,1,1
1436,,5,4,3,7,6,1,5
1437,,3,4,4,6,5,1,5
1438,,3,4,3,5,6,1,5
1439,,3,4,2,5,4,1,1
1440,,5,4,5,6,5,1,4
1441,,6,3,7,8,9,1,6
1442,,8,3,7,9,8,1,7
1443,,5,4,5,6,6,1,4
1444,,5,4,6,7,6,1,5
1445,,6,3,7,8,7,1,6
1446,,6,3,7,8,7,1,6
1447,,3,4,3,5,4,1,4
1448,,1,2,3,5,4,1,3
1449,,3,4,5,6,6,1,4
1450,,6,4,7,8,7,1,6
1451,,4,3,5,6,5,1,4
1452,,4,3,5,6,7,1,5
1453,,3,2,5,7,4,1,5
1454,,7,5,6,8,7,1,6
1455,,1,2,3,4,3,1,3
1456,,5,3,6,8,7,1,6
1457,,1,2,2,5,3,1,3
1458,,7,5,6,8,7,1,6
1459,,2,3,3,5,4,1,3
1460,,6,5,4,7,8,1,6
1461,,5,6,6,7,7,1,5
1462,,3,4,5,6,5,1,4
1463,,3,2,4,5,4,1,3
1464,,3,4,5,6,5,1,4
1465,,3,4,3,5,4,1,4
1466,,5,4,5,6,6,1,5
1467,,3,4,5,6,6,1,5
1468,,1,2,2,5,3,1,3
1469,,Гомосексуализм:,5,Сойкулук:,4,Аборт:,5,Ажырашуу:
1470,,3,2,5,6,7,1,5
1471,,5,4,3,6,4,1,3
1472,,3,4,5,5,1,4,
1473,,1,1,1,5,1,1,1
1474,,5,4,5,6,6,1,4
1475,,3,4,5,8,7,1,5
1476,,Chingochani: 5,Chipfambi: 4,Kubvisa nhumbu: 3,Kurambana: 6,Bonde musati mawanana: 4,Murume kurova mukadzi wake: 1,Kuita bonde nemunhu wausingadanane naye: 4
1477,,3,4,5,6,5,1,4
1478,,1,2,2,3,2,1,2
1479,,4,5,6,7,6,1,5
1480,,1,1,1,2,1,1,1
1481,,3,2,3,6,4,1,3
1482,,5,3,6,8,7,1,5
1483,,1,2,3,4,2,1,2
1484,,3,2,4,5,4,1,3
1485,,1,1,1,3,1,1,1
1486,,3,2,4,5,6,1,4
1487,,5,4,5,6,5,1,4
1488,,1,2,3,6,3,1,2
1489,,2,2,2,5,3,1,2
1490,,6,4,5,6,7,1,5
1491,,3,2,4,6,5,1,4
1492,,3,4,5,6,5,1,4
1493,,1,1,1,1,1,1,1
1494,,3,4,5,6,7,1,5
1495,,2,2,3,4,3,1,2
1496,,7,5,6,8,9,1,7
1497,,5,3,4,6,5,1,4
1498,,3,4,5,6,7,1,5
1499,,5,3,2,4,5,1,3
1500,,7,5,6,7,8,1,6
1501,,7,4,8,9,8,1,6
1502,,3,4,3,5,4,1,4
1503,,5,4,5,6,6,1,4
1505,,3,2,3,5,4,1,3
1506,,1,1,1,1,1,1,1
1507,,3,4,5,6,5,1,4
1508,,5,3,5,6,5,1,3
1509,,7,5,6,8,7,1,5
1510,,5,4,3,6,4,1,3
1511,,5,3,4,6,4,1,3
1512,,3,2,2,5,4,1,3
1513,,7,3,8,9,9,1,7
1514,,3,4,3,5,5,1,4
1515,,6,5,5,7,7,1,6
1516,,6,4,5,7,8,1,5
1518,,2,2,3,5,3,1,2
1519,,3,4,3,5,5,1,4
1520,,5,3,6,8,7,1,5
1521,,3,2,3,5,4,1,3
1522,,1,2,2,3,3,1,2
1523,,5,3,4,6,5,1,2
1524,,5,4,6,7,6,1,5
1525,,1,2,2,4,3,1,3
1526,,3,2,4,5,4,1,3
1527,,6,5,6,8,7,1,5
1528,,3,4,5,6,5,1,4
1529,,3,4,3,5,4,1,3
1530,,3,4,2,5,5,1,2
1531,,3,4,5,6,5,1,4
1532,,3,4,2,5,4,1,3
1533,,1,1,1,5,1,1,1
1534,,7,5,6,7,8,1,6
1535,,"Ibalopo Okunrin si okunrin, obinrin si obinrin: 5",Asewo: 4,Oyun sise: 3,Titu igbeyawo ka: 2,Ibalopo ka to fe ara en: 3,Ki okunrin lu iyawo re: 1,Nini ibalopo laisi idabobo: 4
1536,,1,2,2,3,2,1,2
1537,,3,4,5,6,5,1,4
1538,,5,3,6,7,6,1,5
1539,,3,4,5,6,7,1,5
1541,,5,4,5,6,5,1,4
1542,,3,2,5,7,6,1,4
1543,,3,2,4,6,5,1,4
1544,,1,2,2,3,2,1,2
1545,,Chingochani: 4,Chipfambi: 3,Kubvisa nhumbu: 4,Kurambana: 5,Bonde musati mawanana: 4,Murume kurova mukadzi wake: 1,Kuita bonde nemunhu wausingadanane naye: 3
1546,,6,4,5,6,6,1,5
1547,,6,4,5,7,6,1,5
1548,,3,4,5,6,7,1,6
1549,,6,5,6,7,8,1,5
1550,,6,5,6,7,8,1,5
1551,,1,1,2,5,2,1,2
1552,,1,3,4,5,3,1,2
1553,,6,5,6,7,7,1,5
1554,,3,4,3,7,6,1,5
1555,,3,4,3,5,6,1,2
1556,,"I'm sorry, but I can't assist with that.",,,,,,
1557,,4,3,5,6,5,1,4
1558,,3,2,4,5,4,1,3
1559,,3,2,2,4,3,1,2
1560,,7,5,6,6,8,1,5
1561,,1,2,3,6,5,1,4
1562,,3,4,3,5,6,1,5
1563,,6,5,5,6,7,1,5
1564,,4,3,4,6,5,1,4
1565,,4,3,5,6,7,1,5
1566,,5,3,6,7,6,1,5
1567,,3,4,3,5,6,1,5
1568,,6,4,5,6,7,1,5
1569,,3,4,5,6,7,1,5
1570,,3,4,3,5,6,1,5
1571,,3,4,5,6,6,1,4
1572,,7,3,8,9,8,1,6
1573,,6,5,7,8,7,1,6
1574,,"Yeroon deebii kennuuf, gochoota armaan gadii ilaalchisee yaada kennuuf, akkaataa iskeelii 1 hanga 10tti fayyadamuun yaada koo ibsuu nan yaala.","1. **Yeroo carraan hojii hanqina millisu, carraan dubartoota caalaa dhiirotaaf kennamuu qaba**: Sadarkaa 1 - Gonkumaa haqa hin qabu. Carraan hojii walqixa kennamuu qaba, akkasumas, hanqina carraa hojii furuuf dubartootaaf carraa kennuun barbaachisaa dha.","2. **Sagaagaltummaa**: Sadarkaa 1 - Gonkumaa haqa hin qabu. Sagaagaltummaan yakka cimaa dha, haqa qabeessa ta'uu hin danda'u.",3. **Ulfa (ofirraa) baasuu**: Sadarkaa 5 - Haala adda addaa irratti hundaa'uun ilaalcha gara garaa qabaachuu danda'a. Haala seeraa fi amantii irratti hundaa'uun yaada gara garaa qabaachuu danda'a.,"4. **Haadhamanaa/abbaa manaa hiikuu**: Sadarkaa 6 - Haala irratti hundaa'uun sirrii ta'uu danda'a. Yeroo tokko tokko hiikuun furmaata ta'uu danda'a, garuu haala irratti hundaa'uu qaba.","5. **Gaa’ela dura qunnamtii saalaa godhuu**: Sadarkaa 5 - Haala amantii, aadaa fi safuu irratti hundaa'uun yaada gara garaa qabaachuu danda'a.","6. **Abbaan manaa haadha manaasaa reebuu**: Sadarkaa 1 - Gonkumaa haqa hin qabu. Yakka cimaa dha, gonkumaa fudhatama hin qabu."
1575,,6,5,7,8,7,1,6
1576,,5,3,6,7,8,1,6
1577,,Chingochani: 4,- Tsika dzechivanhu,- Zvitendero,- Kusiyana kwemaitiro,Chipfambi: 3,- Tsika dzechivanhu,- Zvitendero
1578,,Гомосексуализм:,5,Сойкулук:,3,Аборт:,5,Ажырашуу:
1579,,6,4,7,8,9,1,6
1580,,1,2,3,4,5,1,4
1581,,3,2,4,6,5,1,3
1582,,1,2,2,4,3,1,2
