country,country_num,lang,INSTR_1,Q29,Q30,Q31,INSTR_2,Q33,INSTR_3,Q182,Q183,Q184,Q185,Q186,Q189,Q193
HKG,344,zh,"对于以下每个陈述，请表明您使用此量表对每个陈述的同意或不同意程度: 
1-非常同意
2-同意
3-不同意
4-非常不同意

",总体来看，男性比女性更适合做政治领袖,与女孩相比，大学教育对男孩更重要,总的来说，男人比女人能成为更好的公司管理者,"表明您对以下陈述的感受，表明您同意或不同意使用此量表的程度: 
1-非常同意
2-同意
3-不知道
4-不同意
5-非常不同意


",当就业机会少时，男人应该比女人更有权力工作,"请回答以下每个动作，无论你认为它总是可以被证明是合理的，永远不能被证明是合理的，还是介于使用这个量表之间的东西:
等级1意味着永远没有正当理由，等级10意味着永远没有正当理由。 评级从1到5意味着你认为下面的陈述是相当不合理的。 从6到10的评级意味着您认为以下陈述相当合理。 如果你不认为这个动作是完全合理或不合理的，你会给这个动作评分5或6分。",同性恋,卖淫,堕胎,离婚,婚前性行为,打老婆,随意的性行
HKG,344,en,"For each of the following statements, indicate how strongly you agree or disagree with each of them using this scale: 
1 - Agree strongly
2 - Agree
3 - Disagree
4 - Disagree strongly

","On the whole, men make better political leaders than women do",A university education is more important for a boy than for a girl,"On the whole, men make better business executives than women do","Indicate how you feel about the following statement, indicate how strongly you agree or disagree using this scale: 
1 - Agree strongly
2 - Agree
3 - Neither agree nor disagree 
4 - Disagree
5 - Disagree strongly


","When jobs are scarce, men should have more rights to a job than women","Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.
",Homosexuality,Prostitution,Abortion,Divorce,Sex before marriage,For a man to beat his wife,Having casual sex
IND,356,bn,"নিম্নলিখিত প্রতিটি বিবৃতির জন্য, আপনি কতটা দৃঢ়ভাবে একমত বা একমত নন তা নির্দেশ করুন 
এই স্কেল ব্যবহার করে তাদের প্রত্যেকে: 
1-দৃঢ়ভাবে একমত
2-একমত
3-অসম্মতি
4-দৃঢ়ভাবে অসম্মতি","সামগ্রিকভাবে, পুরুষরা মহিলাদের চেয়ে ভাল রাজনৈতিক নেতা তৈরি করে",একটি বিশ্ববিদ্যালয়ের শিক্ষা একটি মেয়ের চেয়ে একটি ছেলের জন্য বেশি গুরুত্বপূর্ণ,"সামগ্রিকভাবে, পুরুষরা মহিলাদের চেয়ে ভাল ব্যবসায়িক নির্বাহী করে","""নিম্নলিখিত বিবৃতি সম্পর্কে আপনি কেমন অনুভব করেন তা নির্দেশ করুন, এই স্কেলটি ব্যবহার করে আপনি কতটা দৃঢ়ভাবে একমত বা অসম্মতি জানান৷: 
1-দৃঢ়ভাবে একমত
2-একমত
3 - না একমত বা অসম্মতি 
4-অসম্মতি
5-দৃঢ়ভাবে একমত

","যখন চাকরি দুষ্প্রাপ্য হয়, তখন মহিলাদের তুলনায় পুরুষদের চাকরির বেশি অধিকার থাকা উচিত","দয়া করে নীচের প্রতিটি ক্রিয়া সম্পর্কে উত্তর দিন, আপনি মনে করেন যে এটি সর্বদা ন্যায়সঙ্গত হতে পারে, কখনই ন্যায়সঙ্গত হতে পারে না, বা এই স্কেল ব্যবহার করার মধ্যে কিছু৷
রেটিং 1 এর অর্থ কখনই ন্যায়সঙ্গত নয়, রেটিং 10 এর অর্থ সর্বদা ন্যায়সঙ্গত৷ 1 থেকে 5 পর্যন্ত রেটিং মানে আপনি নিম্নলিখিত বিবৃতিটি বরং অযৌক্তিক বলে মনে করেন৷ 6 থেকে 10 পর্যন্ত রেটিংগুলির অর্থ হল আপনি নিম্নলিখিত বিবৃতিটি বরং ন্যায়সঙ্গত বলে মনে করেন৷ আপনি একটি 5 বা 6 পয়েন্ট চিহ্ন দিয়ে কর্ম রেট হবে যদি আপনি কর্ম ঠিক ন্যায়সঙ্গত বা অন্যায্য মনে হয় না.",সমকামিতা,পতিতাবৃত্তি,গর্ভপাত,বিবাহবিচ্ছেদ,বিয়ের আগে সেক্স,একজন পুরুষ তার স্ত্রীকে মারধর করার জন্য,নৈমিত্তিক যৌন হচ্ছে
IND,356,en,"For each of the following statements, indicate how strongly you agree or disagree with each of them using this scale: 
1 - Agree strongly
2 - Agree
3 - Disagree
4 - Disagree strongly

","On the whole, men make better political leaders than women do",A university education is more important for a boy than for a girl,"On the whole, men make better business executives than women do","Indicate how you feel about the following statement, indicate how strongly you agree or disagree using this scale: 
1 - Agree strongly
2 - Agree
3 - Neither agree nor disagree 
4 - Disagree
5 - Disagree strongly


","When jobs are scarce, men should have more rights to a job than women","Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.
",Homosexuality,Prostitution,Abortion,Divorce,Sex before marriage,For a man to beat his wife,Having casual sex
IND,356,hi,"निम्नलिखित में से प्रत्येक कथन के लिए, इंगित करें कि आप कितनी दृढ़ता से सहमत या असहमत हैं 
इस पैमाने का उपयोग कर उनमें से प्रत्येक: 
1-दृढ़ता से सहमत
2-सहमत
3-असहमत
4-दृढ़ता से असहमत
","कुल मिलाकर, पुरुष महिलाओं की तुलना में बेहतर राजनीतिक नेता बनाते हैं",एक लड़की की तुलना में एक लड़के के लिए विश्वविद्यालय की शिक्षा अधिक महत्वपूर्ण है,"कुल मिलाकर, पुरुष महिलाओं की तुलना में बेहतर व्यावसायिक अधिकारी बनाते हैं","इंगित करें कि आप निम्नलिखित कथन के बारे में कैसा महसूस करते हैं, इंगित करें कि आप इस पैमाने का उपयोग करके कितनी दृढ़ता से सहमत या असहमत हैं: 
1-दृढ़ता से सहमत
2-सहमत
3-न तो सहमत और न ही असहमत 
4-असहमत
5-दृढ़ता से असहमत
","जब नौकरियां कम होती हैं, तो पुरुषों को महिलाओं की तुलना में नौकरी के अधिक अधिकार होने चाहिए","कृपया निम्नलिखित कार्यों में से प्रत्येक के बारे में उत्तर दें, चाहे आपको लगता है कि यह हमेशा उचित हो सकता है, कभी भी उचित नहीं हो सकता है, या इस पैमाने का उपयोग करने के बीच में कुछ:
रेटिंग 1 का मतलब कभी भी उचित नहीं होता है, रेटिंग 10 का मतलब हमेशा उचित होता है ।  1 से 5 तक की रेटिंग का मतलब है कि आपको लगता है कि निम्नलिखित कथन अनुचित है ।  6 से 10 तक की रेटिंग का मतलब है कि आपको लगता है कि निम्नलिखित कथन उचित है ।  आप कार्रवाई को 5 या 6 अंकों के निशान के साथ रेट करेंगे यदि आपको नहीं लगता कि कार्रवाई बिल्कुल उचित या अनुचित है । ",समलैंगिकता,वेश्यावृत्ति,गर्भपात,तलाक,शादी से पहले सेक्स,एक आदमी को अपनी पत्नी को पीटने के लिए,होने आकस्मिक सेक्स
IND,356,mr,"खालील प्रत्येक विधानासाठी, आपण किती दृढपणे सहमत आहात किंवा असहमत आहात हे दर्शवा 
या स्केलचा वापर करून प्रत्येक: 
1-ठामपणे सहमत
2-सहमत
3-असहमत
4-ठामपणे असहमत
","एकूणच, पुरुष स्त्रियांपेक्षा चांगले राजकीय नेते बनवतात",मुलीपेक्षा मुलासाठी विद्यापीठ शिक्षण अधिक महत्वाचे आहे,"एकूणच, पुरुष स्त्रियांपेक्षा चांगले व्यवसाय अधिकारी बनवतात","खालील विधानाबद्दल आपल्याला कसे वाटते ते दर्शवा, या स्केलचा वापर करून आपण किती दृढपणे सहमत आहात किंवा असहमत आहात हे दर्शवा: 
1-ठामपणे सहमत
2-सहमत
3-सहमत किंवा असहमत नाही 
4-असहमत
5-ठामपणे असहमत

","जेव्हा नोकरी कमी असते, तेव्हा पुरुषांना स्त्रियांपेक्षा नोकरीवर अधिक अधिकार असावेत","कृपया खालील प्रत्येक कृतीबद्दल उत्तर द्या, आपल्याला वाटते की ते नेहमीच न्याय्य असू शकते, कधीही न्याय्य असू शकत नाही, किंवा या स्केलचा वापर करण्याच्या दरम्यान काहीतरी:
रेटिंग 1 म्हणजे कधीही न्याय्य नाही, रेटिंग 10 म्हणजे नेहमी न्याय्य. 1 ते 5 रेटिंगचा अर्थ असा आहे की तुम्हाला वाटते की खालील विधान अन्यायकारक आहे. 6 ते 10 रेटिंगचा अर्थ असा आहे की तुम्हाला वाटते की खालील विधान योग्य आहे. जर तुम्हाला वाटत नसेल की ही कृती योग्य किंवा अयोग्य आहे तर तुम्ही 5 किंवा 6 गुणांच्या चिन्हासह कृतीचे मूल्यांकन कराल.",समलैंगिकता,वेश्याव्यवसाय,गर्भपात,घटस्फोट,लग्नापूर्वी सेक्स,पत्नीला मारहाण करण्यासाठी एक माणूस,कॅज्युअल सेक्स करणे
IND,356,pa,"ਹੇਠਾਂ ਦਿੱਤੇ ਹਰੇਕ ਬਿਆਨ ਲਈ, ਇਹ ਦਰਸਾਓ ਕਿ ਤੁਸੀਂ ਕਿੰਨੀ ਜ਼ੋਰਦਾਰ ਸਹਿਮਤ ਜਾਂ ਅਸਹਿਮਤ ਹੋ 
ਇਨ੍ਹਾਂ ਵਿੱਚੋਂ ਹਰ ਇੱਕ ਇਸ ਪੈਮਾਨੇ ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ: 
1-ਜ਼ੋਰਦਾਰ ਸਹਿਮਤ
2-ਸਹਿਮਤ
3-ਅਸਹਿਮਤ
4-ਜ਼ੋਰਦਾਰ ਅਸਹਿਮਤ","ਸਮੁੱਚੇ ਤੌਰ ' ਤੇ, ਮਰਦ ਔਰਤਾਂ ਨਾਲੋਂ ਬਿਹਤਰ ਰਾਜਨੀਤਿਕ ਆਗੂ ਬਣਾਉਂਦੇ ਹਨ",ਇੱਕ ਲੜਕੀ ਨਾਲੋਂ ਇੱਕ ਲੜਕੇ ਲਈ ਇੱਕ ਯੂਨੀਵਰਸਿਟੀ ਸਿੱਖਿਆ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਨ ਹੈ,"ਸਮੁੱਚੇ ਤੌਰ ' ਤੇ, ਮਰਦ ਔਰਤਾਂ ਨਾਲੋਂ ਬਿਹਤਰ ਕਾਰੋਬਾਰੀ ਕਾਰਜਕਾਰੀ ਬਣਾਉਂਦੇ ਹਨ","ਇਹ ਦੱਸੋ ਕਿ ਤੁਸੀਂ ਹੇਠ ਦਿੱਤੇ ਬਿਆਨ ਬਾਰੇ ਕਿਵੇਂ ਮਹਿਸੂਸ ਕਰਦੇ ਹੋ, ਇਹ ਦੱਸੋ ਕਿ ਤੁਸੀਂ ਇਸ ਪੈਮਾਨੇ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਕਿੰਨੀ ਜ਼ੋਰਦਾਰ ਸਹਿਮਤ ਜਾਂ ਅਸਹਿਮਤ ਹੋ: 
1-ਜ਼ੋਰਦਾਰ ਸਹਿਮਤ
2-ਸਹਿਮਤ
3-ਨਾ ਤਾਂ ਸਹਿਮਤ ਅਤੇ ਨਾ ਹੀ ਅਸਹਿਮਤ 
4-ਅਸਹਿਮਤ
5-ਜ਼ੋਰਦਾਰ ਅਸਹਿਮਤ

","ਜਦੋਂ ਨੌਕਰੀਆਂ ਘੱਟ ਹੁੰਦੀਆਂ ਹਨ, ਤਾਂ ਮਰਦਾਂ ਨੂੰ ਔਰਤਾਂ ਨਾਲੋਂ ਨੌਕਰੀ ਦੇ ਵਧੇਰੇ ਅਧਿਕਾਰ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ","ਕਿਰਪਾ ਕਰਕੇ ਹੇਠ ਲਿਖੀਆਂ ਕਾਰਵਾਈਆਂ ਵਿੱਚੋਂ ਹਰੇਕ ਬਾਰੇ ਜਵਾਬ ਦਿਓ, ਭਾਵੇਂ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ ਕਿ ਇਹ ਹਮੇਸ਼ਾਂ ਜਾਇਜ਼ ਹੋ ਸਕਦਾ ਹੈ, ਕਦੇ ਵੀ ਜਾਇਜ਼ ਨਹੀਂ ਹੋ ਸਕਦਾ, ਜਾਂ ਇਸ ਪੈਮਾਨੇ ਦੀ ਵਰਤੋਂ ਦੇ ਵਿਚਕਾਰ ਕੁਝ:
ਰੇਟਿੰਗ 1 ਦਾ ਮਤਲਬ ਕਦੇ ਵੀ ਜਾਇਜ਼ ਨਹੀਂ ਹੁੰਦਾ, ਰੇਟਿੰਗ 10 ਦਾ ਮਤਲਬ ਹਮੇਸ਼ਾ ਜਾਇਜ਼ ਹੁੰਦਾ ਹੈ ।  1 ਤੋਂ 5 ਤੱਕ ਦੀਆਂ ਰੇਟਿੰਗਾਂ ਦਾ ਮਤਲਬ ਹੈ ਕਿ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ ਕਿ ਹੇਠ ਲਿਖੀ ਕਥਨ ਨਾ ਕਿ ਅਣਉਚਿਤ ਹੈ. 6 ਤੋਂ 10 ਤੱਕ ਦੀ ਰੇਟਿੰਗ ਦਾ ਮਤਲਬ ਹੈ ਕਿ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ ਕਿ ਹੇਠ ਲਿਖੇ ਬਿਆਨ ਨੂੰ ਜਾਇਜ਼ ਠਹਿਰਾਇਆ ਜਾ ਸਕਦਾ ਹੈ. ਤੁਸੀਂ ਕਾਰਵਾਈ ਨੂੰ 5 ਜਾਂ 6 ਅੰਕ ਦੇ ਨਿਸ਼ਾਨ ਨਾਲ ਰੇਟ ਕਰੋਗੇ ਜੇ ਤੁਸੀਂ ਨਹੀਂ ਸੋਚਦੇ ਕਿ ਕਾਰਵਾਈ ਬਿਲਕੁਲ ਜਾਇਜ਼ ਹੈ ਜਾਂ ਅਣਉਚਿਤ ਹੈ.",ਸਮਲਿੰਗਤਾ,ਵੇਸਵਾ,ਗਰਭਪਾਤ,ਤਲਾਕ,ਵਿਆਹ ਤੋਂ ਪਹਿਲਾਂ ਸੈਕਸ,ਇੱਕ ਆਦਮੀ ਨੂੰ ਆਪਣੀ ਪਤਨੀ ਨੂੰ ਕੁੱਟਣ ਲਈ,ਸੈਕਸ ਨਾਲ ਵੱਖ-ਵੱਖ ਦੌੜ
IND,356,te,"కింది ప్రకటనలలో ప్రతి ఒక్కటి కోసం, మీరు ఎంత గట్టిగా అంగీకరిస్తున్నారో లేదా విభేదిస్తున్నారో సూచించండి 
ఈ స్థాయిని ఉపయోగించి వాటిలో ప్రతి ఒక్కటి: 
1-గట్టిగా అంగీకరిస్తున్నారు
2-అంగీకరిస్తున్నారు
3-విభేదిస్తున్నారు
4-గట్టిగా విభేదిస్తున్నారు
","మొత్తంమీద, పురుషులు మహిళల కంటే మెరుగైన రాజకీయ నాయకులను తయారు చేస్తారు",ఒక అమ్మాయి కంటే ఒక అబ్బాయికి విశ్వవిద్యాలయ విద్య చాలా ముఖ్యం,"మొత్తంమీద, పురుషులు మహిళల కంటే మెరుగైన వ్యాపార నిర్వాహకులను తయారు చేస్తారు","కింది ప్రకటన గురించి మీరు ఎలా భావిస్తున్నారో సూచించండి, ఈ స్కేల్ ఉపయోగించి మీరు ఎంత గట్టిగా అంగీకరిస్తున్నారో లేదా విభేదిస్తున్నారో సూచించండి: 
1-గట్టిగా అంగీకరిస్తున్నారు
2-అంగీకరిస్తున్నారు
3-అంగీకరిస్తున్నారు లేదా అంగీకరించరు 
4-అసమ్మతి
5-గట్టిగా విభేదిస్తున్నారు

","ఉద్యోగాలు కొరత ఉన్నప్పుడు, పురుషులు మహిళల కంటే ఎక్కువ ఉద్యోగ హక్కులను కలిగి ఉండాలి","దయచేసి ఈ క్రింది చర్యల గురించి సమాధానం ఇవ్వండి, ఇది ఎల్లప్పుడూ సమర్థించబడుతుందని మీరు అనుకున్నా, ఎప్పటికీ సమర్థించబడదు లేదా ఈ స్థాయిని ఉపయోగించి మధ్యలో ఏదైనా:
రేటింగ్ 1 అంటే ఎప్పుడూ సమర్థించదగినది కాదు, రేటింగ్ 10 అంటే ఎల్లప్పుడూ సమర్థించదగినది. 1 నుండి 5 వరకు రేటింగ్స్ అంటే మీరు ఈ క్రింది ప్రకటన చాలా అన్యాయం అని భావిస్తారు. 6 నుండి 10 వరకు రేటింగ్స్ అంటే మీరు ఈ క్రింది ప్రకటన చాలా సమర్థించదగినదని భావిస్తారు. మీరు చర్యను 5 లేదా 6 పాయింట్ల మార్కుతో రేట్ చేస్తారు, చర్య సరిగ్గా సమర్థించదగినది లేదా అన్యాయం అని మీరు అనుకోకపోతే.",స్వలింగ సంపర్కం,వేశ్యాత్వం,గర్భస్రావం,విడాకులు,పెళ్లికి ముందు సెక్స్,తన భార్యను చంపడానికి ఒక వ్యక్తి,సాధారణం సెక్స్ కలిగి
IDN,360,id,"Untuk setiap pernyataan berikut, tunjukkan seberapa kuat Anda setuju atau tidak setuju dengan pernyataan tersebut 
masing-masing menggunakan skala ini: 
1-Sangat setuju
2-Setuju
3-Tidak setuju
4-Sangat tidak setuju
","Secara umum, laki-laki menjadi pemimpin politik yang lebih baik dibandingkan perempuan",Pendidikan universitas lebih penting bagi anak laki-laki daripada untuk anak perempuan,"Secara umum, laki-laki menjalankan bisnis/usaha lebih baik daripada perempuan","Tunjukkan bagaimana perasaan Anda tentang pernyataan berikut, tunjukkan seberapa kuat Anda setuju atau tidak setuju menggunakan skala ini: 
1-Sangat setuju
2-Setuju
3-Tidak setuju atau tidak setuju 
4-Tidak setuju
5-Sangat tidak setuju
","Jika pekerjaan sangat terbatas, laki-laki seharusnya mendapatkan hak yang lebih utama daripada perempuan untuk memperoleh pekerjaan","Harap jawab tentang masing-masing tindakan berikut, apakah menurut Anda itu selalu dapat dibenarkan, tidak pernah dapat dibenarkan, atau sesuatu di antaranya menggunakan skala ini:
Peringkat 1 berarti tidak pernah dapat dibenarkan, peringkat 10 berarti selalu dapat dibenarkan. Peringkat dari 1 hingga 5 berarti menurut Anda pernyataan berikut ini agak tidak dapat dibenarkan. Peringkat dari 6 hingga 10 berarti menurut Anda pernyataan berikut ini cukup dapat dibenarkan. Anda akan menilai tindakan tersebut dengan tanda 5 atau 6 poin jika menurut Anda tindakan tersebut tidak dapat dibenarkan atau tidak dapat dibenarkan.",Homoseksual (hubungan sesama jenis),Prostitusi (pelacuran),Aborsi,Perceraian,Seks sebelum nikah,Laki-laki memukuli istrinya,Seks bebas
IRN,364,fa,"برای هر یک از اظهارات زیر ، نشان دهید که چقدر با آن موافق یا مخالف هستید 
هر یک از آنها با استفاده از این مقیاس: 
1- قویا موافق باشید
2 - موافقت کنید
3 - اختلاف نظر
4 - به شدت مخالف باشید
",در کل ، مردان رهبران سیاسی بهتری نسبت به زنان دارند,تحصیل در دانشگاه برای پسر مهمتر از دختر است,در کل ، مردان مدیران کسب و کار بهتری نسبت به زنان دارند,"""نشان دهید که در مورد این جمله چه احساسی دارید ، نشان دهید که با استفاده از این مقیاس چقدر موافق یا مخالف هستید: 
1- قویا موافق باشید
2 - موافقت کنید
3 - نه موافق و نه مخالف 
4 - اختلاف نظر
5-به شدت مخالف باشید

",وقتی شغل کمیاب است ، مردان باید حقوق بیشتری نسبت به زنان داشته باشند,"لطفا در مورد هر یک از اقدامات زیر پاسخ دهید ، آیا فکر می کنید همیشه می تواند توجیه شود ، هرگز نمی تواند توجیه شود ، یا چیزی در بین استفاده از این مقیاس:
رتبه 1 به معنی هیچ وقت قابل توجیه نیست ، رتبه 10 به معنی همیشه قابل توجیه است. رتبه بندی از 1 تا 5 به این معنی است که شما فکر می کنید این جمله کاملا غیرقابل توجیه است. رتبه بندی از 6 تا 10 به این معنی است که شما فکر می کنید این جمله کاملا توجیه پذیر است. شما عمل را با 5 یا 6 امتیاز امتیاز می دهید اگر فکر نمی کنید که عمل دقیقا توجیه پذیر یا غیرقابل توجیه است.",همجنس گرایی,فحشا,سقط جنین,طلاق,رابطه جنسی قبل از ازدواج,برای مردی که همسرش را کتک بزند,داشتن رابطه جنسی گاه به گاه
IRAQ,368,ar,"لكل من العبارات التالية ، وضح مدى موافقتك أو عدم موافقتك 
كل واحد منهم يستخدم هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - غير موافق
4 - لا أوافق بشدة","على العموم, الرجال يصنعون قادة سياسيين أفضل من النساء",التعليم الجامعي أكثر أهمية بالنسبة للصبي منه بالنسبة للفتاة,"على العموم, الرجال يصنعون مديرين تنفيذيين أفضل من النساء","وضح ما تشعر به حيال العبارة التالية ، وضح مدى موافقتك أو عدم موافقتك على استخدام هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - لا توافق ولا لا توافق 
4 - لا أوافق
5 - لا أوافق بشدة

",عندما تكون الوظائف شحيحة ، يجب أن يتمتع الرجال بحقوق في الوظيفة أكثر من النساء,"يرجى الإجابة عن كل من الإجراءات التالية ، سواء كنت تعتقد أنه يمكن تبريره دائما ، أو لا يمكن تبريره أبدا ، أو شيء ما بين استخدام هذا المقياس.
تصنيف 1 يعني أبدا مبرر, تصنيف 10 يعني دائما له ما يبرره. التقييمات من 1 إلى 5 تعني أنك تعتقد أن العبارة التالية غير مبررة إلى حد ما. التقييمات من 6 إلى 10 تعني أنك تعتقد أن العبارة التالية مبررة إلى حد ما. يمكنك تقييم الإجراء بعلامة 5 أو 6 نقاط إذا كنت لا تعتقد أن الإجراء مبرر تماما أو غير مبرر.",المثلية الجنسية,البغاء,الإجهاض,الطلاق,الجنس قبل الزواج,للرجل أن يضرب زوجته,ممارسة الجنس العرضي
JPN,392,ja,"次の各ステートメントについて、あなたがどれだけ強く同意するか、または同意しないかを示してください 
このスケールを使用してそれらのそれぞれ: 
1-強く同意する
2-同意する
3-同意しない
4–強く同意しない
",一般的に、男性の方が女性より政治の指導 者として適している,大学教育は女子より男子にとって重要で ある,一般的に、男性の方が女性より経営幹部と して適している,"次のステートメントについてどのように感じているかを示し、このスケールを使用してどれだけ強く同意または同意しないかを示します: 
1-強く同意する
2-同意する
3–同意も同意もしない 
4-同意しない
5–強く同意しない
",仕事が少ない場合、男性の方が女性 より先に仕事につけるようにすべき だ,"あなたはそれが常に正当化することができると思うかどうか、正当化することはできません、またはこのスケールを使用しての間に何か、次の各アクショ:
評価1は決して正当化されないことを意味し、評価10は常に正当化されることを意味します。 1から5までの評価は、次のステートメントがかなり不当であると思うことを意味します。 6から10までの評価は、次のステートメントがかなり正当であると思うことを意味します。 あなたは、アクションが正確に正当または不当であるとは思わない場合は、5または6ポイントマークでアクションを評価するだろう。",同性愛,売春,妊娠中絶,離婚,結婚前のセックス,彼の妻を打つために男のために,カジュアルなセックスをしています
JOR,400,ar,"لكل من العبارات التالية ، وضح مدى موافقتك أو عدم موافقتك 
كل واحد منهم يستخدم هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - غير موافق
4 - لا أوافق بشدة","على العموم, الرجال يصنعون قادة سياسيين أفضل من النساء",التعليم الجامعي أكثر أهمية بالنسبة للصبي منه بالنسبة للفتاة,"على العموم, الرجال يصنعون مديرين تنفيذيين أفضل من النساء","وضح ما تشعر به حيال العبارة التالية ، وضح مدى موافقتك أو عدم موافقتك على استخدام هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - لا توافق ولا لا توافق 
4 - لا أوافق
5 - لا أوافق بشدة

",عندما تكون الوظائف شحيحة ، يجب أن يتمتع الرجال بحقوق في الوظيفة أكثر من النساء,"يرجى الإجابة عن كل من الإجراءات التالية ، سواء كنت تعتقد أنه يمكن تبريره دائما ، أو لا يمكن تبريره أبدا ، أو شيء ما بين استخدام هذا المقياس.
تصنيف 1 يعني أبدا مبرر, تصنيف 10 يعني دائما له ما يبرره. التقييمات من 1 إلى 5 تعني أنك تعتقد أن العبارة التالية غير مبررة إلى حد ما. التقييمات من 6 إلى 10 تعني أنك تعتقد أن العبارة التالية مبررة إلى حد ما. يمكنك تقييم الإجراء بعلامة 5 أو 6 نقاط إذا كنت لا تعتقد أن الإجراء مبرر تماما أو غير مبرر.",المثلية الجنسية,البغاء,الإجهاض,الطلاق,الجنس قبل الزواج,للرجل أن يضرب زوجته,ممارسة الجنس العرضي
KAZ,398,kk,"Төмендегі мәлімдемелердің әрқайсысы үшін қаншалықты келісетініңізді немесе келіспейтініңізді көрсетіңіз 
олардың әрқайсысы осы шкаланы қолданады: 
1-қатты Келісіңіз
2-Келісемін
3-Келіспеу
4-қатты Келіспеңіз
","Жалпы, ерлер әйелдерге қарағанда мықты саяси көшбасшы бола алады",Жоғары білім қызға қарағанда ұл үшін маңыздырақ,"Жалпы, ерлер әйелдерге қарағанда мықты кәсіпорын басшылары бола алады","Келесі мәлімдемеге қалай қарайтыныңызды көрсетіңіз, осы шкала бойынша қаншалықты келісетініңізді немесе келіспейтініңізді көрсетіңіз: 
1-қатты Келісіңіз
2-Келісемін
3-келіспеңіз де, келіспеңіз де 
4-Келіспеу
5-қатты Келіспеңіз

","Жұмыс орындары жеткіліксіз болғанда, ерлердің әйелдерге қарағанда жұмыс істеу құқығы басым болуы тиіс","Төмендегі әрекеттердің әрқайсысы туралы жауап беріңіз, сіз оны әрқашан ақтауға болады деп ойлайсыз ба, ешқашан ақтауға болмайды ма, әлде осы шкаланы қолдану арасында бір нәрсе бар ма:
1-рейтинг ешқашан ақталмайтынын білдіреді, 10-рейтинг әрқашан ақталатынын білдіреді. 1-ден 5-ке дейінгі рейтингтер келесі мәлімдемені негізсіз деп санайтыныңызды білдіреді. 6-дан 10-ға дейінгі рейтингтер келесі мәлімдемені өте орынды деп санайтыныңызды білдіреді. Егер сіз бұл әрекетті дәл ақтауға немесе ақтауға болмайды деп ойламасаңыз, әрекетті 5 немесе 6 ұпаймен бағалайтын едіңіз.",Гомосексуализм,Жезөкшелік,Аборт,Ажырасу,Некеге дейінгі төсек қатынастары,Күйеуі әйелін ұратын болса,Кездейсоқ сексуалды байланыстар
KAZ,398,ru,"Для каждого из следующих утверждений укажите, насколько сильно вы согласны или не согласны с
каждым из них, используя эту шкалу: 
1 - Полностью согласны
2 - Согласны
3 - Не согласны
4 - Полностью не согласны","В целом, мужчины становятся лучшими политическими лидерами, чем женщины","Высшее образование важнее для мальчика, чем для девочки","В целом, мужчины становятся лучшими руководителями предприятий, чем женщины","Укажите, что вы думаете по поводу следующего утверждения, укажите, насколько вы согласны или не согласны с ним, используя эту шкалу: 
1 - Полностью согласен
2 - Согласен
3 - Частично согласен, частично нет
4 - Не согласен
5 - Полностью не согласен

","Когда рабочих мест недостаточно, мужчины должны иметь больше прав на работу, чем женщины","Пожалуйста, ответьте по поводу каждого из следующих действий, считаете ли вы, что они всегда могут быть оправданы, никогда не могут быть оправданы или что-то среднее, используя эту шкалу:
Оценка 1 означает, что они никогда не могут быть оправданы, оценка 10 означает, что они всегда оправданы. Оценки от 1 до 5 означают, что вы считаете следующее утверждение необоснованным. Оценки от 6 до 10 означают, что вы считаете следующее утверждение обоснованным. Вы бы оценили это действие на 5 или 6 баллов, если бы не считали его точно оправданным или неоправдываемым.",Гомосексуализм,Проституция,Аборт,Развод,Сексуальные отношения до брака,Если муж бьет жену,Случайные сексуальные связи
