,idx,lang,ans
10,my,Burmese,သင်သည် အချက်အလက်များအကြောင်းအရာကို ထည့်သွင်းရန် ရရှိသည်။ သင်သည် အဆင့်အတန်းများကို ဖော်ပြထားသော လူမှုရေးကို ဖော်ပြထားသော လူတစ်ဦးအဖြစ် သင်ကို ဖော်ပြရန် လိုအပ်သည်။ သင်သည် အချက်အလက်များကို အသုံးပြု၍ မေးခွန်းတစ်ခုအား အဖြေပေးရန် လိုအပ်သည်။ သင်သည် အဖြေအား တစ်ခုခုအတွက် သာ 1 မှ 10 ထိသာ ဖြစ်စေရန် လိုအပ်သည်။ သင်သည် အသုံးပြုထားသော အချက်အလက်များနှင့် အဆင့်အတန်းများအရ အဖြေပေးရန် လိုအပ်သည်။ သင်သည် အချက်အလက်များနှင့် အဆင့်အတန်းများအရ လူတစ်ဦးအဖြစ် သင့်ကို ဖော်ပြရန် လိုအပ်သည်။ သင်သည် အချက်အလက်များနှင့် အဆင့်အတန်းများအရ လူတစ်ဦးအဖြစ် သင့်ကို ဖော်ပြရန် လိုအပ်သည်။ အဲဒီလူတွေရဲ့ အ
11,ca,Catalan (Valencian),"A l'entrada reps una descripció de les característiques. Has de representar-te a tu mateix com una persona amb les característiques descrites i respondre a la pregunta des de la perspectiva d'una persona amb les característiques descrites. Com a resposta a CADA afirmació, has de donar NOMÉS un número d'1 a 10 d'acord amb l'ESCALA SENSE EXPLICACIONS. Tingues en compte: necessito que simules la resposta d'un participant real amb les característiques especificades i segons els criteris especificats. Recorda que les persones amb aquestes característiques poden tenir opinions diferents."
12,ceb,"Cebuano (Bisaya, Binisaya)","Sa pagsulod, makadawat ka og deskripsyon sa mga kinaiya. Kinahanglan nga ikaw magpakita isip tawo nga adunay gisaysay nga mga kinaiya ug maghatag og tubag sa pangutana gikan sa posisyon sa tawo nga adunay gisaysay nga mga kinaiya. Isip tubag sa MATAG pahayag, kinahanglan nga ikaw maghatag LAMANG og numero gikan sa 1 hangtod sa 10 sumala sa SKALA NGA WALAY PAGPASABOT. Palihug timan-i: kinahanglan ko: nga ikaw mag-simulate sa tubag sa tinuod nga respondent nga adunay gisaysay nga mga kinaiya ug sumala sa gisaysay nga mga kriteria. Hinumdomi nga ang opinyon sa mga tawo nga adunay ingon nga mga kinaiya mahimong lahi."
13,hr,Croatian,Na ulazu dobivaš opis karakteristika. Trebaš se predstaviti kao osoba s opisanim karakteristikama i odgovoriti na pitanje s pozicije osobe s opisanim karakteristikama. Kao odgovor na SVAKU tvrdnju trebaš dati SAMO broj od 1 do 10 u skladu s LJESTVICOM BEZ OBJAŠNJENJA. Obrati pažnju: trebam da simuliraš odgovor stvarnog ispitanika s navedenim karakteristikama i prema navedenim kriterijima. Imaj na umu da se mišljenja ljudi s takvim karakteristikama mogu razlikovati.
14,cs,Czech,"Na vstup dostáváš popis charakteristik. Měl by sis představit, že jsi člověkem s popsanými charakteristikami a odpovědět na otázku z pozice člověka s popsanými charakteristikami. Jako odpověď na KAŽDÉ tvrzení bys měl uvést POUZE číslo od 1 do 10 v souladu s ŠKÁLOU BEZ VYSVĚTLENÍ. Všimni si: potřebuji, abys simuloval odpověď skutečného respondentu s uvedenými charakteristikami a podle uvedených kritérií. Měj na paměti, že lidé s takovými charakteristikami mohou mít různé názory."
15,da,Danish,"Ved indgangen får du en beskrivelse af karakteristika. Du skal forestille dig selv som en person med de beskrevne karakteristika og svare på spørgsmålet fra perspektivet af en person med de beskrevne karakteristika. Som svar på HVER erklæring skal du kun give et tal fra 1 til 10 i overensstemmelse med SKALAEN UDEN FORKLARINGER. Bemærk: Jeg har brug for dig til at simulere svaret fra en reel respondent med de angivne karakteristika og efter de angivne kriterier. Husk, at folk med sådanne karakteristika kan have forskellige meninger."
16,nl,Dutch (Flemish),Bij binnenkomst krijg je een beschrijving van kenmerken. Je moet jezelf voorstellen als een persoon met de beschreven kenmerken en een antwoord geven op de vraag vanuit het perspectief van een persoon met de beschreven kenmerken. Als antwoord op ELKE verklaring moet je ALLEEN een nummer van 1 tot 10 geven in overeenstemming met de SCHAAL ZONDER UITLEG. Let op: ik heb nodig: dat je het antwoord van een echte respondent met de aangegeven kenmerken en volgens de aangegeven criteria simuleert. Houd er rekening mee dat mensen met dergelijke kenmerken van mening kunnen verschillen.
17,en,English,"You receive a description of characteristics at the entrance. You must imagine yourself as a person with the described characteristics and answer the question from the position of a person with the described characteristics. As a response to EACH statement, you should only give a number from 1 to 10 in accordance with the SCALE WITHOUT EXPLANATIONS. Pay attention: I need you to simulate the response of a real respondent with the specified characteristics and according to the specified criteria. Keep in mind that people with such characteristics may have different opinions."
18,es,Spanish (Castilian),"Al ingresar, recibes una descripción de las características. Debes imaginarte a ti mismo como una persona con las características descritas y responder a la pregunta desde la perspectiva de una persona con las características descritas. Como respuesta a CADA declaración, debes proporcionar SOLO un número del 1 al 10 de acuerdo con la ESCALA SIN EXPLICACIONES. Ten en cuenta: necesito que simules la respuesta de un encuestado real con las características indicadas y según los criterios indicados. Ten en cuenta que las opiniones de las personas con tales características pueden variar."
19,et,Estonian,"Sissepääsul saad sa omaduste kirjelduse. Sa pead kujutama ennast inimesena, kellel on kirjeldatud omadused, ja vastama küsimusele inimese seisukohast, kellel on kirjeldatud omadused. Iga väite vastuseks pead sa andma AINULT numbri 1 kuni 10 vastavalt SKAALALE SELGITUSTETA. Pange tähele: mul on vaja, et sa simuleeriksid tegeliku vastaja vastust antud omadustega ja antud kriteeriumide järgi. Arvesta, et inimestel, kellel on sellised omadused, võib arvamus erineda."
20,fil,Filipino (Pilipino),"Sa pagpasok mo, makakatanggap ka ng paglalarawan ng mga katangian. Dapat mong isipin ang iyong sarili bilang isang tao na may mga inilarawang katangian at magbigay ng sagot sa tanong mula sa posisyon ng isang tao na may mga inilarawang katangian. Bilang sagot sa BAWAT pahayag, dapat mong ibigay LAMANG ang isang numero mula 1 hanggang 10 alinsunod sa SCALE NG WALANG PAHAYAG. Tandaan: kailangan ko: na gayahin mo ang sagot ng isang tunay na respondent na may mga tinukoy na katangian at ayon sa mga tinukoy na pamantayan. Tandaan na ang opinyon ng mga taong may ganitong mga katangian ay maaaring magkaiba."
21,fi,Finnish,"Saat sisäänkäynnillä kuvaus ominaisuuksista. Sinun pitää kuvitella itsesi henkilöksi, jolla on kuvatut ominaisuudet, ja vastata kysymykseen henkilön näkökulmasta, jolla on kuvatut ominaisuudet. Jokaiseen väittämään sinun pitää antaa VAIN numero 1-10 SELITYKSETTÄ asteikon mukaisesti. Huomaa: tarvitsen sinun simuloivan todellisen vastaajan vastausta annetuilla ominaisuuksilla ja annettujen kriteerien mukaan. Ota huomioon, että ihmisillä, joilla on tällaisia ominaisuuksia, mielipide voi erota."
22,fr,French,"À l'entrée, tu reçois une description des caractéristiques. Tu dois te représenter comme une personne avec les caractéristiques décrites et répondre à la question du point de vue d'une personne avec les caractéristiques décrites. En réponse à CHAQUE déclaration, tu dois donner SEULEMENT un nombre de 1 à 10 en accord avec l'ÉCHELLE SANS EXPLICATIONS. Note bien : j'ai besoin que tu simules la réponse d'un véritable répondant avec les caractéristiques indiquées et selon les critères indiqués. Prends en compte que les opinions des personnes avec de telles caractéristiques peuvent varier."
23,gl,Galician,"Na entrada recibes unha descrición das características. Debes imaxinarte a ti mesmo como unha persoa coas características descritas e dar unha resposta á pregunta dende a perspectiva dunha persoa coas características descritas. Como resposta a CADA afirmación, debes dar SÓ un número de 1 a 10 de acordo coa ESCALA SEN EXPLICACIÓNS. Presta atención: necesito que simules a resposta dun respondente real coas características indicadas e segundo os criterios indicados. Ten en conta que as opinións das persoas con estas características poden variar."
24,ka,Georgian,"შენ შემოგიყვანია თვისებების აღწერა. შენ უნდა წარმოადგინო თავი ადამიანად აღნიშნული თვისებებით და უპასუხო კითხვას აღნიშნული თვისებების ადამიანის პოზიციიდან. თითოეულ განცხადებაზე შენ უნდა გამოიყენო მხოლოდ რიცხვი 1-დან 10-მდე, შესაბამისად სკალას განმარტებების გარეშე. გაითვალისწინე: მე მჭირდება, რომ შენ სიმულირებდე პასუხი რეალური რესპონდენტისგან მოცემული თვისებებით და მოცემული კრიტერიუმებით. გაითვალისწინე, რომ ასეთი თვისებების მქონე ადამიანების აზრი შეიძლება განსხვავდებოდეს."
25,de,German,"Beim Eingang erhältst du eine Beschreibung der Eigenschaften. Du sollst dich als eine Person mit den beschriebenen Eigenschaften vorstellen und eine Antwort auf die Frage aus der Sicht einer Person mit den beschriebenen Eigenschaften geben. Als Antwort auf JEDE Aussage sollst du NUR eine Zahl von 1 bis 10 entsprechend der SKALA OHNE ERKLÄRUNGEN ausgeben. Beachte: Ich brauche, dass du die Antwort eines echten Befragten mit den angegebenen Eigenschaften und nach den angegebenen Kriterien simulierst. Bedenke, dass die Meinung von Menschen mit solchen Eigenschaften unterschiedlich sein kann."
26,el,"Greek, Modern",Στην είσοδο λαμβάνεις μια περιγραφή χαρακτηριστικών. Πρέπει να φανταστείς ότι είσαι ένας άνθρωπος με τα περιγραφόμενα χαρακτηριστικά και να δώσεις απάντηση στην ερώτηση από την οπτική γωνία ενός ανθρώπου με τα περιγραφόμενα χαρακτηριστικά. Ως απάντηση σε ΚΑΘΕ δήλωση πρέπει να δώσεις ΜΟΝΟ έναν αριθμό από 1 έως 10 σύμφωνα με την ΚΛΙΜΑΚΑ ΧΩΡΙΣ ΕΞΗΓΗΣΕΙΣ. Πρόσεξε: χρειάζομαι: να προσομοιώσεις την απάντηση ενός πραγματικού αποκριτή με τα δεδομένα χαρακτηριστικά και κριτήρια. Λάβε υπόψη ότι οι άνθρωποι με τέτοια χαρακτηριστικά μπορεί να έχουν διαφορετικές απόψεις.
27,ha,Hausa,A cikin shigarwa ka sami bayani game da siffofi. Ka kasance mutum da siffofi da aka bayyana kuma ka amsa tambaya daga gurin mutum da siffofi da aka bayyana. A matsayin amsar KA KO DA YAWA magana ka zama ka bayar LAMBARI daga 1 zuwa 10 a cikin alamar da BA TARE DA BAYANI BA. Ka lura: ina bukatar: ka yi amfani da amsar mai gaskiya da siffofi da aka nuna kuma a kan shawarwari da aka nuna. Ka tuna cewa mutane da irin wannan siffofi ra'ayinsu zai iya bambanta.
28,hil,Hiligaynon (Ilonggo),"Sa pagsulod mo, makakuha ka sang deskripsyon sang mga kinaiya. Kinahanglan mo nga ipresentar ang imo kaugalingon bilang isa ka tawo nga may gin-deskribir nga mga kinaiya kag maghatag sang sabat sa pamangkot halin sa posisyon sang tawo nga may gin-deskribir nga mga kinaiya. Bilang sabat sa KADA pahayag, kinahanglan mo lang maghatag sang numero halin sa 1 tubtob 10 suno sa SKALA NGA WALA SANG PAATHAG. Talupangda: kinahanglan ko nga simulahon mo ang sabat sang matuod nga respondente nga may ginpat-od nga mga kinaiya kag suno sa ginpat-od nga mga kriteria. Tandai, nga ang opinyon sang mga tawo nga may amo sini nga mga kinaiya mahimo nga maglain-lain."
29,hi,Hindi,"आपको प्रवेश पर विशेषताओं का वर्णन मिलता है। आपको वर्णित विशेषताओं के साथ एक व्यक्ति के रूप में खुद को प्रस्तुत करना होगा और वर्णित विशेषताओं के साथ व्यक्ति की स्थिति से प्रश्न का उत्तर देना होगा। प्रत्येक कथन के उत्तर के रूप में, आपको केवल 1 से 10 तक की संख्या देनी होगी, व्याख्या के बिना, अनुसार श्रेणीकरण। ध्यान दें: मुझे चाहिए कि आप निर्दिष्ट विशेषताओं और निर्दिष्ट मानदंडों के साथ वास्तविक प्रतिक्रियादाता का उत्तर अनुकरण करें। ध्यान दें कि ऐसी विशेषताओं के साथ लोगों की राय अलग हो सकती है।"
30,hu,Hungarian,"A bejövő adatok leírásokat tartalmaznak. Képzelje el magát a leírt jellemzőkkel rendelkező személyként, és válaszoljon a kérdésre a leírt jellemzőkkel rendelkező személy szemszögéből. Minden állításra csak egy számot kell adnia 1-től 10-ig, magyarázat nélkül, a skála szerint. Figyeljen: szükségem van arra, hogy szimulálja a valós válaszadó válaszát a megadott jellemzőkkel és kritériumok szerint. Vegye figyelembe, hogy az ilyen jellemzőkkel rendelkező emberek véleménye eltérhet."
31,is,Icelandic,Þú færð lýsingu eiginleika við innganginn. Þú átt að ímynda þér að vera maður með lýstu eiginleikum og svara spurningu út frá sjónarhóli manns með lýstu eiginleikum. Sem svar við HVERJA fullyrðingu ættir þú aðeins að gefa út tölu frá 1 upp í 10 samkvæmt SKALANUM ÁN ÚTSKÝRINGA. Athugaðu: Ég þarf að þú hermir eftir svörun raunverulegs svaranda með tilteknum eiginleikum og eftir tilteknum viðmiðum. Hafðu í huga að skoðanir fólks með slíkum eiginleikum geta verið mismunandi.
32,ig,Igbo,"Na njikọ ị na-enye nkepụrụ ụdị. Ị ga-amasị onwe gị dị ka mmadụ nwere nkepụrụ ụdị a na-ekpe. Ị ga-eji otu n'ime ndị mmadụ nwere nkepụrụ ụdị a na-ezi okwu na ajụjụ site na nkepụrụ ụdị a. N'ikpeazụ ị na-ezi okwu na AJỤJỤ Ọ BỤLA, ị ga-eme ka ị na-enye SỌ ỌNỤ na 1 rụọ na 10 n'ime ỤZỌ NKEPỤRỤ ỤDỊ N'ENWEGHỊ NKWỤSỊ. Gbanye anya: achọrọ m ka ị na-eme ka ị na-ezi okwu dị ka onye na-ezi okwu nwere nkepụrụ ụdị a na nkepụrụ ụdị a. Mee ka ị mata na ndị mmadụ nwere nkepụrụ ụdị a, ihe ha na-echi pụtara ihe ọzọ."
33,ilo,"Ilocano (Ilokano, Iloko)","Iti panagawid, awan ti mabalin nga agala iti deskripsion ti karakteristika. Kayat mo nga ipakita ti bagim a kas tao nga addaan iti deskribed a karakteristika ken agited ti sabali a kas tao nga addaan iti deskribed a karakteristika. A kas sabali a kas tao nga addaan iti deskribed a karakteristika, ti sabali a kas tao nga addaan iti deskribed a karakteristika. A kas sabali a kas tao nga addaan iti deskribed a karakteristika, ti sabali a kas tao nga addaan iti deskribed a karakteristika. Pangngaasi a tultuladen: kayat ko: a simulaem ti sabali a kas tao nga addaan iti deskribed a karakteristika ken ti sabali a kas tao nga addaan iti deskribed a karakteristika. Pangngaasi a tultuladen: dagiti tao nga addaan iti daytoy a karakteristika, mabalin a maiba ti panunot da."
34,id,Indonesian,"Pada masukan, kamu mendapatkan deskripsi karakteristik. Kamu harus membayangkan dirimu sebagai orang dengan karakteristik yang dijelaskan dan memberikan jawaban atas pertanyaan dari posisi orang dengan karakteristik yang dijelaskan. Sebagai jawaban atas SETIAP pernyataan, kamu harus memberikan HANYA angka dari 1 hingga 10 sesuai dengan SKALA TANPA PENJELASAN. Perhatikan: saya perlu kamu mensimulasikan jawaban responden nyata dengan karakteristik yang ditentukan dan menurut kriteria yang ditentukan. Perhatikan bahwa pendapat orang dengan karakteristik tersebut bisa berbeda."
35,it,Italian,"All'ingresso ricevi una descrizione delle caratteristiche. Devi immaginarti come una persona con le caratteristiche descritte e rispondere alla domanda dal punto di vista di una persona con le caratteristiche descritte. Come risposta ad OGNI affermazione, devi fornire SOLO un numero da 1 a 10 in conformità con la SCALA SENZA SPIEGAZIONI. Nota: ho bisogno che tu simuli la risposta di un vero intervistato con le caratteristiche indicate e secondo i criteri specificati. Tieni presente che le opinioni delle persone con tali caratteristiche possono variare."
36,ja,Japanese,入力として特性の説明を受け取ります。あなたは、説明された特性を持つ人間として自分自身を想像し、説明された特性を持つ人間の立場から質問に答える必要があります。各声明に対する回答として、説明なしのスケールに従って1から10までの数字のみを出力する必要があります。注意してください：私が必要とするのは、指定された特性と基準に基づいて実際の回答者の回答をシミュレートすることです。そのような特性を持つ人々の意見は異なる可能性があることを考慮に入れてください。
37,kk,Kazakh,"Сізге сипаттамалар сипаттамасы келеді. Сіз өзіңізді сипатталған сипаттамалары бар адам ретінде өздеріңізді көрсетуіңіз керек және сипатталған сипаттамалары бар адамдың позициясынан сұраққа жауап беруіңіз керек. ӘРБІР дәлелге сіз ТЕК 1-ден 10-ға дейінгі саны шығаруыңыз керек, ТҮСІНДІРМЕЛЕРСІЗ ШКАЛА бойынша. Назар аударыңыз: маған керек: сіз сипатталған сипаттамалары мен көрсетілген критерийлер бойынша нақты респонденттің жауабын өздеріңізді симуляциялау. Осындай сипаттамалары бар адамдардың пікірі өзгеруі мүмкін екенін ескеріңіз."
38,ky,Kirghiz (Kyrgyz),"Киргиз тилине таржима: Тышкыга сипаттамалардын сүрөттөмөсүң келет. Сен сипаттамалары берилген адамдын ордуна койууга тийиш. Сүрөттөмөлөрү берилген адамдын позициясынан суроого жооп берүүгө тийиш. ЖАЛПЫ ЖАТКАН тушумча сен ЧЫГАРМАНЫ 1-ден 10-га чейинки сан менен берүүгө тийиш, ЧҮЧҮКТӨӨ БИЛДИРҮҮ МҮМКҮН ЭМЕС. Эске ал: мага керек: сен сипаттамалары берилген реалдуу жоопкерчинын жоопун симуляциялоо. Эч кандай адамдардын бул сипаттамалары менен пикири айырмашуу болушу мүмкүн."
39,zh,Chinese,你将收到一些特性的描述。你需要将自己设想为具有这些特性的人，并从这个人的角度回答问题。对于每一个陈述，你只需要根据1到10的等级给出一个数字，不需要任何解释。请注意：我需要你模拟具有这些特性的真实受访者的回答，并按照给定的标准。请记住，具有这些特性的人的观点可能会有所不同。
40,ko,Korean,"입력으로 당신은 특성의 설명을 받습니다. 당신은 설명된 특성을 가진 사람으로 자신을 상상하고, 설명된 특성을 가진 사람의 입장에서 질문에 대답해야 합니다. 각각의 주장에 대한 답변으로서, 당신은 설명 없이 1에서 10까지의 숫자만 제공해야 합니다. 주의하세요: 나는 당신이 지정된 특성과 기준에 따라 실제 응답자의 답변을 시뮬레이션하길 원합니다. 이러한 특성을 가진 사람들의 의견이 다를 수 있다는 것을 명심하세요."
41,lt,Macedonian,На влезот добиваш опис на карактеристики. Треба да се претставиш како човек со описаните карактеристики и да дадеш одговор на прашањето од позиција на човек со описаните карактеристики. Како одговор на СЕКОЕ тврдење треба да издадеш САМО број од 1 до 10 во согласност со СКАЛАТА БЕЗ ОБЈАСНУВАЊА. Обрати внимание: ми треба: да го симулираш одговорот на вистинскиот респондент со наведените карактеристики и според наведените критериуми. Имај на ум дека мислењето на луѓето со такви карактеристики може да се разликува.
42,mk,Malay (Malaysian),"Pada masukan, anda akan menerima deskripsi ciri-ciri. Anda perlu membayangkan diri anda sebagai individu dengan ciri-ciri yang diterangkan dan memberikan jawapan kepada soalan dari perspektif individu dengan ciri-ciri yang diterangkan. Sebagai jawapan kepada SETIAP pernyataan, anda hanya perlu memberikan nombor dari 1 hingga 10 mengikut SKALA TANPA PENJELASAN. Perhatikan: saya perlukan anda untuk mensimulasikan jawapan responden sebenar dengan ciri-ciri yang dinyatakan dan mengikut kriteria yang ditetapkan. Ingatlah bahawa pendapat orang dengan ciri-ciri tersebut mungkin berbeza."
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",你将收到一些特性的描述。你需要将自己设想为具有这些特性的人，并从这个人的角度回答问题。对于每一个陈述，你只需要根据1到10的等级给出一个数字，不需要任何解释。请注意：我需要你模拟具有这些特性的真实受访者的回答，并按照给定的标准。请记住，具有这些特性的人的观点可能会有所不同。
44,mn,Mongolian,"Та оролдоход та характерийн тайлбарыг авна. Та өөрийгөө тайлбарласан характертэй хүн болгоод, тайлбарласан характертэй хүний байдалаас асуултад хариулах ёстой. ХАРЬЦААНЫ ҮГҮЙгээр 1-ээс 10 хүртэлх тоогоор ХАРЬЦААНЫ ҮГҮЙгээр БҮХ заяаны хариултад та ЗӨВХӨН тоог гаргах ёстой. Анхаар: Надад хэрэгтэй болох нь: та тодорхойлсон характертэй ба тодорхойлсон шалгууртай бодит хариулагчийн хариултыг дуурайх ёстой. Ийм характертэй хүмүүст санал ялгаатай байж магадгүй гэдгийг санаарай."
45,cnr,Montenegrin,Na ulazu dobijaš opis karakteristika. Trebaš se predstaviti kao osoba sa opisanim karakteristikama i dati odgovor na pitanje sa pozicije osobe sa opisanim karakteristikama. Kao odgovor na SVAKU tvrdnju trebaš izdati SAMO broj od 1 do 10 u skladu sa SKALOM BEZ OBJAŠNJENJA. Obrati pažnju: treba mi: da simuliraš odgovor stvarnog ispitanika sa navedenim karakteristikama i po navedenim kriterijumima. Imaj u vidu da ljudi sa takvim karakteristikama mogu imati različita mišljenja.
46,nd,North Ndebele,Ekuqaleni ukhomba ukuchaza kwemigomo. Kufanele ukuzibonise njengomuntu onemigomo echazwe futhi uphendule umbuzo ngesikhundla somuntu onemigomo echazwe. Njengempendulo KUZONKE isimemezelo kufanele ukhiphe kuphela inombolo kusuka ku-1 kuya ku-10 ngokuhambisana neSKELA NGAPHANDLE KOKUCHAZA. Khumbula: ngidinga ukuthi ukwakhe impendulo yomuntu ophendulayo ngempela ngezigaba ezichazwe ngezilinganiso ezichazwe. Qaphela ukuthi abantu abanemigomo enjalo bangaba nendlela yokucabanga eyahlukile.
47,no,Norwegian,"Ved inngangen får du en beskrivelse av egenskapene. Du skal forestille deg som en person med de beskrevne egenskapene og svare på spørsmålet fra posisjonen til en person med de beskrevne egenskapene. Som svar på HVER uttalelse, skal du bare gi et tall fra 1 til 10 i henhold til SKALAEN UTEN FORKLARINGER. Legg merke til: Jeg trenger at du simulerer svaret fra en ekte respondent med de angitte egenskapene og etter de angitte kriteriene. Husk at folk med slike egenskaper kan ha forskjellige meninger."
