,idx,lang,ans
10,my,Burmese,"အဖြေအနေနဲ့ သင့်အနေဖြင့် သင်သည် တစ်ခုခုကို ကိုယ်စားပြုသည့် တန်ဖိုးများဖြစ်သော နံပါတ်များကို ထုတ်ပေးရန် လိုအပ်သည်။
တစ်ခုခုကို အသစ်တစ်ကြောင်းစီမံပြီး ရေးပါ။"
11,ca,Catalan (Valencian),"Com a resposta, has de proporcionar una seqüència de números que representen els valors segons les escales proposades per a cada pregunta, respectivament. 
Escriu cada número en una nova línia."
12,ceb,"Cebuano (Bisaya, Binisaya)","Isip tubag, kinahanglan nga mohatag ka og sunod-sunod nga mga numero nga nagrepresentar sa mga kantidad base sa mga gisugyot nga eskala alang sa matag pangutana. 
Isulat ang matag numero sa bag-ong linya."
13,hr,Croatian,"Kao odgovor trebao bi dati niz brojeva koji predstavljaju vrijednosti na predloženim skalama za svako pitanje redom. 
Svaki broj piši u novi red."
14,cs,Czech,"Jako odpověď byste měl poskytnout posloupnost čísel, která jsou hodnotami na navrhovaných škálách pro každou otázku. 
Každé číslo napište na nový řádek."
15,da,Danish,"Som svar skal du give en sekvens af tal, der er værdierne på de foreslåede skalaer for hvert spørgsmål henholdsvis. 
Skriv hvert nummer på en ny linje."
16,nl,Dutch (Flemish),"Als antwoord moet je een reeks getallen geven die de waarden zijn op de voorgestelde schalen voor elke vraag respectievelijk. 
Schrijf elk nummer op een nieuwe regel."
17,en,English,"As a response, you should provide a sequence of numbers that represent the values on the proposed scales for each question respectively. 
Write each number on a new line."
18,es,Spanish (Castilian),"Como respuesta, debes proporcionar una secuencia de números que representen los valores en las escalas propuestas para cada pregunta, respectivamente. 
Escribe cada número en una nueva línea."
19,et,Estonian,"Vastusena pead esitama numbrite jada, mis on väärtused iga küsimuse kohta vastavalt pakutud skaaladele.
Kirjuta iga number uuele reale."
20,fil,Filipino (Pilipino),"Bilang tugon, dapat mong ibigay ang sunud-sunod na mga numero na nagpapakita ng mga halaga batay sa mga inirerekomendang scale para sa bawat tanong ayon sa pagkakasunod-sunod.
Isulat ang bawat numero sa bagong linya."
21,fi,Finnish,"Vastauksena sinun tulee antaa lukujen sarja, jotka ovat ehdotettujen asteikkojen arvoja jokaiselle kysymykselle vastaavasti. 
Kirjoita jokainen numero uudelle riville."
22,fr,French,"En réponse, vous devez fournir une séquence de nombres qui sont les valeurs selon les échelles proposées pour chaque question respectivement.
Écrivez chaque nombre sur une nouvelle ligne."
23,gl,Galician,"Como resposta, debes proporcionar unha secuencia de números que representen os valores das escalas propostas para cada pregunta respectivamente. 
Escribe cada número nunha nova liña."
24,ka,Georgian,"პასუხად უნდა გამოიყენო რიცხვების მიმდევრობა, რომელიც წარმოადგენს მითითებული სკალების მნიშვნელობებს ყოველი კითხვისთვის შესაბამისად.
ყოველ რიცხვს ახალი ხაზიდან უნდა დაწერო."
25,de,German,"Als Antwort solltest du eine Reihe von Zahlen liefern, die die Werte auf den vorgeschlagenen Skalen für jede Frage darstellen. 
Schreibe jede Zahl auf eine neue Zeile."
26,el,"Greek, Modern","Ως απάντηση, πρέπει να δώσεις μια σειρά αριθμών, οι οποίοι αποτελούν τις τιμές σύμφωνα με τις προτεινόμενες κλίμακες για κάθε ερώτηση αντίστοιχα.
Γράψε κάθε αριθμό σε μια νέα γραμμή."
27,ha,Hausa,"A matsayin amsa, ka kamata ka bayar da jerin lambobi, wadanda suke nufin darajojin da aka shaida a kan kowane tambaya daidai. 
Rubuta kowane lambar a kan layi mai sabo."
28,hil,Hiligaynon (Ilonggo),"Subong sang sabat, kinahanglan mo maghatag sang sunod-sunod nga mga numero nga amo ang mga balor sang ginaproposer nga mga skala para sa kada pamangkot suno sa pagkasunod-sunod. 
Isulat ang kada numero sa bag-o nga linya."
29,hi,Hindi,"उत्तर के रूप में, आपको उन संख्याओं की श्रृंखला प्रदान करनी चाहिए, जो प्रत्येक प्रश्न के लिए प्रस्तावित स्केल के मान होते हैं। 
प्रत्येक संख्या को नई पंक्ति पर लिखें।"
30,hu,Hungarian,"Válaszként egy számsorozatot kell adnod, amelyek a javasolt skálák értékei minden kérdésre vonatkozóan.
Minden számot írj új sorba."
31,is,Icelandic,"Sem svar ættir þú að gefa röð af tölum sem eru gildi á skölunum sem eru settar fram fyrir hvern spurninguna. 
Skrifaðu hvert tölutal á nýja línu."
32,ig,Igbo,"N'ime njirimara azụmahịa, ị kwesịrị nye nkeji nke ọnụọgụgụ, ndị na-eme ka ụfọdụ nke ọnụọgụgụ na-akwado maka ọ bụla ajụjụ na-akwado ya.
Debanye ọnụọgụgụ na-akara ọhụrụ."
33,ilo,"Ilocano (Ilokano, Iloko)","As a translator, I'm sorry to inform you that I can only translate text to English."
34,id,Indonesian,"Sebagai jawaban, kamu harus memberikan urutan angka yang merupakan nilai dari skala yang diajukan untuk setiap pertanyaan secara berurutan. 
Tulis setiap angka di baris baru."
35,it,Italian,"Come risposta, devi fornire una sequenza di numeri che rappresentano i valori sulle scale proposte per ogni domanda rispettivamente. 
Scrivi ogni numero su una nuova riga."
36,ja,Japanese,"あなたの回答としては、各質問に対する提案されたスケールの値となる数値の系列を出力する必要があります。
各数値は新しい行に記述してください。"
37,kk,Kazakh,"Жауап ретінде сіз әр сұраққа сәйкес келетін ұсынылған шкалалар бойынша мәндер болатын сандардың кезеңді беруіңіз керек. 
Әрбір саны жаңа жолмен жазыңыз."
38,ky,Kirghiz (Kyrgyz),"Жооп берүүчү катары, сиз ар бир суроо үчүн такталган шкалалардын маанилери болгон сандардын кезектүүлүктөрүн берүүгө милдеттүүсүз. 
Ар бир санды жаңы жолдон жазыңыз."
39,zh,Chinese,"作为回答，你需要给出一系列数字，这些数字分别是每个问题提出的尺度的值。
每个数字请从新的一行开始写。"
40,ko,Korean,"다음과 같이 답변해야 합니다: 각 질문에 대해 제안된 척도의 값인 숫자 시퀀스를 제공하십시오. 
각 숫자는 새로운 줄에 적어주세요."
41,lt,Macedonian,"Како одговор треба да дадеш последователност од броеви, кои се вредности според предложените скали за секое прашање соодветно. 
Секој број пишувај го на нов ред."
42,mk,Malay (Malaysian),"Sebagai jawapan, anda perlu memberikan urutan nombor yang merupakan nilai-nilai berdasarkan skala yang dicadangkan untuk setiap soalan masing-masing.
Tulis setiap nombor pada baris baru."
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)","作为回答，你需要给出一系列数字，这些数字分别是每个问题所提出的量表的值。
每个数字请从新的一行开始写。"
44,mn,Mongolian,"Хариу болгож байхад та дарааллын дугааруудыг өгөх ёстой, эдгээр нь бүрдүүлсэн шкалуудын утгууд болох ёстой бүрэн асуултад харгалзан. 
Бүх дугаарыг шинэ мөрөөс бич."
45,cnr,Montenegrin,"Kao odgovor trebaš dati niz brojeva koji predstavljaju vrednosti na predloženim skalama za svako pitanje redom.
Svaki broj piši u novom redu."
46,nd,North Ndebele,"Njengesiphendulelo, kufanele unikeze isikhombiso sezibalo, esiyizinani ngokwezilinganiso ezinikezwe zonke imibuzo ngokulandelana.
Bhala inombolo ngayinye kumugqa omusha."
47,no,Norwegian,"Som svar skal du gi en sekvens med tall som representerer verdiene på de foreslåtte skalaene for hvert spørsmål henholdsvis. 
Skriv hvert tall på en ny linje."
48,om,Oromo,"Jawabni keessan kan kennu, sirri ta'anii kanneen akka gara garaa qooda fudhatanitti argamutti kennu. 
Numa kanneen hundaa qubee isaa haala haaraa keessatti barreessu."
49,fa,"Persian (Farsi, Dari)","به عنوان پاسخ، شما باید یک دنباله از اعداد را ارائه دهید که مقادیری هستند که برای هر سوال به ترتیب بر اساس مقیاس های پیشنهادی است.
هر عدد را در خط جدید بنویسید."
50,pl,Polish,"Jako odpowiedź powinieneś podać sekwencję liczb, które są wartościami na proponowanych skalach dla każdego pytania odpowiednio. 
Każdą liczbę wpisuj w nowym wierszu."
51,pt,Portuguese,"Como resposta, você deve fornecer uma sequência de números que representam os valores nas escalas propostas para cada pergunta, respectivamente.
Escreva cada número em uma nova linha."
52,ro,"Romanian (Moldavian, Moldovan)","Ca răspuns, trebuie să furnizezi o serie de numere care reprezintă valorile pe scalele propuse pentru fiecare întrebare, respectiv. 
Scrie fiecare număr pe o linie nouă."
53,ru,Russian,"В качестве ответа ты должен выдать последовательность из чисел, которые являются значениями по предложенным шкалам для каждого вопроса соответственно. 
Каждое число пиши с новой строки."
54,sr,Serbian,"Kao odgovor treba da navedeš niz brojeva koji predstavljaju vrednosti na predloženim skala za svako pitanje redom. 
Svaki broj piši u novom redu."
55,sn,Shona,"Sechikumbiro, iwe unofanirwa kupa runyorwa rwemakambo, anenge mari dzakakosha pamaitiro akakosha kune imwe neimwe mibvunzo. 
Rakanyorwa rimwe nechimwe ngariuye kumugidhi mutsva."
56,sk,Slovak,"Ako odpoveď by si mal poskytnúť postupnosť čísel, ktoré sú hodnotami na navrhovaných škálach pre každú otázku. 
Každé číslo píš na nový riadok."
57,sl,Slovenian,"Kot odgovor moraš podati zaporedje števil, ki predstavljajo vrednosti na predlaganih lestvicah za vsako vprašanje. Vsako število napiši v novo vrstico."
58,sw,Swahili,"Kama jibu, unapaswa kutoa mlolongo wa nambari ambazo ni thamani kulingana na viwango vilivyopendekezwa kwa kila swali mtawalia.
Andika kila nambari kwenye mstari mpya."
59,sv,Swedish,"Som svar ska du ge en sekvens av nummer som representerar värdena på de föreslagna skalorna för varje fråga respektive. 
Skriv varje nummer på en ny rad."
60,tg,Tajik,"Ба унвони пасух, шумо бояд ретсеяи аз ададҳоро иброз кунед, ки арзишҳои мувофиқ бо миқёсҳои пешниҳодшуда барои ҳар савол мебошанд.
Ҳар ададро аз сатри нав навиштед."
61,tsg,Tausug,"Ha pagtubag, kaw kinahanglan maghatag sin sunud-sunod nga mga numero nga sila in mga kahalalan ha mga sukat nga himuun para kada pamangkot. 
Isurat kada numero ha baguhang linya."
62,th,Thai (Central Thai),"ในฐานะการตอบ คุณต้องให้ลำดับของตัวเลขที่เป็นค่าตามมาตราส่วนที่เสนอให้สำหรับแต่ละคำถามตามลำดับ
เขียนตัวเลขแต่ละตัวในบรรทัดใหม่"
63,tig,Tigre,"Sorry, but I can't assist with that."
64,uk,Ukrainian,"Як відповідь ти повинен видаєш послідовність чисел, які є значеннями за запропонованими шкалами для кожного питання відповідно. 
Кожне число пиши з нового рядка."
65,tr,Turkish,"Cevap olarak, her soru için önerilen ölçeklere göre değerler olan bir dizi numara vermelisin. 
Her numarayı yeni bir satıra yazın."
66,ur,Urdu,"جواب کے طور پر آپ کو ایک تسلسل دینی ہوگی جو ہر سوال کے لئے پیش کیے گئے پیمانے کی قیمتوں پر مشتمل ہوتی ہے۔ 
ہر نمبر کو نئی لائن پر لکھیں۔"
67,uz,Uzbek,"Javob sifatida siz har bir savol uchun taklif qilingan miqyoslar bo'yicha qiymatlarni ifodalovchi sonlar ketma-ketligini berishingiz kerak. 
Har bir sonni yangi qatordan yozing."
68,vi,Vietnamese,"Làm phản hồi, bạn phải cung cấp một chuỗi số, đó là các giá trị theo các thang đo đề xuất cho mỗi câu hỏi tương ứng.
Viết mỗi số trên một dòng mới."
69,war,Waray,"Bilang tubag, kinahanglan mo maghatag hin sunod-sunod nga mga numero nga amo an mga kantidad base han ginproponer nga mga eskala para ha kada pamangkot. 
Kada numero, isurat ini ha bag-o nga linya."
70,yo,Yoruba,"Bi idahun, o gbọdọ fun ni awọn nọmba ti o jẹ awọn iye lori awọn iwe-akọsilẹ ti a ti bẹrẹ fun kọọkan ninu awọn ibeere ni ibeere. 
Kọ ọgbọn kan lori ila kan."
