,idx,lang,0,1,2,3,4,5,6,7,8,-1,-5,-2
10,my,Burmese,သင်ရရှိထားသောအမြင့်ဆုံးပညာရေးအဆင့်မှာ ကလေးပညာရေးအစောပိုင်း / ပညာရေးမရရှိပါ။,သင်ရရှိထားသောအမြင့်ဆုံးပညာရေးအဆင့်မှာ မူလတန်းပညာရေးဖြစ်သည်။,သင်ရရှိထားသည့်အမြင့်ဆုံးပညာရေးအဆင့်မှာ အလယ်တန်းပညာရေးဖြစ်သည်။,သင်ရရှိထားသော ပညာရေးအဆင့်အမြင့်ဆုံးမှာ အထက်တန်းပညာရေး ဖြစ်သည်။,သင်ရရှိထားသည့်အမြင့်ဆုံးပညာရေးအဆင့်မှာ တက္ကသိုလ်မဟုတ်သည့် တက္ကသိုလ်အောက်ပညာရေးဖြစ်သည်။,သင်ရရှိခဲ့သည့်အမြင့်ဆုံးပညာရေးအဆင့်မှာ အတိုချုံးတက္ကသိုလ်ပညာရေးဖြစ်သည်။,သင်ရရှိထားသည့်အမြင့်ဆုံးပညာရေးအဆင့်မှာ ဘွဲ့တစ်ခု သို့မဟုတ် ညီမျှသောအဆင့်ဖြစ်သည်။,သင်ရရှိထားသောအမြင့်ဆုံးပညာရေးအဆင့်မှာ မာစတာဘွဲ့ သို့မဟုတ် ထိုနှင့်တူညီသောအဆင့်ဖြစ်သည်။,သင်ရရှိထားသော အမြင့်ဆုံးပညာရေးအဆင့်မှာ ဒေါက်တာဘွဲ့ သို့မဟုတ် ညီမျှသောအဆင့် ဖြစ်သည်။,,,
11,ca,Catalan (Valencian),El nivell més alt d'educació que has assolit és educació infantil / sense educació.,El nivell més alt d'educació que has assolit és l'educació primària.,El nivell més alt d'educació que has assolit és l'educació secundària inferior.,El nivell més alt d'educació que has assolit és l'educació secundària superior.,El nivell més alt d'educació que has assolit és l'educació postsecundària no terciària.,El nivell més alt d'educació que has assolit és l'educació terciària de cicle curt.,El nivell més alt d'educació que has assolit és el de grau o equivalent.,El nivell més alt d'educació que has assolit és màster o equivalent.,El nivell més alt d'educació que has assolit és el doctorat o equivalent.,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Ang labing taas nga lebel sa edukasyon nga imong naangkon kay edukasyon sa sayong pagkabata / walay edukasyon.,Ang pinakataas nga lebel sa edukasyon nga imong naangkon kay elementarya.,Ang labing taas nga lebel sa edukasyon nga imong naangkon kay ubos nga sekundaryang edukasyon.,Ang pinakataas nga lebel sa edukasyon nga imong naangkon mao ang taas nga sekondarya nga edukasyon.,Ang pinakataas nga lebel sa edukasyon nga imong naangkon mao ang post-sekundarya nga dili tersyaryo nga edukasyon.,Ang labing taas nga lebel sa edukasyon nga imong naangkon mao ang mubo nga kurso sa tersiyaryong edukasyon.,Ang pinakataas nga lebel sa edukasyon nga imong nakab-ot kay bachelor's degree o katumbas niini.,Ang labing taas nga lebel sa edukasyon nga imong naangkon kay master's o katumbas niini.,Ang pinakataas nga lebel sa edukasyon nga imong nakab-ot kay doktorado o katumbas niini.,,,
13,hr,Croatian,Najviša razina obrazovanja koju ste postigli je rano djetinjstvo / bez obrazovanja.,Najviša razina obrazovanja koju ste postigli je osnovno obrazovanje.,Najviša razina obrazovanja koju ste postigli je niže srednje obrazovanje.,Najviša razina obrazovanja koju ste postigli je srednje obrazovanje.,Najviša razina obrazovanja koju ste postigli je posrednje obrazovanje nakon srednje škole.,Najviša razina obrazovanja koju ste postigli je kratki ciklus tercijarnog obrazovanja.,Najviša razina obrazovanja koju ste postigli je prvostupnik ili ekvivalent.,Najviša razina obrazovanja koju ste postigli je magisterij ili ekvivalent.,Najviša razina obrazovanja koju ste postigli je doktorska ili ekvivalentna.,,,
14,cs,Czech,"Nejvyšší úroveň vzdělání, které jste dosáhli, je předškolní vzdělání / žádné vzdělání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je základní vzdělání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je nižší střední vzdělání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je střední vzdělání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je postsekundární neterciární vzdělání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je krátký cyklus terciárního vzdělávání.","Nejvyšší úroveň vzdělání, které jste dosáhli, je bakalář nebo ekvivalent.","Nejvyšší úroveň vzdělání, které jste dosáhli, je magisterské nebo ekvivalentní.","Nejvyšší úroveň vzdělání, které jste dosáhli, je doktorát nebo ekvivalent.",,,
15,da,Danish,"Det højeste uddannelsesniveau, du har opnået, er tidlig barndomsuddannelse / ingen uddannelse.","Det højeste uddannelsesniveau, du har opnået, er grundskoleuddannelse.","Den højeste uddannelse, du har opnået, er grundskoleuddannelse.","Det højeste uddannelsesniveau, du har opnået, er gymnasial uddannelse.","Det højeste uddannelsesniveau, du har opnået, er post-sekundær ikke-tertiær uddannelse.","Det højeste uddannelsesniveau, du har opnået, er kort videregående uddannelse.","Det højeste uddannelsesniveau, du har opnået, er bachelor eller tilsvarende.","Det højeste uddannelsesniveau, du har opnået, er kandidatgrad eller tilsvarende.","Det højeste uddannelsesniveau, du har opnået, er doktorgrad eller tilsvarende.",,,
16,nl,Dutch (Flemish),Het hoogste opleidingsniveau dat u heeft behaald is vroegschoolse educatie / geen opleiding.,Het hoogste opleidingsniveau dat u heeft behaald is lager onderwijs.,"Het hoogste opleidingsniveau dat u heeft behaald, is lager secundair onderwijs.",Het hoogste opleidingsniveau dat je hebt behaald is hoger secundair onderwijs.,"Het hoogste opleidingsniveau dat u heeft behaald, is postsecundair niet-tertiair onderwijs.","Het hoogste opleidingsniveau dat u heeft behaald, is kort-cyclisch tertiair onderwijs.","Het hoogste opleidingsniveau dat u heeft behaald, is een bachelor of gelijkwaardig.",Het hoogste opleidingsniveau dat u heeft behaald is master of gelijkwaardig.,Het hoogste opleidingsniveau dat u heeft behaald is doctoraal of gelijkwaardig.,,,
17,en,English,The highest level of education you have achieved is early childhood education / no education,The highest level of education you have achieved is primary education,The highest level of education you have achieved is lower secondary education,The highest level of education you have achieved is upper secondary education,The highest level of education you have achieved is post-secondary non-tertiary education,The highest level of education you have achieved is short-cycle tertiary education,The highest level of education you have achieved is bachelor or equivalent,The highest level of education you have achieved is master or equivalent,The highest level of education you have achieved is doctoral or equivalent,,,
18,es,Spanish (Castilian),El nivel más alto de educación que ha alcanzado es educación infantil / sin educación.,El nivel más alto de educación que has alcanzado es la educación primaria.,El nivel más alto de educación que has alcanzado es la educación secundaria inferior.,El nivel más alto de educación que has alcanzado es la educación secundaria superior.,El nivel más alto de educación que has alcanzado es educación postsecundaria no terciaria.,El nivel más alto de educación que has alcanzado es la educación terciaria de ciclo corto.,El nivel más alto de educación que ha alcanzado es licenciatura o equivalente.,El nivel más alto de educación que has alcanzado es máster o equivalente.,El nivel más alto de educación que ha alcanzado es doctoral o equivalente.,,,
19,et,Estonian,Teie saavutatud kõrgeim haridustase on alusharidus / haridus puudub.,Teie saavutatud kõrgeim haridustase on põhiharidus.,Teie saavutatud kõrgeim haridustase on põhiharidus.,Teie saavutatud kõrgeim haridustase on keskharidus.,"Teie saavutatud kõrgeim haridustase on keskharidusjärgne, mitte kolmanda taseme haridus.",Teie kõrgeim haridustase on lühikese tsükli kõrgharidus.,Teie saavutatud kõrgeim haridustase on bakalaureusekraad või sellega samaväärne.,Teie saavutatud kõrgeim haridustase on magistrikraad või sellega samaväärne.,Teie saavutatud kõrgeim haridustase on doktorikraad või sellega samaväärne.,,,
20,fil,Filipino (Pilipino),Ang pinakamataas na antas ng edukasyon na iyong natamo ay edukasyon sa maagang pagkabata / walang edukasyon.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay elementarya.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay mababang sekundaryang edukasyon.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay mataas na sekundaryang edukasyon.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay post-sekundarya na hindi tersiyaryo na edukasyon.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay maikling kurso sa tersiyaryong edukasyon.,Ang pinakamataas na antas ng edukasyon na iyong natapos ay bachelor's degree o katumbas nito.,Ang pinakamataas na antas ng edukasyon na iyong natamo ay master o katumbas nito.,Ang pinakamataas na antas ng edukasyon na iyong natamo ay doktorado o katumbas nito.,,,
21,fi,Finnish,"Korkein koulutustaso, jonka olet saavuttanut, on varhaiskasvatus / ei koulutusta.",Korkein saavuttamasi koulutustaso on perusopetus.,Korkein suorittamasi koulutustaso on perusopetuksen alempi aste.,Korkein suorittamasi koulutustaso on toisen asteen koulutus.,Korkein suorittamasi koulutustaso on keskiasteen jälkeinen ei-korkea-asteen koulutus.,Korkein suorittamasi koulutustaso on lyhytkestoinen korkea-asteen koulutus.,Korkein suorittamasi koulutustaso on kandidaatti tai vastaava.,Korkein suorittamasi koulutustaso on maisteri tai vastaava.,Korkein saavuttamasi koulutustaso on tohtorin tutkinto tai vastaava.,,,
22,fr,French,Le plus haut niveau d'éducation que vous avez atteint est l'éducation de la petite enfance / aucune éducation.,Le niveau d'éducation le plus élevé que vous avez atteint est l'éducation primaire.,Le niveau d'éducation le plus élevé que vous avez atteint est l'enseignement secondaire inférieur.,Le niveau d'éducation le plus élevé que vous avez atteint est l'enseignement secondaire supérieur.,Le niveau d'éducation le plus élevé que vous avez atteint est l'enseignement postsecondaire non tertiaire.,Le niveau d'éducation le plus élevé que vous avez atteint est l'enseignement supérieur de cycle court.,Le niveau d'éducation le plus élevé que vous avez atteint est le baccalauréat ou équivalent.,Le plus haut niveau d'éducation que vous avez atteint est un master ou équivalent.,Le niveau d'éducation le plus élevé que vous avez atteint est le doctorat ou équivalent.,,,
23,gl,Galician,O nivel máis alto de educación que acadaches é educación infantil / sen educación.,O nivel máis alto de educación que acadaches é a educación primaria.,O nivel máis alto de educación que acadaches é a educación secundaria inferior.,O nivel máis alto de educación que acadaches é a educación secundaria superior.,O nivel máis alto de educación que acadaches é educación postsecundaria non terciaria.,O nivel máis alto de educación que acadaches é a educación terciaria de ciclo curto.,O nivel máis alto de educación que acadaches é grao ou equivalente.,O nivel máis alto de educación que acadaches é máster ou equivalente.,O nivel máis alto de educación que acadaches é doutoral ou equivalente.,,,
24,ka,Georgian,თქვენ მიერ მიღწეული განათლების უმაღლესი დონე არის ადრეული ბავშვობის განათლება / განათლება არ გაქვთ.,თქვენ მიერ მიღწეული განათლების უმაღლესი დონე არის დაწყებითი განათლება.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის საბაზო განათლება.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის საშუალო განათლება.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის საშუალო შემდგომი არატერტიალური განათლება.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის მოკლევადიანი უმაღლესი განათლება.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის ბაკალავრი ან მისი ეკვივალენტი.,თქვენს მიერ მიღწეული განათლების უმაღლესი დონე არის მაგისტრის ან მასთან გათანაბრებული.,თქვენ მიერ მიღწეული განათლების უმაღლესი დონე არის დოქტორის ან ექვივალენტი.,,,
25,de,German,"Der höchste Bildungsgrad, den Sie erreicht haben, ist frühkindliche Bildung / keine Bildung.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist die Grundschule.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist die Sekundarstufe I.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist die Sekundarstufe II.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist eine postsekundäre, nicht-tertiäre Ausbildung.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist eine kurzzyklische tertiäre Ausbildung.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist ein Bachelor oder ein gleichwertiger Abschluss.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist ein Master oder ein gleichwertiger Abschluss.","Der höchste Bildungsabschluss, den Sie erreicht haben, ist ein Doktortitel oder ein gleichwertiger Abschluss.",,,
26,el,"Greek, Modern",Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η εκπαίδευση στην πρώιμη παιδική ηλικία / καμία εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η πρωτοβάθμια εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η κατώτερη δευτεροβάθμια εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η ανώτερη δευτεροβάθμια εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η μεταδευτεροβάθμια μη τριτοβάθμια εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι η βραχείας διάρκειας τριτοβάθμια εκπαίδευση.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι πτυχίο ή ισοδύναμο.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι μεταπτυχιακό ή ισοδύναμο.,Το υψηλότερο επίπεδο εκπαίδευσης που έχετε επιτύχει είναι διδακτορικό ή ισοδύναμο.,,,
27,ha,Hausa,Matsayin ilimi mafi girma da ka samu shi ne ilimin yara ƙanana / babu ilimi.,Matsayin ilimi mafi girma da ka cimma shi ne ilimin firamare.,Matsayin ilimi mafi girma da ka cimma shi ne karatun firamare na ƙasa.,Matsayin ilimi mafi girma da ka cimma shi ne sakandare mafi girma.,Matsayin ilimi mafi girma da ka cimma shi ne ilimi bayan sakandare wanda ba na jami'a ba.,Matsayin ilimi mafi girma da ka cimma shi ne karatun gaba da sakandare na gajeren lokaci.,Matsayin ilimi mafi girma da ka cimma shi ne digiri na farko ko makamancin haka.,Matsayin ilimi mafi girma da ka cimma shi ne digiri na biyu ko makamancin haka.,Matsayin ilimi mafi girma da ka cimma shi ne digirin digirgir ko makamancin haka.,,,
28,hil,Hiligaynon (Ilonggo),Ang pinakamataas nga lebel sang edukasyon nga naangkon mo amo ang edukasyon sa kabataang edad / wala sang edukasyon.,Ang pinakamataas nga lebel sang edukasyon nga naangkon mo amo ang elementarya.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang lower secondary education.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang upper secondary education.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang post-sekundarya nga wala nagalab-ot sa tersiyaryo nga edukasyon.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang short-cycle tertiary education.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang bachelor's degree ukon katumbas sini.,Ang pinakamataas nga lebel sang edukasyon nga naangkon mo amo ang master o katumbas sini.,Ang pinakamataas nga lebel sang edukasyon nga imo naangkon amo ang doctoral ukon katumbas sini.,,,
29,hi,Hindi,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर प्रारंभिक बाल्यावस्था शिक्षा / कोई शिक्षा नहीं है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर प्राथमिक शिक्षा है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर निम्न माध्यमिक शिक्षा है।,आपकी प्राप्त की गई उच्चतम शिक्षा स्तर उच्च माध्यमिक शिक्षा है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर माध्यमिक के बाद की गैर-तृतीयक शिक्षा है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर लघु-चक्र तृतीयक शिक्षा है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर स्नातक या समकक्ष है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर मास्टर या समकक्ष है।,आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर डॉक्टरेट या समकक्ष है।,,,
30,hu,Hungarian,"A legmagasabb szintű végzettsége, amelyet elért, a korai gyermekkorú nevelés / nincs végzettség.",A legmagasabb iskolai végzettsége az általános iskola.,A legmagasabb iskolai végzettsége az alsó középfokú oktatás.,A legmagasabb iskolai végzettsége a középfokú oktatás.,A legmagasabb iskolai végzettsége a középfok utáni nem felsőfokú oktatás.,"A legmagasabb szintű végzettség, amit elért, a rövid ciklusú felsőfokú oktatás.","A legmagasabb szintű végzettsége, amit elért, az alapképzés vagy azzal egyenértékű.",A legmagasabb iskolai végzettsége mesterfokozat vagy azzal egyenértékű.,"A legmagasabb iskolai végzettség, amelyet elért, doktori vagy azzal egyenértékű.",,,
31,is,Icelandic,Hæsta menntunarstig sem þú hefur náð er leikskólamenntun / engin menntun.,Hæsta menntunarstigið sem þú hefur náð er grunnskólamenntun.,Hæsta menntunarstigið sem þú hefur náð er grunnskólamenntun.,Hæsta menntunarstigið sem þú hefur náð er framhaldsskólamenntun.,Hæsta menntunarstigið sem þú hefur náð er framhaldsskólamenntun sem er ekki á háskólastigi.,Hæsta menntunarstigið sem þú hefur náð er stutt nám á háskólastigi.,Hæsta menntunarstig sem þú hefur náð er bakkalárgráða eða sambærilegt.,Hæsta menntunarstig sem þú hefur náð er meistaragráða eða sambærilegt.,Hæsta menntunarstig sem þú hefur náð er doktorsgráða eða sambærilegt.,,,
32,ig,Igbo,Ọkwa agụmakwụkwọ kacha elu ị rụzuru bụ agụmakwụkwọ nwata nwata / enweghị agụmakwụkwọ.,Ọkwa kacha elu nke agụmakwụkwọ ị rụzuru bụ agụmakwụkwọ praịmarị.,Ọkwa agụmakwụkwọ kacha elu ị rụzuru bụ agụmakwụkwọ sekọndrị ala.,Ebe kachasị elu ị rụzuru na agụmakwụkwọ bụ agụmakwụkwọ sekọndrị elu.,Ogo kacha elu nke agụmakwụkwọ ị rụzuru bụ agụmakwụkwọ nke dị n'elu sekọndrị mana ọ bụghị nke mahadum.,Ebe kachasị elu nke agụmakwụkwọ ị rụzuru bụ agụmakwụkwọ nkuzi mkpụmkpụ nke mahadum.,Ọkwa kachasị elu nke agụmakwụkwọ ị rụzuru bụ bachelọ ma ọ bụ ihe hà nhata.,Ebe kachasị elu nke agụmakwụkwọ ị rụzuru bụ master ma ọ bụ ihe hà nhata.,Ebe kachasị elu nke agụmakwụkwọ ị rụzuru bụ dọkịta ma ọ bụ ihe hà nhata.,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Ti kangatuan a naadalmo ket panagadal iti kangatuan a panglinnak a panagadal / awan ti naadalmo.,Ti kangatuan a naabot mo a edukasion ket panangisuro iti elementarya.,Ti kangatuan a naabot a edukasion mo ket ti edukasion iti mababa a sekundaria.,Ti kangatuan a naabot mo a lebel ti edukasion ket nangato a sekundaria nga edukasion.,Ti kangatuan a naabot mo a edukasion ket post-secondary a saan nga tertiarya nga edukasion.,The highest level of education you have achieved is short-cycle tertiary education.,Ti kangatuan a lebel ti edukasion a naabot mo ket bachelor wenno katumbas.,The highest level of education you have achieved is master or equivalent.,Ti kangatuan a lebel ti edukasion a naabotmo ket doctoral wenno katumbas.,,,
