,idx,lang,1,2,3,4,5,-1,-5,-4,-2
10,my,Burmese,သင်သည် ကိုယ်ကို အထက်တန်းလွှာဝင်ဟု သတ်မှတ်ထားပါသည်။,သင်သည် ကိုယ်ကို အလယ်အလတ်အထက် အတန်းဝင်ဟု သတ်မှတ်ပါသည်။,သင်သည် ကိုယ်ကိုယ်ကို အလယ်အလတ်အောက်တန်းစားအဖြစ် သတ်မှတ်ပါသည်။,သင်သည် ကိုယ်ကို အလုပ်သမားတန်းစားဝင်ဟု သတ်မှတ်ပါသည်။,သင်သည် သင့်ကို အတန်းအစားနိမ့်သောအုပ်စုတွင် ပါဝင်သည်ဟု သတ်မှတ်ထားပါသည်။,,,,
11,ca,Catalan (Valencian),Et classifiques com a pertanyent a la classe alta.,Et consideres pertanyent a la classe mitjana alta.,Et classifiques com a pertanyent a la classe mitjana baixa.,Et consideres pertanyent a la classe treballadora.,Et classifiques com a pertanyent a la classe baixa.,,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Nagpaklasipikar ka sa imong kaugalingon nga sakop sa taas nga klase.,Ikaw nagklasipikar sa imong kaugalingon nga sakop sa taas nga tunga-tungang klase.,Ikaw nagklasipikar sa imong kaugalingon nga sakop sa ubos nga tunga-tungang klase.,Giklasipikar nimo ang imong kaugalingon nga sakop sa working class.,Ikaw nagklasipikar sa imong kaugalingon nga sakop sa ubos nga klase.,,,,
13,hr,Croatian,Smatrate se pripadnikom više klase.,Smatrate se pripadnikom više srednje klase.,Smatrate se pripadnikom niže srednje klase.,Smatrate se pripadnikom radničke klase.,Smatrate se pripadnikom niže klase.,,,,
14,cs,Czech,Považujete se za příslušníka vyšší třídy.,Klasifikujete se jako příslušník vyšší střední třídy.,Klasifikujete se jako příslušník nižší střední třídy.,Klasifikujete se jako příslušník dělnické třídy.,Klasifikujete se jako příslušník nižší třídy.,,,,
15,da,Danish,Du klassificerer dig selv som tilhørende overklassen.,Du klassificerer dig selv som tilhørende den øvre middelklasse.,Du klassificerer dig selv som tilhørende den lavere middelklasse.,Du klassificerer dig selv som tilhørende arbejderklassen.,Du klassificerer dig selv som tilhørende den lavere klasse.,,,,
16,nl,Dutch (Flemish),Je beschouwt jezelf als behorend tot de hogere klasse.,Je classificeert jezelf als behorend tot de hogere middenklasse.,Je classificeert jezelf als behorend tot de lagere middenklasse.,Je classificeert jezelf als behorend tot de arbeidersklasse.,Je beschouwt jezelf als behorend tot de lagere klasse.,,,,
17,en,English,You classify yourself as belonging to upper class.,You classify yourself as belonging to upper middle class.,You classify yourself as belonging to lower middle class.,You classify yourself as belonging to working class.,You classify yourself as belonging to lower class.,,,,
18,es,Spanish (Castilian),Te clasificas como perteneciente a la clase alta.,Te clasificas como perteneciente a la clase media alta.,Te clasificas como perteneciente a la clase media baja.,Te clasificas como perteneciente a la clase trabajadora.,Te clasificas como perteneciente a la clase baja.,,,,
19,et,Estonian,Sa liigitad end kõrgklassi kuuluvaks.,Sa liigitad end kõrgema keskklassi hulka.,Sa liigitad end madalama keskklassi hulka.,Sa liigitad end töölisklassi kuuluvaks.,Sa liigitad end madalamasse klassi.,,,,
20,fil,Filipino (Pilipino),Ikaw ay nag-uuri sa iyong sarili bilang kabilang sa mataas na uri.,Ikaw ay nag-uuri sa iyong sarili bilang kabilang sa mataas na gitnang uri.,Ikaw ay nag-uuri sa iyong sarili bilang kabilang sa mababang gitnang uri.,Ikaw ay nag-uuri sa iyong sarili bilang kabilang sa uring manggagawa.,Ikaw ay nag-uuri sa iyong sarili bilang kabilang sa mababang uri.,,,,
21,fi,Finnish,Luokittelet itsesi yläluokkaan kuuluvaksi.,Luokittelet itsesi ylempään keskiluokkaan kuuluvaksi.,Luokittelet itsesi alemman keskiluokan jäseneksi.,Luokittelet itsesi työväenluokkaan kuuluvaksi.,Luokittelet itsesi alempaan luokkaan kuuluvaksi.,,,,
22,fr,French,Vous vous classez comme appartenant à la classe supérieure.,Vous vous classez comme appartenant à la classe moyenne supérieure.,Vous vous classez comme appartenant à la classe moyenne inférieure.,Vous vous classez comme appartenant à la classe ouvrière.,Vous vous classez comme appartenant à la classe inférieure.,,,,
23,gl,Galician,Clasifícache como pertencente á clase alta.,Clasifícache como pertencente á clase media alta.,Clasifícaste como pertencente á clase media baixa.,Clasifícache como pertencente á clase traballadora.,Clasifícache como pertencente á clase baixa.,,,,
24,ka,Georgian,თქვენ საკუთარ თავს ზედა კლასს მიაკუთვნებთ.,თქვენ საკუთარ თავს ზედა საშუალო კლასს მიაკუთვნებთ.,თქვენ საკუთარ თავს ქვედა საშუალო კლასს მიაკუთვნებთ.,თქვენ საკუთარ თავს მუშათა კლასს მიაკუთვნებთ.,თქვენ საკუთარ თავს ქვედა კლასს მიაკუთვნებთ.,,,,
25,de,German,Sie ordnen sich der Oberschicht zu.,Sie ordnen sich der oberen Mittelschicht zu.,Sie ordnen sich der unteren Mittelschicht zu.,Sie ordnen sich der Arbeiterklasse zu.,Sie ordnen sich der Unterschicht zu.,,,,
26,el,"Greek, Modern",Κατατάσσετε τον εαυτό σας ως ανήκοντα στην ανώτερη τάξη.,Κατατάσσετε τον εαυτό σας ως ανήκοντα στην ανώτερη μεσαία τάξη.,Κατατάσσετε τον εαυτό σας ως ανήκοντα στη κατώτερη μεσαία τάξη.,Κατατάσσετε τον εαυτό σας ως ανήκοντα στην εργατική τάξη.,Κατατάσσετε τον εαυτό σας ως ανήκοντα στην κατώτερη τάξη.,,,,
27,ha,Hausa,Ka rarraba kanka a matsayin wanda ya fito daga ajin masu hannu da shuni.,Ka rarraba kanka a matsayin wanda ya fito daga matsakaicin matsayi na sama.,Ka rarraba kanka a matsayin wanda ya fito daga ƙananan matsakaicin aji.,Ka rarraba kanka a matsayin wanda yake cikin ajin ma'aikata.,Ka bayyana kanka a matsayin wanda ke cikin ƙananan aji.,,,,
28,hil,Hiligaynon (Ilonggo),Ginapahanungod mo ang imo kaugalingon nga sakup sang mataas nga klase.,Ginapahanungod mo ang imo kaugalingon nga sakop sa taas nga tunga-tunga nga klase.,Ginapahanungod mo ang imo kaugalingon nga sakop ka sa lower middle class.,Ginapahanungod mo ang imo kaugalingon bilang kabahin sang working class.,Ginapahanungod mo ang imo kaugalingon nga sakop sang imol nga klase.,,,,
29,hi,Hindi,आप स्वयं को उच्च वर्ग का मानते हैं।,आप स्वयं को उच्च मध्यम वर्ग का मानते हैं।,आप खुद को निम्न मध्यम वर्ग का मानते हैं।,आप स्वयं को श्रमिक वर्ग का मानते हैं।,आप स्वयं को निम्न वर्ग का मानते हैं।,,,,
30,hu,Hungarian,Ön a felső osztályhoz tartozónak sorolja be magát.,"Úgy sorolod be magad, hogy a felső középosztályhoz tartozol.",Az alsó középosztályhoz sorolod magad.,"Úgy sorolod be magad, hogy a munkásosztályhoz tartozol.",Az alsó osztályhoz tartozónak sorolja be magát.,,,,
31,is,Icelandic,Þú flokkar þig sem tilheyrandi yfirstétt.,Þú flokkar þig sem tilheyrandi efri millistétt.,Þú flokkar sjálfan þig sem tilheyrandi neðri millistétt.,Þú flokkar þig sem tilheyrandi verkalýðsstéttinni.,Þú flokkar sjálfan þig sem tilheyrandi lægri stétt.,,,,
32,ig,Igbo,Ị na-akọwa onwe gị dị ka onye nke dị na klaasị elu.,Ị na-akọwa onwe gị dị ka onye so na klaasị etiti elu.,Ị na-akọwa onwe gị dị ka onye dị na klaasị etiti ala.,Ị na-akọwa onwe gị dị ka onye so n'òtù ndị ọrụ.,Ị na-akọwa onwe gị dị ka onye nke dị na klaasị ala.,,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Iklasipikar mo ti bagim a kas maysa a kaaduan ti naangat a klase.,Iklasipikar mo ti bagim a kas kaaduan iti nangato a tengnga nga klase.,Ikarkararag mo ti bagim a maibilang iti bassit a tengnga nga klase.,Ikarkararag mo ti bagim a kas miembro ti ub-ubbo a klase.,Iklasipikar mo ti bagim a kas kaanakan iti nababa a klase.,,,,
34,id,Indonesian,Anda mengklasifikasikan diri Anda sebagai bagian dari kelas atas.,Anda mengklasifikasikan diri Anda sebagai bagian dari kelas menengah atas.,Anda mengklasifikasikan diri Anda sebagai bagian dari kelas menengah ke bawah.,Anda mengklasifikasikan diri Anda sebagai bagian dari kelas pekerja.,Anda mengklasifikasikan diri Anda sebagai bagian dari kelas bawah.,,,,
35,it,Italian,Ti classifichi come appartenente alla classe superiore.,Ti classifichi come appartenente alla classe medio-alta.,Ti classifichi come appartenente alla classe medio-bassa.,Ti classifichi come appartenente alla classe operaia.,Ti classifichi come appartenente alla classe bassa.,,,,
36,ja,Japanese,あなたは自分を上流階級に属すると分類しています。,あなたは自分を上中流階級に属すると分類しています。,あなたは自分を下層中産階級に属すると分類しています。,あなたは自分を労働者階級に属すると分類しています。,あなたは自分を下層階級に属すると分類しています。,,,,
37,kk,Kazakh,Сіз өзіңізді жоғары тапқа жатқызасыз.,Сіз өзіңізді жоғары орта тапқа жатқызасыз.,Сіз өзіңізді төменгі орта тапқа жатқызасыз.,Сіз өзіңізді жұмысшы табына жатқызасыз.,Сіз өзіңізді төменгі тапқа жатқызасыз.,,,,
38,ky,Kirghiz (Kyrgyz),Сиз өзүңүздү жогорку катмарга таандык деп эсептейсиз.,Сиз өзүңүздү жогорку орто класска кирем деп эсептейсиз.,Сиз өзүңүздү төмөнкү орто класска таандык деп классификациялайсыз.,Сиз өзүңүздү жумушчу класска таандык деп эсептейсиз.,Сиз өзүңүздү төмөнкү катмарга таандык деп эсептейсиз.,,,,
39,zh,Chinese,您将自己归类为上层阶级。,您将自己归类为中上阶层。,您将自己归类为中下阶层。,您将自己归类为工人阶级。,您将自己归类为低阶层。,,,,
40,ko,Korean,당신은 자신을 상류층에 속한다고 분류합니다.,당신은 자신을 상위 중산층에 속한다고 분류합니다.,당신은 자신을 하위 중산층에 속한다고 분류합니다.,당신은 자신을 노동 계급에 속한다고 분류합니다.,당신은 자신을 하층 계급에 속한다고 분류합니다.,,,,
41,lt,Macedonian,Се класифицирате себеси како припадник на повисоката класа.,Се класифицирате себеси како припадник на повисоката средна класа.,Се класифицирате себеси како припадник на пониска средна класа.,Се класифицирате себеси како припадник на работничката класа.,Се класифицирате себеси како припадник на пониска класа.,,,,
42,mk,Malay (Malaysian),Anda mengklasifikasikan diri anda sebagai golongan atasan.,Anda mengklasifikasikan diri anda sebagai golongan pertengahan atas.,Anda mengklasifikasikan diri anda sebagai golongan kelas pertengahan rendah.,Anda mengklasifikasikan diri anda sebagai golongan kelas pekerja.,Anda mengklasifikasikan diri anda sebagai golongan kelas rendah.,,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您将自己归类为上层阶级。,您将自己归类为中上阶层。,你将自己归类为中下阶层。,你将自己归类为工人阶级。,你将自己归类为下层阶级。,,,,
44,mn,Mongolian,Та өөрийгөө дээд давхаргад хамаардаг гэж ангилдаг.,Та өөрийгөө дундаас дээш давхаргад хамаардаг гэж ангилдаг.,Та өөрийгөө доод дунд давхаргад хамааруулдаг.,Та өөрийгөө ажилчин ангиас гаралтай гэж ангилдаг.,Та өөрийгөө доод давхаргад хамаардаг гэж ангилдаг.,,,,
45,cnr,Montenegrin,Vi se svrstavate u višu klasu.,Vi se svrstavate u višu srednju klasu.,Klasifikujete se kao pripadnik niže srednje klase.,Vi se svrstavate u radničku klasu.,Vi se svrstavate u nižu klasu.,,,,
46,nd,North Ndebele,Uzibeka esigabeni sabantu abakuzinga eliphezulu.,Uzibeka esigabeni sabantu abakumaphakathi aphezulu.,Uzibeka esigabeni sabantu abakumklasini ophakathi ophansi.,Uzibeka esigabeni sabantu abasebenzayo.,Uziqamba njengomuntu ovela kubanga eliphansi.,,,,
47,no,Norwegian,Du klassifiserer deg selv som tilhørende overklassen.,Du klassifiserer deg selv som tilhørende den øvre middelklassen.,Du klassifiserer deg selv som tilhørende lavere middelklasse.,Du klassifiserer deg selv som tilhørende arbeiderklassen.,Du klassifiserer deg selv som tilhørende lavere klasse.,,,,
48,om,Oromo,"""Ofiin of beekta akka miseensa kutaa ol'aanaa.""",Ati ofii kee garee giddu galeessa ol’aanaa keessaatti ramadda.,Sila ofiin of beekta akka miseensa kutaa giddu galeessa gadi aanaa.,Ati ofii kee akka miseensa garee hojjettootaatti ramadda.,Sila ofii kee akka namoota sadarkaa gadiitti ilaalta.,,,,
49,fa,"Persian (Farsi, Dari)",شما خود را به عنوان متعلق به طبقه بالا طبقه‌بندی می‌کنید.,شما خود را به طبقه متوسط رو به بالا طبقه‌بندی می‌کنید.,شما خود را به عنوان طبقه متوسط پایین طبقه‌بندی می‌کنید.,شما خود را به طبقه کارگر متعلق می‌دانید.,شما خود را به عنوان متعلق به طبقه پایین طبقه‌بندی می‌کنید.,,,,
50,pl,Polish,Klasyfikujesz się jako osoba należąca do wyższej klasy.,Klasyfikujesz się jako należący do wyższej klasy średniej.,Klasyfikujesz się jako osoba należąca do niższej klasy średniej.,Klasyfikujesz się jako osoba należąca do klasy pracującej.,Klasyfikujesz się jako osoba należąca do niższej klasy.,,,,
51,pt,Portuguese,Você se classifica como pertencente à classe alta.,Você se classifica como pertencente à classe média alta.,Você se classifica como pertencente à classe média baixa.,Você se classifica como pertencente à classe trabalhadora.,Você se classifica como pertencente à classe baixa.,,,,
52,ro,"Romanian (Moldavian, Moldovan)",Te clasifici ca aparținând clasei superioare.,Te clasifici ca aparținând clasei de mijloc superioare.,Te clasifici ca aparținând clasei de mijloc inferioare.,Te clasifici ca aparținând clasei muncitoare.,Te clasifici ca aparținând clasei de jos.,,,,
53,ru,Russian,Вы относите себя к высшему классу.,Вы относите себя к верхнему среднему классу.,Вы относите себя к нижнему среднему классу.,Вы относите себя к рабочему классу.,Вы относите себя к низшему классу.,,,,
54,sr,Serbian,Vi se svrstavate u višu klasu.,Smatrate sebe pripadnikom više srednje klase.,Vi se svrstavate u nižu srednju klasu.,Vi se svrstavate u radničku klasu.,Vi sebe svrstavate u nižu klasu.,,,,
55,sn,Shona,Unozviongorora semunhu wekirasi yepamusoro.,Unozvitsanangura semunhu ari muboka repamusoro-soro repakati.,Unozviongorora semunhu ari muboka revashoma vari pakati nepakati.,Unozvitsanangura seuri wechikamu chevashandi.,Unozviongorora semunhu ari muboka revapfuuri.,,,,
56,sk,Slovak,Zaraďujete sa do vyššej triedy.,Klasifikujete sa ako patriaci k vyššej strednej triede.,Klasifikujete sa ako patriaci k nižšej strednej triede.,Považujete sa za príslušníka pracujúcej triedy.,Klasifikujete sa ako patriaci k nižšej triede.,,,,
57,sl,Slovenian,Uvrščate se v višji razred.,Uvrščate se v višji srednji razred.,Uvrščate se v nižji srednji razred.,"Besedilo v slovenščino se glasi: ""Uvrščate se v delavski razred.""","Besedilo v slovenščini bi se glasilo: ""Sebe uvrščate v nižji razred.""",,,,
58,sw,Swahili,Unajitambulisha kama mtu wa tabaka la juu.,Unajitambulisha kama mtu wa tabaka la kati ya juu.,Unajitambulisha kama mtu wa tabaka la kati la chini.,Unajitambulisha kama mtu wa tabaka la wafanyakazi.,Unajitambulisha kama mtu wa tabaka la chini.,,,,
59,sv,Swedish,Du klassificerar dig själv som tillhörande överklassen.,Du klassificerar dig själv som tillhörande övre medelklassen.,Du klassificerar dig själv som tillhörande den lägre medelklassen.,Du klassificerar dig själv som tillhörande arbetarklassen.,Du klassificerar dig själv som tillhörande den lägre klassen.,,,,
60,tg,Tajik,Шумо худро ба табақаи болоӣ мансуб медонед.,Шумо худро ба табақаи миёнаи болоӣ мансуб медонед.,Шумо худро ба табақаи миёнаи поёнӣ мансуб медонед.,Шумо худро ба табақаи коргарон мансуб мешуморед.,Шумо худро ба табақаи поёнӣ мансуб медонед.,,,,
61,tsg,Tausug,"Here is the translation of the text to Tausug: ""Ikaw nagklasipika ha sarili mu nga sakup ha higtung nga klase.""","In Tausug, the translation would be: ""Ikaw nagkaklase ha sarili mu nga sakop ha higtaas nga tunga-tunga nga klase.""","In Tausug, the translation would be: ""Ikaw nagklasipika ha sarili mu nga sakop ha ubus nga middle class.""","In Tausug, the translation would be: ""Ikaw nagklasipika ha sarili mu nga sakop ha working class.""","Here is the translation of the text to Tausug: ""Ikaw nagkaklase ha sarili mu nga sakop ha ubus nga klase.""",,,,
62,th,Thai (Central Thai),คุณจัดว่าตัวเองเป็นชนชั้นสูง,คุณจัดตัวเองว่าเป็นชนชั้นกลางระดับสูง,คุณจัดตัวเองว่าอยู่ในชนชั้นกลางระดับล่าง,คุณจัดตัวเองว่าเป็นชนชั้นแรงงาน,คุณจัดตัวเองว่าเป็นชนชั้นล่าง,,,,
63,tig,Tigre,"Here is the translation of the text to Tigre:

ንላዕለዋይ ደረጃ እትሃልዩ እትሕርዩ ኢኻ።",ንራእይ ኣካል ኣብ ላዕለዋይ መካነ ማሕበር እዩ ዝተወሃብካ።,ንራእይ ንስኻ ከም ናይ ታሕቲ ማእከላይ ወገን ተወሲድካ።,Here is the translation of the text to Tigre: ነርእይ ከም ናይ ስራሕ ወረዳ እዩ ዝበለካ።,Here is the translation of the text to Tigre: ንስኻ ንውሑድ ወገን እትሃልዩ ኢኻ።,,,,
64,uk,Ukrainian,Ви відносите себе до вищого класу.,Ви відносите себе до вищого середнього класу.,Ви відносите себе до нижчого середнього класу.,Ви відносите себе до робітничого класу.,Ви відносите себе до нижчого класу.,,,,
65,tr,Turkish,Kendinizi üst sınıfa ait olarak sınıflandırıyorsunuz.,Kendinizi üst orta sınıfa ait olarak sınıflandırıyorsunuz.,Kendinizi alt orta sınıfa ait olarak sınıflandırıyorsunuz.,"""Kendinizi işçi sınıfına ait olarak sınıflandırıyorsunuz.""",Kendinizi alt sınıfa ait olarak sınıflandırıyorsunuz.,,,,
66,ur,Urdu,آپ خود کو اعلیٰ طبقے سے تعلق رکھنے والا سمجھتے ہیں۔,آپ اپنے آپ کو اعلیٰ متوسط طبقے سے تعلق رکھنے والا سمجھتے ہیں۔,آپ اپنے آپ کو نچلے متوسط طبقے سے تعلق رکھنے والا سمجھتے ہیں۔,آپ اپنے آپ کو محنت کش طبقے سے تعلق رکھنے والا سمجھتے ہیں۔,آپ اپنے آپ کو نچلے طبقے سے تعلق رکھنے والا سمجھتے ہیں۔,,,,
67,uz,Uzbek,Siz o'zingizni yuqori sinfga mansub deb tasniflaysiz.,Siz o'zingizni yuqori o'rta sinfga mansub deb tasniflaysiz.,Siz o'zingizni quyi o'rta sinfga mansub deb tasniflaysiz.,Siz o'zingizni ishchi sinfiga mansub deb tasniflaysiz.,Siz o'zingizni quyi sinfga mansub deb tasniflaysiz.,,,,
68,vi,Vietnamese,Bạn tự xếp mình vào tầng lớp thượng lưu.,Bạn tự xếp mình thuộc tầng lớp trung lưu cao.,Bạn tự xếp mình thuộc tầng lớp trung lưu thấp.,Bạn tự xếp mình vào tầng lớp lao động.,Bạn tự xếp mình vào tầng lớp thấp.,,,,
69,war,Waray,Ginbibiling mo an imo kalugaringon nga sakop han hitaas nga klase.,Gin-ila mo an imo kalugaringon nga sakop han igbaw nga butnga nga klase.,Ginkaklasipikar mo an imo kalugaringon nga kaapi han ubos nga butnga nga klase.,Ginbibiling mo an imo kalugaringon nga api han working class.,Gin-uunong mo an imo kalugaringon nga api han ubos nga klase.,,,,
70,yo,Yoruba,O ṣe akọsilẹ ara rẹ gẹgẹbi ẹni ti o jẹ ti kilasi oke.,O ṣe idanimọ ara rẹ gẹgẹ bi ẹni ti o jẹ ti kilasi alabọde oke.,O ṣe idanimọ ara rẹ gẹgẹ bi ẹni ti o wa ninu kilasi alabọde kekere.,O ṣe idanimọ ara rẹ gẹgẹ bi ẹni ti o jẹ ti kilasi iṣẹ.,O ṣe idanimọ ara rẹ gẹgẹ bi ẹni ti o wa ninu kilasi kekere.,,,,
