,idx,lang,0,1,2,3,4,5,6,7,8,9,-1,-5,-2
10,my,Burmese,သင်သည် ဘာသာရေးအဖွဲ့အစည်း တစ်ခုခုနှင့် မပတ်သက်ပါ။,သင့် ဘာသာရေး အယူဝါဒမှာ ရိုမန် ကက်သလစ် ဖြစ်ပါတယ်။,သင့်ဘာသာရေးအယူဝါဒမှာ ပရိုတက်စတင့် ဖြစ်ပါတယ်။,သင့် ဘာသာရေး သက်ဝင်မှုမှာ အော်သိုဒေါ့စ် (ရုရှား၊ ဂရိ သို့မဟုတ် အခြား) ဖြစ်သည်။,သင့် ဘာသာရေး သက်ဝင်မှုမှာ ယူဒေ ဖြစ်ပါသည်။,သင့် ဘာသာရေး အယူဝါဒမှာ မူစလင် ဖြစ်ပါသည်။,သင့် ဘာသာရေး သက်ဝင်မှုမှာ ဟိန္ဒူ ဖြစ်သည်။,သင့်ဘာသာရေးအယူဝါဒမှာ ဗုဒ္ဓဘာသာဖြစ်ပါသည်။,သင့် ဘာသာရေး သက်ဝင်မှုမှာ အခြား ခရစ်ယာန် (သင်္ဂိုလ်ဝါဒီ၊ ပင်တီကိုစတယ်၊ အခမဲ့ ဘုရားရှိခိုးကျောင်း သို့မဟုတ် အခြား) ဖြစ်သည်။,,,,
11,ca,Catalan (Valencian),No pertanys a cap denominació religiosa.,La teua denominació religiosa és catòlica romana.,La teua denominació religiosa és protestant.,"La teua confessió religiosa és ortodoxa (russa, grega o una altra).",La teua denominació religiosa és jueva.,La teua denominació religiosa és musulmana.,La teua confessió religiosa és hindú.,La teua denominació religiosa és budista.,"La teua denominació religiosa és una altra cristiana (evangèlica, pentecostal, església lliure o altra).",,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Wala ka nagapabilang sa bisan unsang relihiyosong denominasyon.,Ang imong relihiyosong denominasyon kay Romano Katoliko.,Ang imong relihiyosong denominasyon kay Protestante.,"Ang imong relihiyosong denominasyon kay Orthodox (Ruso, Griyego o uban pa).",Ang imong relihiyosong denominasyon kay Hudiyo.,Ang imong relihiyosong denominasyon kay Muslim.,Ang imong relihiyosong denominasyon kay Hindu.,Ang imong relihiyosong denominasyon kay Budhista.,"Ang imong relihiyosong denominasyon kay ubang Kristiyano (Ebangheliko, Pentecostal, Free church o uban pa).",,,,
13,hr,Croatian,Vi ne pripadate nijednoj vjerskoj denominaciji.,Vaša vjerska denominacija je rimokatolička.,Vaša vjerska denominacija je protestantska.,"Vaša vjerska denominacija je pravoslavna (ruska, grčka ili druga).",Vaša vjerska denominacija je Židov.,Vaša vjerska denominacija je muslimanska.,Vaša vjerska denominacija je hinduizam.,Vaša vjerska denominacija je budistička.,"Vaša vjerska denominacija je druga kršćanska (evanđeoska, pentekostalna, slobodna crkva ili druga).",,,,
14,cs,Czech,Nejste příslušníkem žádné náboženské denominace.,Vaše náboženské vyznání je římskokatolické.,Vaše náboženské vyznání je protestantské.,"Vaše náboženské vyznání je pravoslavné (ruské, řecké nebo jiné).",Vaše náboženské vyznání je židovské.,Vaše náboženské vyznání je muslimské.,Vaše náboženské vyznání je hinduismus.,Vaše náboženské vyznání je buddhistické.,"Vaše náboženské vyznání je jiné křesťanské (evangelikální, letniční, svobodná církev nebo jiné).",,,,
15,da,Danish,Du tilhører ikke nogen religiøs trosretning.,Din religiøse trosretning er romersk-katolsk.,Din religiøse trosretning er protestantisk.,"Din religiøse trosretning er ortodoks (russisk, græsk eller anden).",Din religiøse trosretning er jødisk.,Din religiøse trosretning er muslim.,Din religiøse trosretning er hindu.,Din religiøse trosretning er buddhistisk.,"Din religiøse trosretning er anden kristen (evangelisk, pinsebevægelse, frikirke eller anden).",,,,
16,nl,Dutch (Flemish),Je behoort tot geen enkele religieuze denominatie.,Uw religieuze denominatie is rooms-katholiek.,Uw religieuze denominatie is protestants.,"Uw religieuze denominatie is orthodox (Russisch, Grieks of een andere).",Uw religieuze denominatie is joods.,Uw religieuze denominatie is moslim.,Uw religieuze denominatie is hindoe.,Uw religieuze denominatie is boeddhistisch.,"Uw religieuze denominatie is andere christelijke (evangelisch, pinkster, vrije kerk of andere).",,,,
17,en,English,You do not belong to any religious denomination.,Your religious denomination is Roman Catholic.,Your religious denomination is Protestant.,"Your religious denomination is Orthodox (Russian, Greek or other).",Your religious denomination is Jew.,Your religious denomination is Muslim.,Your religious denomination is Hindu.,Your religious denomination is Buddhist.,"Your religious denomination is other Christian (Evangelical, Pentecostal, Fee church or other).",,,,
18,es,Spanish (Castilian),No perteneces a ninguna denominación religiosa.,Tu denominación religiosa es católica romana.,Tu denominación religiosa es protestante.,"Su denominación religiosa es ortodoxa (rusa, griega u otra).",Tu denominación religiosa es judía.,Tu confesión religiosa es musulmana.,Tu denominación religiosa es hindú.,Tu denominación religiosa es budista.,"Tu denominación religiosa es otra cristiana (evangélica, pentecostal, iglesia libre u otra).",,,,
19,et,Estonian,Sa ei kuulu ühtegi usulisse konfessiooni.,Teie usuline konfessioon on roomakatoliku.,Teie usuline konfessioon on protestantlik.,"Teie usuline konfessioon on õigeusk (vene, kreeka või muu).",Teie usuline konfessioon on juut.,Teie usuline konfessioon on islam.,Teie usuline konfessioon on hinduism.,Teie usuline konfessioon on budism.,"Teie usuline konfessioon on muu kristlik (evangeelne, nelipühi, vaba kirik või muu).",,,,
20,fil,Filipino (Pilipino),Wala kang kinabibilangang relihiyosong denominasyon.,Ang iyong relihiyosong denominasyon ay Romano Katoliko.,Ang iyong relihiyosong denominasyon ay Protestante.,"Ang iyong relihiyosong denominasyon ay Ortodokso (Ruso, Griyego o iba pa).",Ang iyong relihiyosong denominasyon ay Hudyo.,Ang iyong relihiyosong denominasyon ay Muslim.,Ang iyong relihiyosong denominasyon ay Hindu.,Ang iyong relihiyosong denominasyon ay Budista.,"Ang iyong relihiyosong denominasyon ay ibang Kristiyano (Ebangheliko, Pentekostal, Malayang simbahan o iba pa).",,,,
21,fi,Finnish,Et kuulu mihinkään uskonnolliseen yhteisöön.,Uskontokuntasi on roomalaiskatolinen.,Uskontokuntasi on protestantti.,"Uskontokuntasi on ortodoksinen (venäläinen, kreikkalainen tai muu).",Uskontokuntasi on juutalainen.,Uskontokuntasi on muslimi.,Uskontokuntasi on hindu.,Uskontokuntasi on buddhalainen.,"Uskontokuntasi on muu kristillinen (evankelinen, helluntailainen, vapaakirkko tai muu).",,,,
22,fr,French,Vous n'appartenez à aucune confession religieuse.,Votre confession religieuse est catholique romaine.,Votre confession religieuse est protestante.,"Votre confession religieuse est orthodoxe (russe, grecque ou autre).",Votre confession religieuse est juive.,Votre confession religieuse est musulmane.,Votre confession religieuse est hindoue.,Votre confession religieuse est bouddhiste.,"Votre confession religieuse est autre chrétienne (évangélique, pentecôtiste, église libre ou autre).",,,,
23,gl,Galician,Non pertences a ningunha denominación relixiosa.,A túa confesión relixiosa é católica romana.,A túa denominación relixiosa é protestante.,"A túa denominación relixiosa é ortodoxa (rusa, grega ou outra).",A túa confesión relixiosa é xudía.,A túa confesión relixiosa é musulmá.,A túa confesión relixiosa é hindú.,A túa denominación relixiosa é budista.,"A súa denominación relixiosa é outra cristiá (evanxélica, pentecostal, igrexa libre ou outra).",,,,
24,ka,Georgian,თქვენ არ ეკუთვნით არცერთ რელიგიურ კონფესიას.,თქვენი რელიგიური კონფესია რომაულ-კათოლიკურია.,თქვენი რელიგიური კონფესია პროტესტანტია.,"თქვენი რელიგიური აღმსარებლობა არის მართლმადიდებელი (რუსული, ბერძნული ან სხვა).",თქვენი რელიგიური აღმსარებლობა არის ებრაელი.,თქვენი რელიგიური აღმსარებლობა მუსლიმია.,თქვენი რელიგიური აღმსარებლობა არის ჰინდუ.,თქვენი რელიგიური აღმსარებლობა ბუდისტურია.,"თქვენი რელიგიური კონფესია არის სხვა ქრისტიანული (ევანგელისტური, პენტეკოსტალური, თავისუფალი ეკლესია ან სხვა).",,,,
25,de,German,Sie gehören keiner religiösen Konfession an.,Ihre Konfession ist römisch-katholisch.,Ihre Religionszugehörigkeit ist protestantisch.,"Ihre Religionszugehörigkeit ist orthodox (russisch, griechisch oder eine andere).",Ihre Religionszugehörigkeit ist jüdisch.,Ihre Religionszugehörigkeit ist muslimisch.,Ihre Religionszugehörigkeit ist Hinduismus.,Ihre Religionszugehörigkeit ist buddhistisch.,"Ihre Religionszugehörigkeit ist eine andere christliche (evangelisch, pfingstlerisch, Freikirche oder andere).",,,,
26,el,"Greek, Modern",Δεν ανήκεις σε καμία θρησκευτική ομολογία.,Η θρησκευτική σας ομολογία είναι Ρωμαιοκαθολική.,Η θρησκευτική σας ομολογία είναι Προτεσταντική.,"Η θρησκευτική σας ομολογία είναι Ορθόδοξη (Ρωσική, Ελληνική ή άλλη).",Η θρησκευτική σας ομολογία είναι Εβραίος.,Η θρησκευτική σας ομολογία είναι Μουσουλμάνος.,Η θρησκευτική σας ομολογία είναι Ινδουιστής.,Η θρησκευτική σας ομολογία είναι Βουδιστής.,"Η θρησκευτική σας ομολογία είναι άλλη Χριστιανική (Ευαγγελική, Πεντηκοστιανή, Ελεύθερη Εκκλησία ή άλλη).",,,,
27,ha,Hausa,Ba ka cikin wata ƙungiyar addini ba.,Darikar addininka Katolika na Roma ce.,Addininku na Kiristanci shi ne na 'Yan Protestan.,"Darikar addininka Orthodox ce (Rasha, Girka ko wata).",Mazhabarku ta addini Yahudu ce.,Addininka na Musulunci ne.,Addininku na Hindu ne.,Addininka na Buddha ne.,"Darikar addininka Kirista ne na daban (Evangelical, Pentecostal, Cocin 'yantattu ko wani).",,,,
28,hil,Hiligaynon (Ilonggo),Wala ka nagapabilin sa bisan ano nga relihiyosong denominasyon.,Ang imo relihiyon nga denominasyon amo ang Romano Katoliko.,Ang imo relihiyon nga denominasyon amo ang Protestant.,"Ang imo relihiyon nga denominasyon amo ang Orthodox (Ruso, Griyego o iban pa).",Ang imo relihiyon nga denominasyon amo ang Hudiyo.,Ang imo relihiyon nga denominasyon amo ang Muslim.,Ang imo relihiyon nga denominasyon amo ang Hindu.,Ang imo relihiyon nga denominasyon amo ang Budhismo.,"Ang imo relihiyosong denominasyon amo ang iban nga Kristiyano (Ebanghelikal, Pentecostal, Libre nga simbahan o iban pa).",,,,
29,hi,Hindi,आप किसी भी धार्मिक संप्रदाय से संबंधित नहीं हैं।,आपका धार्मिक संप्रदाय रोमन कैथोलिक है।,आपका धार्मिक संप्रदाय प्रोटेस्टेंट है।,"आपका धार्मिक संप्रदाय ऑर्थोडॉक्स (रूसी, ग्रीक या अन्य) है।",आपका धार्मिक संप्रदाय यहूदी है।,आपका धार्मिक संप्रदाय मुस्लिम है।,आपका धार्मिक संप्रदाय हिंदू है।,आपका धार्मिक संप्रदाय बौद्ध है।,"आपका धार्मिक संप्रदाय अन्य ईसाई (इवेंजेलिकल, पेंटेकोस्टल, स्वतंत्र चर्च या अन्य) है।",,,,
30,hu,Hungarian,Nem tartozol egyetlen vallási felekezethez sem.,Az Ön vallási felekezete római katolikus.,A vallási felekezeted protestáns.,"A vallási felekezeted ortodox (orosz, görög vagy más).",A vallási felekezeted zsidó.,Az ön vallási felekezete muszlim.,A vallási felekezeted hindu.,A vallási felekezeted buddhista.,"A vallási felekezeted más keresztény (evangéliumi, pünkösdi, szabad egyház vagy más).",,,,
31,is,Icelandic,Þú tilheyrir ekki neinum trúarbrögðum.,Trúarbrögð þín eru rómversk-kaþólsk.,Þín trúarbrögð eru mótmælendatrú.,"Trúarbrögð þín eru rétttrúnaðarkirkjan (rússnesk, grísk eða önnur).",Trúarbrögð þín eru gyðingdómur.,Þú tilheyrir íslamstrú.,Trúarbrögð þín eru hindúatrú.,Trúarbrögð þín eru búddismi.,"Þín trúarbrögð eru önnur kristin (evangelísk, hvítasunnukirkja, fríkirkja eða önnur).",,,,
32,ig,Igbo,Ị naghọtaghị òtù ụka ọ bụla.,Otu okpukpe gị bụ Ndị Katọlik Rom.,Otu okpukpe gị bụ Ndị Protestant.,"Ebe ụka gị bụ Ọtọdọks (Rọshịa, Gris ma ọ bụ nke ọzọ).",Otu okpukpe gị bụ Juu.,Otu okpukpe gị bụ Alakụba.,Okpukpe gị bụ Ndị Hindu.,Otu okpukpe gị bụ Ndị Buddha.,"Ndị otu okpukperechi gị bụ ndị Kraịst ndị ọzọ (Evangelịkal, Pentikọstal, ụka n'efu ma ọ bụ ndị ọzọ).",,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Awan ka iti aniaman a relihiyon nga denominasyon.,Ti relihiyonmo ket Romano Katoliko.,Ti relihiyonmo ket Protestante.,"Ti relihiyon mo ket Ortodoxo (Ruso, Griego wenno sabali).",Ti relihiyonmo ket Hudyo.,Ti relihiyon mo ket Muslim.,Ti relihiyon mo ket Hindu.,Ti relihiyonmo ket Buddhista.,"Ti relihiyon a pagtaengan yo ket sabali a Kristiano (Evangelical, Pentecostal, Fee church wenno sabali).",,,,
34,id,Indonesian,Anda tidak termasuk dalam denominasi agama apa pun.,Denominasi agama Anda adalah Katolik Roma.,Denominasi agama Anda adalah Protestan.,"Denominasi agama Anda adalah Ortodoks (Rusia, Yunani, atau lainnya).",Denominasi agama Anda adalah Yahudi.,Denominasi agama Anda adalah Muslim.,Denominasi agama Anda adalah Hindu.,Aliran keagamaan Anda adalah Buddha.,"Denominasi agama Anda adalah Kristen lainnya (Evangelikal, Pentakosta, Gereja Bebas, atau lainnya).",,,,
35,it,Italian,Non appartieni a nessuna denominazione religiosa.,La tua confessione religiosa è cattolica romana.,La tua confessione religiosa è protestante.,"La tua confessione religiosa è ortodossa (russa, greca o altra).",La tua confessione religiosa è ebraica.,La tua confessione religiosa è musulmana.,La tua confessione religiosa è induista.,La tua confessione religiosa è buddista.,"La tua denominazione religiosa è un'altra cristiana (evangelica, pentecostale, chiesa libera o altra).",,,,
36,ja,Japanese,あなたはどの宗派にも属していません。,あなたの宗教はローマ・カトリックです。,あなたの宗派はプロテスタントです。,あなたの宗派は正教会（ロシア正教、ギリシャ正教、その他）です。,あなたの宗教的な宗派はユダヤ教です。,あなたの宗教はイスラム教です。,あなたの宗教の宗派はヒンドゥー教です。,あなたの宗教は仏教です。,あなたの宗教的宗派は、他のキリスト教（福音派、ペンテコステ派、自由教会、その他）です。,,,,
37,kk,Kazakh,Сіз ешқандай діни конфессияға жатпайсыз.,Сіздің дініңіз рим-католик.,Сіздің діни бағытыңыз протестант.,"Сіздің діни конфессияңыз православие (орыс, грек немесе басқа).",Сіздің діни конфессияңыз - яһуди.,Сіздің діни конфессияңыз - мұсылман.,Сіздің діни бағытыңыз индуизм.,Сіздің діни сеніміңіз буддист.,"Сіздің діни конфессияңыз басқа христиандық (евангелистік, пентекосталдық, еркін шіркеу немесе басқа).",,,,
38,ky,Kirghiz (Kyrgyz),Сиз эч кандай диний агымга таандык эмессиз.,Сиздин диний агымыңыз Рим-католик.,Сиздин диний агымыңыз протестант.,"Сиздин диний конфессияңыз православ (орус, грек же башка).",Сиздин диний агымыңыз - Жөөт.,Сиздин диний конфессияңыз мусулман.,Сиздин диний агымыңыз индуизм.,Сиздин диний агымыңыз буддист.,"Сиздин диний конфессияңыз башка христиан (евангелист, пентекостал, эркин чиркөө же башка).",,,,
39,zh,Chinese,您不属于任何宗教教派。,您的宗教信仰是罗马天主教。,您的宗教信仰是新教。,您的宗教信仰是东正教（俄罗斯、希腊或其他）。,您的宗教信仰是犹太教。,您的宗教信仰是伊斯兰教。,您的宗教信仰是印度教。,您的宗教信仰是佛教。,您的宗教信仰是其他基督教（福音派、五旬节派、自由教会或其他）。,,,,
40,ko,Korean,당신은 어떤 종교 교파에도 속하지 않습니다.,당신의 종교는 로마 가톨릭입니다.,당신의 종교적 교파는 개신교입니다.,"귀하의 종교 교파는 정교회(러시아, 그리스 또는 기타)입니다.",당신의 종교적 교파는 유대교입니다.,당신의 종교는 이슬람교입니다.,당신의 종교는 힌두교입니다.,당신의 종교는 불교입니다.,"귀하의 종교적 교파는 기타 기독교(복음주의, 오순절, 자유 교회 또는 기타)입니다.",,,,
41,lt,Macedonian,Вие не припаѓате на ниту една верска заедница.,Вашата верска деноминација е Римокатоличка.,Вашата верска деноминација е протестантска.,"Вашата верска припадност е православна (руска, грчка или друга).",Вашата верска припадност е Евреин.,Вашата верска припадност е муслиманска.,Вашата верска припадност е хинду.,Вашата верска припадност е будистичка.,"Вашата верска припадност е друга христијанска (евангелистичка, пентекостална, слободна црква или друга).",,,,
42,mk,Malay (Malaysian),Anda tidak tergolong dalam mana-mana denominasi agama.,Denominasi agama anda adalah Katolik Roman.,Denominasi agama anda adalah Protestan.,"Denominasi agama anda adalah Ortodoks (Rusia, Yunani atau lain-lain).",Denominasi agama anda adalah Yahudi.,Denominasi agama anda adalah Islam.,Denominasi agama anda adalah Hindu.,Denominasi agama anda adalah Buddha.,"Denominasi agama anda adalah Kristian lain (Evangelikal, Pentakosta, Gereja Bebas atau lain-lain).",,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您不属于任何宗教派别。,您的宗教信仰是罗马天主教。,您的宗教信仰是新教。,您的宗教信仰是东正教（俄罗斯、希腊或其他）。,您的宗教信仰是犹太教。,您的宗教信仰是伊斯兰教。,您的宗教信仰是印度教。,您的宗教信仰是佛教。,您的宗教信仰是其他基督教（福音派、五旬节派、自由教会或其他）。,,,,
44,mn,Mongolian,Та ямар нэгэн шашны урсгалд хамаарахгүй.,Таны шашны урсгал Ромын Католик.,Таны шашны урсгал Протестант.,"Таны шашны урсгал нь Православ (Орос, Грек эсвэл бусад) юм.",Таны шашны урсгал бол еврей.,Таны шашны урсгал бол Ислам.,Таны шашны урсгал нь Хиндү.,Таны шашны урсгал бол Буддын шашин.,"Таны шашны урсгал нь бусад Христийн шашин (Евангелийн, Пентекостал, Чөлөөт сүм эсвэл бусад) юм.",,,,
45,cnr,Montenegrin,Vi ne pripadate nijednoj vjerskoj denominaciji.,Vaša vjerska denominacija je rimokatolička.,Vaša vjerska denominacija je protestantska.,"Vaša vjerska denominacija je pravoslavna (ruska, grčka ili druga).",Vaša vjerska denominacija je Jevrej.,Vaša vjerska denominacija je muslimanska.,Vaša vjerska denominacija je hinduizam.,Vaša vjerska denominacija je budistička.,"Vaša vjerska denominacija je druga hrišćanska (evangelistička, pentekostalna, slobodna crkva ili druga).",,,,
46,nd,North Ndebele,Awukho kunoma yiliphi ibandla lenkolo.,Inkolo yakho yiRoma Katolika.,Inkolo yakho ngeyeProthestani.,"Isonto lakho ngelama-Orthodox (amaRussia, amaGreek kumbe amanye).",Isonto lakho ngobuJuda.,Inkolo yakho yiMuslim.,Inkolo yakho ngeyobuHindu.,Inkolo yakho yiBuddhist.,"Inkolo yakho ngeyezinye izinkonzo zobuKhristu (i-Evangelical, iPentecostal, iFee church kumbe enye).",,,,
47,no,Norwegian,Du tilhører ikke noen religiøs trosretning.,Din religiøse tilhørighet er romersk-katolsk.,Din religiøse tilhørighet er protestantisk.,"Din religiøse tilhørighet er ortodoks (russisk, gresk eller annen).",Din religiøse tilhørighet er jødisk.,Din religiøse tilhørighet er muslim.,Din religiøse tilhørighet er hindu.,Din religiøse tilhørighet er buddhist.,"Din religiøse tilhørighet er annen kristen (evangelisk, pinsebevegelse, frikirke eller annen).",,,,
48,om,Oromo,Afaan Oromootiin: Ati garee amantii kamittuu hin hammatamtu.,Amantii keessan amantii Katoolika Roomaa dha.,Amantii kee nirooma Kiristaana Pirotestaantii dha.,"Amantii keessan Ortodoksii (Ruusii, Giriikii yookaan kan biroo) dha.",Amantii kee keessatti ati Yihudii dha.,Amantii keessan Islaama.,Amantii kee ni Hindu dha.,Amantii keessan amantii Buddhaadha.,"Amantaan kee kiristaana biroo (Amantii Evangelistii, Pheenxeqostee, Waldaa bilisaa yookaan kan biroo) dha.",,,,
49,fa,"Persian (Farsi, Dari)",شما به هیچ فرقه مذهبی تعلق ندارید.,فرقه مذهبی شما کاتولیک رومی است.,فرقه مذهبی شما پروتستان است.,مذهب شما ارتدوکس (روسی، یونانی یا دیگر) است.,مذهب شما یهودی است.,فرقه مذهبی شما مسلمان است.,مذهب شما هندو است.,فرقه مذهبی شما بودایی است.,فرقه مذهبی شما مسیحی دیگر (انجیلی، پنطیکاستی، کلیسای آزاد یا دیگر) است.,,,,
50,pl,Polish,Nie należysz do żadnego wyznania religijnego.,Twoje wyznanie religijne to katolicyzm rzymski.,Twoje wyznanie religijne to protestantyzm.,"Twoje wyznanie religijne to prawosławne (rosyjskie, greckie lub inne).",Twoje wyznanie religijne to judaizm.,Twoje wyznanie religijne to islam.,Twoje wyznanie religijne to hinduizm.,Twoje wyznanie religijne to buddyzm.,"Twoje wyznanie religijne to inne chrześcijańskie (ewangeliczne, zielonoświątkowe, wolny kościół lub inne).",,,,
51,pt,Portuguese,Você não pertence a nenhuma denominação religiosa.,Sua denominação religiosa é Católica Romana.,Sua denominação religiosa é protestante.,"Sua denominação religiosa é Ortodoxa (Russa, Grega ou outra).",Sua denominação religiosa é judaica.,Sua denominação religiosa é muçulmana.,Sua denominação religiosa é hindu.,Sua denominação religiosa é budista.,"Sua denominação religiosa é outra cristã (evangélica, pentecostal, igreja livre ou outra).",,,,
52,ro,"Romanian (Moldavian, Moldovan)",Nu aparții niciunei confesiuni religioase.,Confesiunea ta religioasă este romano-catolică.,Confesiunea ta religioasă este protestantă.,"Confesiunea dumneavoastră religioasă este ortodoxă (rusă, greacă sau altă).",Confesiunea ta religioasă este iudaică.,Confesiunea ta religioasă este musulmană.,Confesiunea ta religioasă este hindusă.,Confesiunea ta religioasă este budistă.,"Confesiunea dumneavoastră religioasă este altă creștină (evanghelică, penticostală, biserică liberă sau altă).",,,,
