,idx,lang,1,2,3,-1,-5,-3,-2
10,my,Burmese,သင့်အလုပ်လုပ်ကိုင်သော အလုပ်အမှုဆောင်ကဏ္ဍမှာ အစိုးရ သို့မဟုတ် ပြည်သူ့အဖွဲ့အစည်း ဖြစ်သည်။,သင့်အလုပ်လုပ်ကိုင်သော အလုပ်အကိုင်ကဏ္ဍမှာ ပုဂ္ဂလိကလုပ်ငန်း သို့မဟုတ် စက်မှုလုပ်ငန်းဖြစ်သည်။,သင်လုပ်ကိုင်သော အလုပ်အကိုင်ကဏ္ဍမှာ ပုဂ္ဂလိက အကျိုးအမြတ်မယူသော အဖွဲ့အစည်းဖြစ်သည်။,,,သင့်အလုပ်အကိုင်နယ်ပယ်အကြောင်း သို့မဟုတ် သင့်အလုပ်အကိုင်အတွေ့အကြုံမရှိခဲ့ဘူးဆိုတာကို မပြောနိုင်ပါ။,
11,ca,Catalan (Valencian),El sector d'ocupació en què treballes és el govern o una institució pública.,El sector d'ocupació en què treballes és el negoci privat o la indústria.,El sector d'ocupació en què treballes és una organització privada sense ànim de lucre.,,,No pots dir res sobre el teu sector d'ocupació o mai has tingut una feina.,
12,ceb,"Cebuano (Bisaya, Binisaya)",Ang sektor sa imong pagtrabaho kay gobyerno o pampublikong institusyon.,Ang sektor sa imong pagtrabaho kay pribadong negosyo o industriya.,Ang sektor sa imong pagtrabaho kay pribadong non-profit nga organisasyon.,,,Dili ka makasulti og bisan unsa bahin sa imong sektor sa trabahoan o wala ka gyud nakatrabaho.,
13,hr,Croatian,Sektor zaposlenja u kojem radite je vlada ili javna institucija.,Sektor zaposlenja u kojem radite je privatno poduzeće ili industrija.,Sektor zaposlenja u kojem radite je privatna neprofitna organizacija.,,,Ne možete reći ništa o svom sektoru zaposlenja ili nikada niste imali posao.,
14,cs,Czech,"Sektor zaměstnání, ve kterém pracujete, je vláda nebo veřejná instituce.","Sektor zaměstnání, ve kterém pracujete, je soukromý podnik nebo průmysl.","Sektor zaměstnání, ve kterém pracujete, je soukromá nezisková organizace.",,,"Nemůžete říci nic o svém odvětví zaměstnání, nebo jste nikdy neměli práci.",
15,da,Danish,"Sektor for beskæftigelse, du arbejder i, er regering eller offentlig institution.","Sektoren, du arbejder i, er privat erhvervsliv eller industri.","Sektoren, du arbejder i, er en privat non-profit organisation.",,,"Du kan ikke sige noget om din beskæftigelsessektor, eller du har aldrig haft et job.",
16,nl,Dutch (Flemish),Sector van tewerkstelling waarin u werkt is de overheid of een openbare instelling.,Sector van tewerkstelling waarin u werkt is privébedrijf of industrie.,"Sector van tewerkstelling waarin u werkt, is een private non-profitorganisatie.",,,Je mag niets zeggen over je sector van tewerkstelling of je hebt nooit een job gehad.,
17,en,English,Sector of employment you work in is government or public institution.,Sector of employment you work in is private business or industry.,Sector of employment you work in is private non-profit organization.,,,You cannot say anything about your sector of employment or you never had a job.,
18,es,Spanish (Castilian),Sector de empleo en el que trabajas es el gobierno o una institución pública.,El sector de empleo en el que trabajas es el negocio o la industria privada.,Sector de empleo en el que trabajas es organización privada sin ánimo de lucro.,,,No puedes decir nada sobre tu sector de empleo o nunca has tenido un trabajo.,
19,et,Estonian,"Töösektor, kus te töötate, on valitsus või avalik asutus.","Töösektor, kus te töötate, on eraettevõtlus või tööstus.","Töösektor, kus te töötate, on eraõiguslik mittetulundusühing.",,,Sa ei saa midagi öelda oma töösektori kohta või sul pole kunagi olnud tööd.,
20,fil,Filipino (Pilipino),Ang sektor ng trabaho mo ay sa gobyerno o pampublikong institusyon.,Sektor ng trabaho na iyong pinagtatrabahuhan ay pribadong negosyo o industriya.,Ang sektor ng trabaho mo ay pribadong non-profit na organisasyon.,,,Hindi mo maaaring sabihin ang anumang bagay tungkol sa iyong sektor ng trabaho o hindi ka pa nagkaroon ng trabaho.,
21,fi,Finnish,Työllistymissektorisi on hallitus tai julkinen laitos.,Työllistymissektorisi on yksityinen liiketoiminta tai teollisuus.,Työllistymissektorisi on yksityinen voittoa tavoittelematon organisaatio.,,,Et voi sanoa mitään työllistymissektoristasi tai et ole koskaan ollut töissä.,
22,fr,French,Secteur d'emploi dans lequel vous travaillez : gouvernement ou institution publique.,Secteur d'emploi dans lequel vous travaillez est le commerce ou l'industrie privée.,Secteur d'emploi dans lequel vous travaillez est une organisation privée à but non lucratif.,,,Vous ne pouvez rien dire sur votre secteur d'emploi ou vous n'avez jamais eu de travail.,
23,gl,Galician,Sector de emprego no que traballas é o goberno ou unha institución pública.,O sector de emprego no que traballas é o de empresas privadas ou industria.,Sector de emprego no que traballas é organización privada sen ánimo de lucro.,,,Non podes dicir nada sobre o teu sector de emprego ou nunca tiveches un traballo.,
24,ka,Georgian,"დასაქმების სექტორი, რომელშიც მუშაობთ, არის სახელმწიფო ან საჯარო დაწესებულება.","დასაქმების სექტორი, რომელშიც მუშაობთ, არის კერძო ბიზნესი ან ინდუსტრია.","დასაქმების სექტორი, რომელშიც მუშაობთ, არის კერძო არამომგებიანი ორგანიზაცია.",,,თქვენ არ შეგიძლიათ თქვათ არაფერი თქვენი დასაქმების სექტორის შესახებ ან არასდროს გქონიათ სამსახური.,
25,de,German,"Der Beschäftigungssektor, in dem Sie tätig sind, ist die Regierung oder eine öffentliche Institution.","Der Beschäftigungssektor, in dem Sie tätig sind, ist privates Gewerbe oder Industrie.","Der Beschäftigungssektor, in dem Sie tätig sind, ist eine private gemeinnützige Organisation.",,,Sie können nichts über Ihren Beschäftigungssektor sagen oder Sie hatten noch nie einen Job.,
26,el,"Greek, Modern",Τομέας απασχόλησης στον οποίο εργάζεστε είναι η κυβέρνηση ή δημόσιος φορέας.,Ο τομέας απασχόλησής σας είναι η ιδιωτική επιχείρηση ή η βιομηχανία.,Ο τομέας απασχόλησής σας είναι σε ιδιωτικό μη κερδοσκοπικό οργανισμό.,,,Δεν μπορείτε να πείτε τίποτα για τον τομέα απασχόλησής σας ή δεν είχατε ποτέ δουλειά.,
27,ha,Hausa,Sashen aikin da kake yi yana cikin gwamnati ko cibiyar jama'a.,Sashen aikin da kake yi yana cikin kasuwanci ko masana'antu masu zaman kansu.,Sashen aikin da kake yi yana cikin ƙungiyar masu zaman kansu mara riba.,,,Ba za ka iya cewa komai game da bangaren aikin ka ba ko kuma ba ka taɓa samun aiki ba.,
28,hil,Hiligaynon (Ilonggo),Sektor sang imo ginatrabahuan amo ang gobyerno ukon pampubliko nga institusyon.,Ang sektor sang imo ginatrabahuan amo ang pribado nga negosyo ukon industriya.,Ang sektor sang imo ginatrabahuan amo ang pribado nga non-profit nga organisasyon.,,,Indi mo masiling ang bisan ano parte sa imo sektor sang pagtrabaho ukon wala ka gid sang trabaho.,
29,hi,Hindi,"आप जिस रोजगार क्षेत्र में काम करते हैं, वह सरकारी या सार्वजनिक संस्था है।",आप जिस रोजगार क्षेत्र में काम करते हैं वह निजी व्यवसाय या उद्योग है।,आप जिस रोजगार क्षेत्र में काम करते हैं वह निजी गैर-लाभकारी संगठन है।,,,आप अपने रोजगार क्षेत्र के बारे में कुछ नहीं कह सकते या आपने कभी नौकरी नहीं की है।,
30,hu,Hungarian,"A foglalkoztatási szektor, amelyben dolgozik, a kormányzat vagy a közintézmény.","A foglalkoztatási ágazat, amelyben dolgozik, a magánvállalkozás vagy ipar.","A foglalkoztatási szektor, amelyben dolgozik, magán nonprofit szervezet.",,,"Nem mondhatsz semmit a foglalkoztatási szektorodról, vagy soha nem volt munkád.",
31,is,Icelandic,Geiri atvinnu sem þú starfar í er ríkisstjórn eða opinber stofnun.,Geiri atvinnu sem þú starfar í er einkarekstur eða iðnaður.,Geiri atvinnu sem þú starfar í er einkarekin sjálfseignarstofnun.,,,Þú getur ekki sagt neitt um starfsvettvang þinn eða þú hefur aldrei haft starf.,
32,ig,Igbo,Mpaghara ọrụ ị na-arụ bụ gọọmenti ma ọ bụ ụlọ ọrụ ọha.,Mpaghara ọrụ ị na-arụ bụ azụmahịa ma ọ bụ ụlọ ọrụ onwe.,Mpaghara ọrụ ị na-arụ bụ nzukọ na-abụghị nkeonwe na-abụghị uru.,,,Ị nweghị ike ikwu ihe ọ bụla gbasara ngalaba ọrụ gị ma ọ bụ na ị naghị enwe ọrụ.,
33,ilo,"Ilocano (Ilokano, Iloko)",Ang sektor ti pagtrabahuan mo ket gobyerno wenno pampubliko a institusyon.,Ang sektor ti pagtrabahuan mo ket pribado a negosyo wenno industriya.,Sektor ti pagtrabahuan mo ket pribado a saan a para iti ganansiya nga organisasyon.,,,Di mo mabalin nga ibaga ti aniaman maipanggep iti sektor ti pagtrabahuan wenno awan pay ti nagtrabahuan mo.,
34,id,Indonesian,Sektor pekerjaan Anda adalah pemerintahan atau lembaga publik.,Sektor pekerjaan Anda adalah bisnis atau industri swasta.,Sektor pekerjaan Anda adalah organisasi nirlaba swasta.,,,Anda tidak dapat mengatakan apa pun tentang sektor pekerjaan Anda atau Anda tidak pernah memiliki pekerjaan.,
35,it,Italian,Settore di impiego in cui lavori è il governo o un'istituzione pubblica.,Settore di impiego in cui lavori è il business privato o l'industria.,Settore di impiego in cui lavori è un'organizzazione privata senza scopo di lucro.,,,Non puoi dire nulla sul tuo settore di occupazione o non hai mai avuto un lavoro.,
36,ja,Japanese,あなたが働いている雇用分野は政府または公共機関です。,あなたが働いている雇用分野は民間企業または産業です。,あなたが働いている雇用分野は、民間の非営利団体です。,,,あなたの職種について何も言えない、または一度も仕事をしたことがない。,
37,kk,Kazakh,Сіздің жұмыс істейтін жұмыспен қамту секторыңыз - үкімет немесе мемлекеттік мекеме.,Сіздің жұмыс істейтін жұмыспен қамту секторыңыз - жеке бизнес немесе өнеркәсіп.,Сіздің жұмыс істейтін жұмыспен қамту секторыңыз жеке коммерциялық емес ұйым болып табылады.,,,Сіз өзіңіздің жұмыс саласыңыз туралы ештеңе айта алмайсыз немесе сіз ешқашан жұмыс істемегенсіз.,
38,ky,Kirghiz (Kyrgyz),Сиз иштеген иш тармагы - өкмөт же мамлекеттик мекеме.,Сиз иштеген эмгек сектору жеке бизнес же өнөр жай болуп саналат.,Сиз иштеген иш сектору жеке коммерциялык эмес уюм болуп саналат.,,,Сиз иштеген тармак жөнүндө эч нерсе айта албайсыз же сиз эч качан иштеген эмессиз.,
39,zh,Chinese,您工作的就业领域是政府或公共机构。,您工作的就业领域是私营企业或工业。,您工作的就业领域是私人非营利组织。,,,你不能透露任何关于你工作领域的信息，或者你从未有过工作。,
40,ko,Korean,귀하가 근무하는 고용 부문은 정부 또는 공공 기관입니다.,귀하가 근무하는 고용 부문은 민간 사업 또는 산업입니다.,귀하가 근무하는 고용 부문은 비영리 민간 단체입니다.,,,"귀하의 고용 분야에 대해 아무 말도 할 수 없거나, 직업을 가져본 적이 없습니다.",
41,lt,Macedonian,Секторот на вработување во кој работите е влада или јавна институција.,Секторот на вработување во кој работите е приватен бизнис или индустрија.,Секторот на вработување во кој работите е приватна непрофитна организација.,,,Не можете да кажете ништо за вашиот сектор на вработување или никогаш не сте имале работа.,
42,mk,Malay (Malaysian),Sektor pekerjaan anda adalah dalam kerajaan atau institusi awam.,Sektor pekerjaan anda adalah perniagaan atau industri swasta.,Sektor pekerjaan anda adalah organisasi bukan untung swasta.,,,Anda tidak boleh mengatakan apa-apa tentang sektor pekerjaan anda atau anda tidak pernah mempunyai pekerjaan.,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您工作的就业领域是政府或公共机构。,您工作的就业领域是私营企业或工业。,您工作的就业领域是私人非营利组织。,,,你不能谈论你的就业领域，或者你从未有过工作。,
44,mn,Mongolian,Таны ажилладаг салбар нь засгийн газар эсвэл олон нийтийн байгууллага.,Таны ажилладаг салбар нь хувийн бизнес эсвэл үйлдвэр юм.,Таны ажилладаг салбар нь хувийн ашгийн бус байгууллага юм.,,,Та ажил эрхэлдэг салбарынхаа талаар юу ч хэлж болохгүй эсвэл та хэзээ ч ажил хийж байгаагүй.,
45,cnr,Montenegrin,Sektor zapošljavanja u kojem radite je vlada ili javna institucija.,Sektor zapošljavanja u kojem radite je privatni biznis ili industrija.,Sektor zapošljavanja u kojem radite je privatna neprofitna organizacija.,,,Ne možete reći ništa o svom sektoru zaposlenja ili nikada niste imali posao.,
46,nd,North Ndebele,Umkhakha womsebenzi osebenzayo nguhulumende kumbe isikhungo somphakathi.,Umkhakha womsebenzi osebenzayo kusebhizinisini elizimeleyo kumbe imboni.,Umkhakha womsebenzi osebenzayo yi-nhlangano ezimele engenzi nzuzo.,,,Awungeke uthi lutho mayelana lomkhakha wakho womsebenzi kumbe kawuzange ube lomsebenzi.,
47,no,Norwegian,Sektoren du jobber i er offentlig eller statlig institusjon.,Sektoren du jobber i er privat virksomhet eller industri.,Sektoren du jobber i er privat ideell organisasjon.,,,"Du kan ikke si noe om din arbeidssektor, eller du har aldri hatt en jobb.",
48,om,Oromo,Kutaa hojii ati itti hojjettu mootummaa yookiin dhaabbata uummataa dha.,Kutaa hojii ati keessa jirtu hojii dhuunfaa yookiin industirii dha.,Kutaa hojii ati keessa jirtu dhaabbata dhuunfaa bu'aa hin barbaadneeti.,,,Afaan Oromootiin: Waa'ee kutaa hojii kee yookaan hojii hin qabne jechuu hin dandeessu.,
49,fa,"Persian (Farsi, Dari)",بخش شغلی که در آن کار می‌کنید دولت یا نهاد عمومی است.,بخش شغلی که در آن کار می‌کنید، کسب‌وکار یا صنعت خصوصی است.,بخش شغلی که در آن کار می‌کنید، سازمان غیرانتفاعی خصوصی است.,,,شما نمی‌توانید درباره بخش شغلی خود چیزی بگویید یا هرگز شغلی نداشته‌اید.,
50,pl,Polish,"Sektor zatrudnienia, w którym pracujesz, to rząd lub instytucja publiczna.","Sektor zatrudnienia, w którym pracujesz, to prywatny biznes lub przemysł.","Sektor zatrudnienia, w którym pracujesz, to prywatna organizacja non-profit.",,,Nie możesz powiedzieć nic o swoim sektorze zatrudnienia lub nigdy nie miałeś pracy.,
51,pt,Portuguese,Setor de emprego em que você trabalha é governo ou instituição pública.,Setor de emprego em que você trabalha é negócios ou indústria privada.,Setor de emprego em que você trabalha é organização privada sem fins lucrativos.,,,Você não pode dizer nada sobre seu setor de emprego ou nunca teve um emprego.,
52,ro,"Romanian (Moldavian, Moldovan)",Sectorul de activitate în care lucrați este guvernamental sau instituție publică.,Sectorul de angajare în care lucrați este afaceri private sau industrie.,Sectorul de angajare în care lucrați este organizație privată non-profit.,,,Nu poți spune nimic despre sectorul tău de angajare sau nu ai avut niciodată un loc de muncă.,
53,ru,Russian,"Сектор занятости, в котором вы работаете, - это государственное или общественное учреждение.","Сектор занятости, в котором вы работаете, - это частный бизнес или промышленность.","Сектор занятости, в котором вы работаете, - это частная некоммерческая организация.",,,Вы не можете ничего сказать о своем секторе занятости или никогда не работали.,
54,sr,Serbian,Sektor zapošljavanja u kojem radite je vlada ili javna institucija.,Sektor zapošljavanja u kojem radite je privatni biznis ili industrija.,Sektor zapošljavanja u kojem radite je privatna neprofitna organizacija.,,,Ne možete reći ništa o svom sektoru zaposlenja ili nikada niste imali posao.,
55,sn,Shona,Chikamu chebasa raunoshanda mauri ibazi rehurumende kana sangano revoruzhinji.,Chikamu chebasa raunoshanda mairi ibhizinesi rakazvimirira kana indasitiri.,Chikamu chebasa raunoshanda mairi iboka rakazvimirira risiri rekuwana purofiti.,,,Haugone kutaura chero chinhu nezve chikamu chako chebasa kana kuti hauna kumbobvira wawana basa.,
56,sk,Slovak,"Sektor zamestnania, v ktorom pracujete, je vláda alebo verejná inštitúcia.","Sektor zamestnania, v ktorom pracujete, je súkromný podnik alebo priemysel.","Sektor zamestnania, v ktorom pracujete, je súkromná nezisková organizácia.",,,Nemôžete povedať nič o svojom sektore zamestnania alebo ste nikdy nemali prácu.,
57,sl,Slovenian,"Sektor zaposlitve, v katerem delate, je vlada ali javna ustanova.","Sektor zaposlitve, v katerem delate, je zasebno podjetje ali industrija.","Sektor zaposlitve, v katerem delate, je zasebna neprofitna organizacija.",,,Ne morete povedati ničesar o svojem sektorju zaposlitve ali pa nikoli niste imeli službe.,
58,sw,Swahili,Sekta ya ajira unayofanya kazi ni serikali au taasisi ya umma.,Sekta ya ajira unayofanya kazi ni biashara binafsi au viwanda.,Sekta ya ajira unayofanya kazi ni shirika la kibinafsi lisilo la faida.,,,Huwezi kusema chochote kuhusu sekta yako ya ajira au hujawahi kuwa na kazi.,
59,sv,Swedish,Sektorn du arbetar inom är statlig eller offentlig institution.,Sektorn du arbetar inom är privat verksamhet eller industri.,Sektorn du arbetar inom är privat ideell organisation.,,,Du kan inte säga något om din arbetssektor eller så har du aldrig haft ett jobb.,
60,tg,Tajik,"Сектори шуғле, ки шумо дар он кор мекунед, ҳукумат ё муассисаи давлатӣ мебошад.","Сектори шуғле, ки шумо дар он кор мекунед, тиҷорати хусусӣ ё саноат аст.",Сектори шуғли шумо дар ташкилоти хусусии ғайритиҷоратӣ мебошад.,,,Шумо наметавонед дар бораи соҳаи кории худ чизе бигӯед ё ҳеҷ гоҳ кор надоштаед.,
61,tsg,Tausug,"In Tausug, the translation would be: ""An sektor sin pagtrabahuan mu in gobyerno o publiko nga institusyon.""",Ang sektor sin pagtrabahuan mo in pribado nga negosyo o industriya.,"In Tausug, the translation would be: ""An sektor sin pagtrabahuan mu in pribado nga di-kawman nga organisasyon.""",,,"Here is the translation of the text to Tausug: ""Dili kaw makagpagsabi hinunung sa imu sektor ha pagtrabahu o waray pa kaw nakapagtrabahu.""",
62,th,Thai (Central Thai),ภาคส่วนการจ้างงานที่คุณทำงานอยู่คือรัฐบาลหรือสถาบันสาธารณะ,ภาคส่วนการจ้างงานที่คุณทำงานอยู่คือธุรกิจเอกชนหรืออุตสาหกรรม,ภาคส่วนการจ้างงานที่คุณทำงานอยู่คือองค์กรเอกชนที่ไม่แสวงหาผลกำไร,,,คุณไม่สามารถพูดอะไรเกี่ยวกับภาคส่วนการจ้างงานของคุณหรือคุณไม่เคยมีงานทำ,
63,tig,Tigre,ክፍሊ ስራሕ ኣብዚ ዝተወሰነ መሰል መንግስቲ ወይ ህዝባዊ ትካል እዩ።,"The translation of the text ""Sector of employment you work in is private business or industry"" to Tigre is: ""ወዲ ስራሕ ኣብዚ ትሰርሕዎ ዝርከብ ወይ ኢንዱስትሪ ዝምልከት እዩ።""",ክፍሊ ስራሕ ኣብዚ ዝተወሰነ እዩ ፍልማዊ ዘይንብረት ውዳበ።,,,ንኽትዛረብ ዝኽእል ኣይትኽእል እዩ ብዛዕባ ዝተወደብካ ወይ ኣብ ሓደ ስራሕ ዘይኮነካ።,
64,uk,Ukrainian,"Сектор зайнятості, в якому ви працюєте, - це урядова або державна установа.","Сектор зайнятості, в якому ви працюєте, - це приватний бізнес або промисловість.","Сектор зайнятості, в якому ви працюєте, - це приватна неприбуткова організація.",,,Ви не можете сказати нічого про свій сектор зайнятості або ви ніколи не мали роботи.,
65,tr,Turkish,Çalıştığınız istihdam sektörü hükümet veya kamu kurumudur.,Çalıştığınız istihdam sektörü özel iş veya sanayidir.,Çalıştığınız istihdam sektörü özel kar amacı gütmeyen kuruluştur.,,,Çalışma sektörünüz hakkında bir şey söyleyemezsiniz ya da hiç işiniz olmadı.,
66,ur,Urdu,آپ جس شعبے میں کام کرتے ہیں وہ حکومت یا عوامی ادارہ ہے۔,آپ جس شعبے میں کام کرتے ہیں وہ نجی کاروبار یا صنعت ہے۔,آپ جس شعبے میں کام کرتے ہیں وہ نجی غیر منافع بخش تنظیم ہے۔,,,آپ اپنے شعبہ ملازمت کے بارے میں کچھ نہیں کہہ سکتے یا آپ کے پاس کبھی ملازمت نہیں تھی۔,
67,uz,Uzbek,Siz ishlayotgan ish sektori hukumat yoki davlat muassasasi hisoblanadi.,Siz ishlayotgan bandlik sektori xususiy biznes yoki sanoatdir.,Siz ishlayotgan bandlik sektori xususiy notijorat tashkilotidir.,,,Siz o'zingizning ish sektoringiz haqida hech narsa ayta olmaysiz yoki hech qachon ishga ega bo'lmagansiz.,
68,vi,Vietnamese,Lĩnh vực việc làm của bạn là chính phủ hoặc tổ chức công.,Lĩnh vực việc làm của bạn là kinh doanh hoặc công nghiệp tư nhân.,Lĩnh vực việc làm của bạn là tổ chức phi lợi nhuận tư nhân.,,,Bạn không thể nói bất cứ điều gì về lĩnh vực công việc của mình hoặc bạn chưa từng có việc làm.,
69,war,Waray,Sektor han imo gintratrabahuan amo an gobyerno o pampubliko nga institusyon.,An sektor han imo gintratrabahuan in pribado nga negosyo o industriya.,An sektor han imo gintratrabahuan amo an pribado nga non-profit nga organisasyon.,,,Diri ka makakasiring hin bisan ano mahitungod han imo sektor hin trabaho o waray ka gud trabaho.,
70,yo,Yoruba,Ẹka iṣẹ ti o n ṣiṣẹ ni ijọba tabi ile-iṣẹ gbogboogbo.,Ẹka iṣẹ ti o n ṣiṣẹ ninu rẹ jẹ iṣowo aladani tabi ile-iṣẹ.,Ẹka iṣẹ ti o n ṣiṣẹ ninu rẹ jẹ agbari aladani ti kii ṣe èrè.,,,O ko le sọ ohunkohun nipa eka iṣẹ rẹ tabi o ko ni iṣẹ rara.,
