idx,lang,30,40,100,140,170,200,230,245,250,290,310,350,370,410,460,490,500,520,550,610,630,680,710,720,740,790,810,820,850,860,890,910,950,1030,1040,1100,1240,1260,1270,1290,1360,1400,1490,1530,1540,1580,1600,1610,1670,1695,1700,1730,1740,1770,1850,1880,1890,1930,1980,1990,2000,2020,2030,2100,2103,2120,2126,2170,2180,2210,2220,2230,2270,2280,2310,2316,2390,2420,2480,2500,2530,2560,2657,2670,2720,2740,2760,2790,2810,2820,2840,2870,2920,2930,2940,2969,2981,2987,3020,3030,3100,3200,3234,3390,3420,3490,3510,3520,3530,3540,3550,3570,3580,3600,3610,3630,3670,3720,3780,3810,3830,3840,3860,3870,3890,3920,3992,4040,4060,4075,4110,4130,4150,4160,4190,4200,4210,4220,4230,4260,4280,4295,4310,4360,4365,4370,4380,4400,4410,4420,4430,4450,4460,4470,4520,4580,4610,4620
my,Burmese,,,,,,,,,,,,,,,,,,,,,,,,,သင်သည်အိမ်တွင်မြန်မာဘာသာစကားပြောဆိုပါ။,,,,,,,,,,,,,,,,,,,,,,,,,,,,သင်သည် အိမ်တွင် ဟိန္ဒူဘာသာစကား ပြောဆိုပါသည်။,,,,,,,,,,,,,,,,,,သင်သည် အိမ်တွင် စှီၤကညီကရင်ဘာသာစကား ပြောဆိုပါသည်။,,,,,,,,,,,,,,,,,,,,,,,,,,,,သင်သည် မိမိအိမ်တွင် မွန်ဘာသာစကား ပြောဆိုပါသည်။,,,,,,,,,,,,,,,,,,,,,သင်အိမ်မှာ ရှမ်းဘာသာစကား ပြောပါတယ်။,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca,Catalan (Valencian),,,,,,,,,,,,,,,,,,,,,,,,,,,Parles valencià a casa.,,,,,,,,,,,,Parles espanyol a casa.,,,Parles francès a casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parles portuguès a casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb,"Cebuano (Bisaya, Binisaya)",,,,,,,,,,,,,,,,,,,,,Nagsulti ka og pinulongang Blaan sa balay.,,,,,,,Nagstorya ka ug Cebuano nga pinulongan sa balay.,,,,,,,,,,,,,Nagasulti ka ug Filipino nga pinulongan sa balay.,,,,,,,,,,,Nagasulti ka ug Hiligaynon nga pinulongan sa balay.,,,,Nagasulti ka ug Ilocano nga pinulongan sa balay.,,,,,,,,,,Nagasulti ka ug sinultian nga Kamayo sa balay.,,,,,,,,,,,,,,,,,,,,,Nagasulti ka ug Maguindanao nga pinulongan sa balay.,,,,,,,Nagasulti ka ug Maranao nga pinulongan sa balay.,,,,,,,,,,,,,,,,,,,,,,,Nag-istorya ka ug pinulongang Sama-Bajaw sa balay.,,,,,,,,,,,,Nagasulti ka ug Surigaonon nga pinulongan sa balay.,,,,,,,,Nagasulti ka ug sinultian nga Tausug sa inyong balay.,,,,,,,,,,,,,,,,,,,,,
hr,Croatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs,Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mluvíte doma česky.,,Doma mluvíte anglicky.,,,,,,,Doma mluvíte německy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doma mluvíte romsky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doma mluvíte ukrajinsky.,,,,,,,,,
da,Danish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nl,Dutch (Flemish),,,,,Je spreekt thuis Arabisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Je spreekt thuis Engels.,,Je spreekt thuis Spaans.,,,Je spreekt thuis Frans.,,Je spreekt thuis Duits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,English,You speak Afar language at home.,You speak Afrikaans language at home.,You speak Albanian language at home.,You speak Amharic language at home.,You speak Arabic language at home.,You speak Armenian language at home.,You speak Assyrian Neo-Aramaic language at home.,You speak Auslan language at home.,You speak Avar language at home.,You speak Aymara language at home.,You speak Azerbaijani language at home.,You speak Balinese language at home.,You speak Balochi language at home.,You speak Banjar language at home.,You speak Batak language at home.,You speak Bengali language at home.,You speak Berber language at home.,You speak Betawi language at home.,You speak Bikol language at home.,You speak Romblomanon language at home.,You speak Blaan language at home.,You speak Brahui language at home.,You speak Buginese/Bugis language at home.,You speak Bulgarian language at home.,You speak Burmese language at home.,You speak Cantonese language at home.,You speak Catalan language at home.,You speak Cebuano language at home.,You speak Chavacano language at home.,You speak Chechen language at home.,You speak Karanga language at home.,You speak Ndau language at home.,You speak Chitoko language at home.,You speak Croatian language at home.,You speak Czech language at home.,You speak Danish language at home.,You speak English language at home.,You speak Esan language at home.,You speak Spanish language at home.,You speak Estonian language at home.,You speak Filipino language at home.,You speak French language at home.,You speak Garifuna language at home.,You speak German language at home.,You speak Gilaki language at home.,"You speak Greek, Modern language at home.",You speak Guarani language at home.,You speak Gujarati language at home.,You speak Hakka Chinese language at home.,"You speak Hassaniyya, Klem El Bithan language at home.",You speak Hausa language at home.,You speak Hiligaynon language at home.,You speak Hindi language at home.,You speak Hungarian language at home.,You speak Igbo language at home.,You speak ilo Ilocano language at home.,You speak Indonesian language at home.,You speak Pamiri languages language at home.,You speak Isoko language at home.,You speak Italian language at home.,You speak Itneg language at home.,You speak Japanese language at home.,You speak Javanese language at home.,You speak Kalanga language at home.,You speak Kalenjin language at home.,You speak Kamayo language at home.,You speak Kamba language at home.,You speak Kapampangan language at home.,You speak Kaqchikel language at home.,You speak Kashmiri language at home.,You speak Sgaw Karen language at home.,You speak Kazakh language at home.,You speak Central Khmer language at home.,You speak Kikuyu language at home.,You speak Kirghiz language at home.,You speak Kisii language at home.,You speak Korean language at home.,You speak Kurdish language at home.,You speak Lampung language at home.,You speak Lao language at home.,You speak Mayan languages language at home.,You speak Lezgian language at home.,You speak Luhya language at home.,You speak Lurish language at home.,"You speak Luo, Lwo language at home.",You speak Madurese language at home.,You speak Maguindanao language at home.,You speak Makassarese language at home.,You speak Malay language at home.,You speak Malayalam language at home.,You speak Maltese language at home.,You speak Standard Chinese language at home.,You speak Maori language at home.,You speak Maranao language at home.,You speak Marathi language at home.,You speak Maasai language at home.,You speak Meru language at home.,You speak Mijikenda language at home.,You speak Mon language at home.,You speak Mongolian language at home.,You speak Muong language at home.,You speak North Ndebele language at home.,You speak Northern Thai language at home.,You speak Oromo language at home.,You speak Palembang language at home.,You speak Persian language at home.,You speak Nigerian Pidgin language at home.,You speak Polish language at home.,You speak Portuguese language at home.,"You speak Punjabi, Panjabi language at home.","You speak Pashto, Pushto language at home.",You speak Quechua language at home.,"You speak Romanian, Moldavian, Moldovan language at home.",You speak Romansh language at home.,You speak Romani language at home.,You speak Russian language at home.,You speak Sama-Bajaw language at home.,You speak Saraiki language at home.,You speak Serbian language at home.,You speak Shan language at home.,You speak Shona language at home.,You speak Sidamo language at home.,You speak Sindhi language at home.,"You speak Sinhala, Sinhalese language at home.",You speak Slovak language at home.,You speak Somali language at home.,You speak Southern Thai language at home.,You speak Sundanese language at home.,You speak Surigaonon language at home.,You speak Swahili language at home.,You speak Swedish language at home.,You speak Tagalog language at home.,You speak Hokkien language at home.,You speak Tajik language at home.,You speak Tamil language at home.,You speak Tatar language at home.,You speak Tausug language at home.,You speak Telugu language at home.,You speak Thai language at home.,You speak Tigrinya language at home.,You speak Tiv language at home.,You speak Tonga language at home.,You speak Toraja-Saʼdan language at home.,You speak Tunisian Arabic language at home.,You speak Turkana language at home.,You speak Turkish language at home.,You speak Turkmen language at home.,"You speak Uighur, Uyghur language at home.",You speak Ukrainian language at home.,You speak Urdu language at home.,You speak Urhobo language at home.,You speak Uzbek language at home.,You speak ven Venda language at home.,You speak Vietnamese language at home.,You speak Waray language at home.,You speak Yakan language at home.,You speak Yiddish language at home.,You speak Yoruba language at home.
es,Spanish (Castilian),,,,,,,,,,Hablas el idioma aimara en casa.,,,,,,,,,,,,,,,,,Hablas catalán en casa.,,,,,,,,,,Hablas inglés en casa.,,Hablas español en casa.,,,Hablas francés en casa.,Hablas el idioma garífuna en casa.,Hablas alemán en casa.,,,Hablas el idioma guaraní en casa.,,,,,,,,,,,,,Hablas italiano en casa.,,,,,,,,,Hablas el idioma kaqchikel en casa.,,,,,,,,,,,,Hablas lenguas mayas en casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hablas portugués en casa.,,,Hablas el idioma quechua en casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et,Estonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fil,Filipino (Pilipino),,,,,,,,,,,,,,,,,,,Nagsasalita ka ng wikang Bikol sa bahay.,Nagsasalita ka ng wikang Romblomanon sa bahay.,,,,,,,,Nagsasalita ka ng wikang Cebuano sa bahay.,Nagsasalita ka ng wikang Chavacano sa bahay.,,,,,,,,,,,,Nagsasalita ka ng wikang Filipino sa bahay.,,,,,,,,,,,Nagsasalita ka ng wikang Hiligaynon sa bahay.,,,,Nagsasalita ka ng wikang Ilocano sa bahay.,,,,,Nagsasalita ka ng wikang Itneg sa bahay.,,,,,,,Nagsasalita ka ng wikang Kapampangan sa bahay.,,,,,,,,,,,,,,,,,,,Nagsasalita ka ng wikang Maguindanao sa bahay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagsasalita ka ng wikang Surigaonon sa bahay.,,,,,,,,Nagsasalita ka ng wikang Tausug sa bahay.,,,,,,,,,,,,,,,,,,Nagsasalita ka ng wikang Waray sa bahay.,Nagsasalita ka ng wikang Yakan sa bahay.,,
fi,Finnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr,French,,,,,Vous parlez arabe à la maison.,,,,,,,,,,,,,,,,,,,,,,Vous parlez catalan à la maison.,,,,,,,,,,Vous parlez anglais à la maison.,,Vous parlez espagnol à la maison.,,,Vous parlez français à la maison.,,,,,,,,,,,,,,,,,,Vous parlez italien à la maison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl,Galician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka,Georgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,German,,,,,Du sprichst zu Hause Arabisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sie sprechen zu Hause Deutsch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sie sprechen zu Hause Polnisch.,,,,,,,,Sie sprechen zu Hause Russisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Du sprichst zu Hause Türkisch.,,,,,,,,,,,,
el,"Greek, Modern",,,Μιλάτε αλβανικά στο σπίτι.,,,,,,,,,,,,,,,,,,,,,Μιλάτε βουλγαρικά στο σπίτι.,,,,,,,,,,,,,Μιλάς αγγλικά στο σπίτι.,,,,,,,,,Μιλάτε τη σύγχρονη ελληνική γλώσσα στο σπίτι.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Μιλάτε ουκρανικά στο σπίτι.,,,,,,,,,
ha,Hausa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kana magana da Hausa a gida.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kana magana da harshen Pijin na Najeriya a gida.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hil,Hiligaynon (Ilonggo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagasugid ka sang Hiligaynon nga lingwahe sa balay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi,Hindi,,,,,,,,,,,,,,,,आप घर पर बंगाली भाषा बोलते हैं।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,आप घर पर हिंदी भाषा बोलते हैं।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,आप घर पर मराठी भाषा बोलते हैं।,,,,,,,,,,,,,,,आप घर पर पंजाबी भाषा बोलते हैं।,,,,,,,,,,,,,,,,,,,,,,,,,,,,आप घर पर तेलुगु भाषा बोलते हैं।,,,,,,,,,,,,,,,,,,,,
hu,Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Icelandic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig,Igbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ị na-asụ bekee n'ụlọ.,,,,,,,,,,,,,,Ị na-asụ asụsụ Hausa n'ụlọ.,,,,Ị na-asụ asụsụ Igbo n'ụlọ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ị na-asụ asụsụ Yorùbá n'ụlọ.
ilo,"Ilocano (Ilokano, Iloko)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agsasaoka iti Ilocano a pagsasao iti balay.,,,,,Agsasaoka ti pammati Itneg iti balay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Indonesian,,,,,,,,,,,,Anda berbicara bahasa Bali di rumah.,,Anda berbicara bahasa Banjar di rumah.,Anda berbicara bahasa Batak di rumah.,,,Anda berbicara bahasa Betawi di rumah.,,,,,Anda berbicara dalam bahasa Bugis di rumah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anda berbicara bahasa Indonesia di rumah.,,,,,,Anda berbicara bahasa Jawa di rumah.,,,,,,,,,,,,,,,,Anda berbicara bahasa Lampung di rumah.,,,,,,,Anda berbicara bahasa Madura di rumah.,,Anda berbicara dalam bahasa Makassar di rumah.,,,,Anda berbicara bahasa Mandarin Standar di rumah.,,,,,,,,,,,,,Anda berbicara bahasa Palembang di rumah.,,,,,,,,,,,,,,,,,,,,,,,Anda berbicara bahasa Sunda di rumah.,,,,,,,,,,,,,,,Anda berbicara bahasa Toraja-Sa'dan di rumah.,,,,,,,,,,,,,,,
it,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あなたは家で英語を話します。,,,,,,,,,,,,,,,,,,,,,,,,,あなたは家で日本語を話します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk,Kazakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сіз үйде қазақ тілінде сөйлейсіз.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky,Kirghiz (Kyrgyz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сиз үйдө кыргыз тилинде сүйлөйсүз.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,你在家说粤语。,,,,,,,,,,,你在家说英语。,,,,,,,,,,,,你在家说客家话。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在家说马来语。,,,你在家说普通话。,,,,,,,,,,,,,,,,,你在家说葡萄牙语。,,,,,,,,,,,,,,,,,,,,,,,,你在家说闽南语。,,,,,,,,,,,,,,,,,,,,,,,,,
ko,Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,당신은 집에서 한국어를 사용합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk,Malay (Malaysian),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在家说英语。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在家说马来语。,,,你在家说普通话。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在家说泰米尔语。,,,,,,,,,,,,,,,,,,,,,,,
mn,Mongolian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Та гэртээ англи хэлээр ярьдаг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Та гэртээ казах хэлээр ярьдаг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Та гэртээ монгол хэлээр ярьдаг.,,,,,,,,,,,,,,,,Та гэртээ орос хэлээр ярьдаг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnr,Montenegrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nd,North Ndebele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ukhuluma isiNdebele saseNyakatho ekhaya.,,,,,,,,,,,,,,,,,,,Ukhuluma isiShona ekhaya.,,,,,,,,,,,,,,,,,,,,,Ukhuluma ulimi lwesiTonga ekhaya.,,,,,,,,,,,,,,,,
no,Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
