,idx,lang,0,1,2,3,4,5,6,7,8,9,10,11,-1,-5,-3,-2
10,my,Burmese,သင်အလုပ်မလုပ်ဖူးဘူး။,သင့်အလုပ်အကိုင်အုပ်စုမှာ ပရော်ဖက်ရှင်နယ်နှင့် နည်းပညာဆိုင်ရာဖြစ်ပါတယ် (ဥပမာ - ဆရာဝန်၊ ဆရာ၊ အင်ဂျင်နီယာ၊ အနုပညာရှင်၊ စာရင်းကိုင်၊ သူနာပြု)။,သင့်အလုပ်အကိုင်အုပ်စုသည် အဆင့်မြင့်အုပ်ချုပ်ရေးဖြစ်သည် (ဥပမာ - ဘဏ်လုပ်ငန်း၊ ကြီးမားသောစီးပွားရေးလုပ်ငန်းအမှုဆောင်၊ အဆင့်မြင့်အစိုးရအရာရှိ၊ သမဂ္ဂအရာရှိ)။,သင့်အလုပ်အကိုင်အုပ်စုမှာ ရုံးပိုင်းဆိုင်ရာ (ဥပမာ - အတွင်းရေးမှူး၊ ရုံးစာရေး၊ ရုံးမန်နေဂျာ၊ အစိုးရဝန်ထမ်း၊ စာရင်းကိုင်) ဖြစ်ပါတယ်။,သင့်အလုပ်အကိုင်အုပ်စုမှာ အရောင်းဖြစ်ပါတယ် (ဥပမာ - အရောင်းမန်နေဂျာ၊ ဆိုင်ပိုင်ရှင်၊ ဆိုင်အကူ၊ အာမခံကိုယ်စားလှယ်၊ ဝယ်ယူသူ)။,သင့်အလုပ်အကိုင်အုပ်စုမှာ ဝန်ဆောင်မှုဖြစ်ပါတယ် (ဥပမာ - စားသောက်ဆိုင်ပိုင်ရှင်၊ ရဲအရာရှိ၊ စားပွဲထိုးမ၊ ဆံပင်ညှပ်သူ၊ စောင့်ရှောက်သူ)။,"သင့်အလုပ်အကိုင်အုပ်စုမှာ ကျွမ်းကျင်လုပ်သားဖြစ်ပါတယ် (ဥပမာ - လုပ်သားကြီး, မော်တော်ယာဉ်ပြင်သမား, ပုံနှိပ်သမား, အပ်ချုပ်သမား, ကိရိယာနှင့် သေတ္တာပြုလုပ်သူ, လျှပ်စစ်သမား)။",သင့်အလုပ်အကိုင်အုပ်စုမှာ အတတ်ပညာအနည်းငယ်ရှိသော အလုပ်သမားဖြစ်ပါတယ် (ဥပမာ- အုတ်ခတ်သမား၊ ဘတ်စ်ကားမောင်းသူ၊ သစ်သီးဝလံထုပ်ပိုးသူ၊ တံခါးပြင်သမား၊ သံပြားလုပ်သား၊ ပေါင်မုန့်ဖုတ်သမား)။,သင့်အလုပ်အကိုင်အုပ်စုမှာ ကျွမ်းကျင်မှုမရှိသော အလုပ်သမား (ဥပမာ - အလုပ်သမား၊ လုပ်သား၊ ကျွမ်းကျင်မှုမရှိသော စက်ရုံအလုပ်သမား၊ သန့်ရှင်းရေးသမား) ဖြစ်ပါသည်။,သင့်အလုပ်အကိုင်အုပ်စုမှာ လယ်သမား (ဥပမာ - လယ်သမားအလုပ်သမား၊ ထွန်ယန္တရားမောင်းသူ) ဖြစ်ပါတယ်။,သင့်အလုပ်အကိုင်အုပ်စုမှာ လယ်ယာပိုင်ရှင် သို့မဟုတ် လယ်ယာမန်နေဂျာ ဖြစ်ပါတယ်။,,,,,
11,ca,Catalan (Valencian),Mai has tingut una feina.,"El teu grup ocupacional és professional i tècnic (per exemple: metge, professor, enginyer, artista, comptable, infermer).","El teu grup ocupacional és administratiu superior (per exemple: banquer, executiu en gran empresa, alt càrrec governamental, càrrec sindical).","El teu grup ocupacional és administratiu (per exemple: secretari, empleat, gestor d'oficina, funcionari, comptable).","El teu grup ocupacional és el de vendes (per exemple: gerent de vendes, propietari de botiga, dependent de botiga, agent d'assegurances, comprador).","El teu grup ocupacional és de serveis (per exemple: propietari de restaurant, agent de policia, cambrera, barber, cuidador).","El teu grup ocupacional és treballador qualificat (per exemple: capatàs, mecànic de motors, impressor, modista, fabricant d'eines i matrius, electricista).","El teu grup ocupacional és treballador semiespecialitzat (per exemple: paleta, conductor d'autobús, treballador de conservera, fuster, treballador de xapa, forner).","El teu grup ocupacional és treballador no qualificat (per exemple: peó, mosso, treballador no qualificat de fàbrica, netejador).","El teu grup ocupacional és treballador agrícola (per exemple: jornaler, conductor de tractor).",El teu grup ocupacional és propietari de granja o gestor de granja.,,,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Wala ka gyud nagka-trabaho.,"Ang imong propesyonal nga grupo kay propesyonal ug teknikal (pananglitan: doktor, magtutudlo, inhenyero, artista, accountant, nars).","Ang imong propesyonal nga grupo kay mas taas nga administratibo (pananglitan: bangkero, ehekutibo sa dagkong negosyo, taas nga opisyal sa gobyerno, opisyal sa unyon).","Ang imong propesyonal nga grupo kay clerical (pananglitan: sekretarya, klerk, tagdumala sa opisina, kawani sa gobyerno, tag-iya sa libro).","Ang imong propesyonal nga grupo kay sales (pananglitan: sales manager, tag-iya sa tindahan, katabang sa tindahan, ahente sa insurance, mamalitay).","Ang imong propesyonal nga grupo kay serbisyo (pananglitan: tag-iya sa restawran, opisyal sa pulis, waitress, barbero, tig-atiman).","Ang imong propesyonal nga grupo kay mga batid nga trabahante (pananglitan: kapatas, mekaniko sa motor, tig-imprinta, mananahi, tigbuhat og himan ug die, elektrisyan).","Ang imong grupo sa trabaho kay semi-skilled worker (pananglitan: panday sa mga bricks, drayber sa bus, trabahante sa pabrika sa pagkaon, karpintero, trabahante sa yero, magtitinapay).","Ang imong propesyonal nga grupo kay dili kwalipikadong trabahante (pananglitan: trabahador, kargador, dili kwalipikadong trabahante sa pabrika, tiglimpyo).","Ang imong propesyonal nga grupo kay mag-uuma (pananglitan: trabahante sa uma, drayber sa traktora).",Ang imong propesyonal nga grupo kay tag-iya sa uma o manedyer sa uma.,,,,,
13,hr,Croatian,Nikada nisi imao posao.,"Vaša zanimanja su profesionalna i tehnička (na primjer: liječnik, učitelj, inženjer, umjetnik, računovođa, medicinska sestra).","Vaša zanimanja skupina je viša administracija (na primjer: bankar, izvršni direktor u velikom poduzeću, visoki državni dužnosnik, sindikalni dužnosnik).","Vaša zanimanja skupina je administrativna (na primjer: tajnik, službenik, voditelj ureda, državni službenik, knjigovođa).","Vaša zanimanja su u prodaji (na primjer: voditelj prodaje, vlasnik trgovine, prodavač, osiguravatelj, kupac).","Vaša zanimanja spadaju u uslužnu djelatnost (na primjer: vlasnik restorana, policajac, konobarica, frizer, njegovatelj).","Vaša zanimanja skupina je kvalificirani radnik (na primjer: poslovođa, automehaničar, tiskar, krojačica, alatničar, električar).","Vaša zanimanja spadaju u skupinu polukvalificiranih radnika (na primjer: zidar, vozač autobusa, radnik u konzervi, stolar, radnik s limom, pekar).","Vaša zanimanja skupina je nekvalificirani radnik (na primjer: radnik, nosač, nekvalificirani tvornički radnik, čistač).","Vaša zanimanja skupina je poljoprivredni radnik (na primjer: poljoprivredni radnik, vozač traktora).",Vaša zanimanja skupina je vlasnik farme ili upravitelj farme.,,,,,
14,cs,Czech,Nikdy jsi neměl práci.,"Vaše profesní skupina je odborná a technická (například: lékař, učitel, inženýr, umělec, účetní, zdravotní sestra).","Vaše pracovní skupina je vyšší administrativa (například: bankéř, vedoucí pracovník ve velkém podniku, vysoký vládní úředník, odborový funkcionář).","Vaše pracovní skupina je administrativní (například: sekretářka, úředník, vedoucí kanceláře, státní zaměstnanec, účetní).","Vaše pracovní skupina je prodej (například: obchodní manažer, majitel obchodu, prodavač, pojišťovací agent, nákupčí).","Vaše profesní skupina je služby (například: majitel restaurace, policista, servírka, holič, pečovatel).","Vaše profesní skupina je kvalifikovaný pracovník (například: mistr, automechanik, tiskař, švadlena, nástrojář, elektrikář).","Vaše pracovní skupina je polokvalifikovaný pracovník (například: zedník, řidič autobusu, pracovník v konzervárně, tesař, klempíř, pekař).","Vaše pracovní skupina je nekvalifikovaný pracovník (například: dělník, nosič, nekvalifikovaný pracovník v továrně, uklízeč).","Vaše pracovní skupina je zemědělský pracovník (například: zemědělský dělník, řidič traktoru).",Vaše pracovní skupina je vlastník farmy nebo manažer farmy.,,,,,
15,da,Danish,Du har aldrig haft et job.,"Din erhvervsgruppe er professionel og teknisk (for eksempel: læge, lærer, ingeniør, kunstner, revisor, sygeplejerske).","Din erhvervsgruppe er højere administrativ (for eksempel: bankmand, leder i stor virksomhed, høj embedsmand i regeringen, fagforeningsleder).","Din erhvervsgruppe er kontorarbejde (for eksempel: sekretær, kontorassistent, kontorleder, embedsmand, bogholder).","Din erhvervsgruppe er salg (for eksempel: salgschef, butiksejer, butiksassistent, forsikringsagent, indkøber).","Din erhvervsgruppe er service (for eksempel: restauratørejer, politibetjent, servitrice, frisør, vicevært).","Din erhvervsgruppe er faglært arbejder (for eksempel: formand, automekaniker, trykker, syerske, værktøjs- og støbeformmager, elektriker).","Din erhvervsgruppe er semi-faglært arbejder (for eksempel: murer, buschauffør, konservesarbejder, tømrer, blikkenslager, bager).","Din erhvervsgruppe er ufaglært arbejder (for eksempel: arbejder, portør, ufaglært fabriksarbejder, rengøringsassistent).","Din erhvervsgruppe er landbrugsarbejder (for eksempel: landbrugsarbejder, traktorfører).",Din erhvervsgruppe er landbrugsejer eller landbrugsleder.,,,,,
16,nl,Dutch (Flemish),Je hebt nooit een job gehad.,"Uw beroepsgroep is professioneel en technisch (bijvoorbeeld: dokter, leraar, ingenieur, kunstenaar, accountant, verpleegkundige).","Uw beroepsgroep is hoger administratief (bijvoorbeeld: bankier, leidinggevende in een groot bedrijf, hoge overheidsfunctionaris, vakbondsfunctionaris).","Uw beroepsgroep is administratief (bijvoorbeeld: secretaresse, klerk, kantoorbeheerder, ambtenaar, boekhouder).","Uw beroepsgroep is verkoop (bijvoorbeeld: verkoopsmanager, winkelier, winkelbediende, verzekeringsagent, inkoper).","Uw beroepsgroep is dienstverlening (bijvoorbeeld: restauranteigenaar, politieagent, serveerster, kapper, verzorger).","Uw beroepsgroep is geschoolde arbeider (bijvoorbeeld: voorman, automonteur, drukker, naaister, gereedschaps- en matrijzenmaker, elektricien).","Uw beroepsgroep is semi-geschoolde arbeider (bijvoorbeeld: metselaar, buschauffeur, conservenarbeider, timmerman, plaatwerker, bakker).","Uw beroepsgroep is ongeschoolde arbeider (bijvoorbeeld: arbeider, drager, ongeschoolde fabrieksarbeider, schoonmaker).","Uw beroepsgroep is landbouwwerker (bijvoorbeeld: landbouwarbeider, tractorbestuurder).",Uw beroepsgroep is landbouwer of landbouwbeheerder.,,,,,
17,en,English,You never had a job.,"Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).","Your occupational group is higher administrative (for example: banker, executive in big business, high government official, union official).","Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).","Your occupational group is sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer).","Your occupational group is service (for example: restaurant owner, police officer, waitress, barber, caretaker).","Your occupational group is skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician).","Your occupational group is semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker).","Your occupational group is unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner).","Your occupational group is farm worker (for example: farm labourer, tractor driver).",Your occupational group is farm owner or farm manager.,,,,,
18,es,Spanish (Castilian),Nunca tuviste un trabajo.,"Tu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).","Tu grupo ocupacional es de alta administración (por ejemplo: banquero, ejecutivo en una gran empresa, alto funcionario del gobierno, dirigente sindical).","Tu grupo ocupacional es administrativo (por ejemplo: secretario, oficinista, gerente de oficina, funcionario, contable).","Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).","Tu grupo ocupacional es de servicios (por ejemplo: propietario de restaurante, oficial de policía, camarera, barbero, cuidador).","Tu grupo ocupacional es trabajador cualificado (por ejemplo: capataz, mecánico de motores, impresor, costurera, matricero, electricista).","Tu grupo ocupacional es trabajador semicalificado (por ejemplo: albañil, conductor de autobús, trabajador de conservera, carpintero, trabajador de chapa metálica, panadero).","Tu grupo ocupacional es trabajador no cualificado (por ejemplo: peón, mozo, trabajador no cualificado de fábrica, limpiador).","Tu grupo ocupacional es trabajador agrícola (por ejemplo: jornalero, conductor de tractor).",Su grupo ocupacional es propietario de una granja o administrador de una granja.,,,,,
19,et,Estonian,Sul ei ole kunagi olnud tööd.,"Teie ametirühm on professionaalne ja tehniline (näiteks: arst, õpetaja, insener, kunstnik, raamatupidaja, medõde).","Teie ametirühm on kõrgem administratiivne (näiteks: pankur, suurettevõtte juht, kõrge valitsusametnik, ametiühingu ametnik).","Teie ametirühm on kontoritöö (näiteks: sekretär, ametnik, kontorijuht, riigiametnik, raamatupidaja).","Teie ametirühm on müük (näiteks: müügijuht, poe omanik, poemüüja, kindlustusagent, ostja).","Teie ametirühm on teenindus (näiteks: restoraniomanik, politseinik, ettekandja, juuksur, hooldaja).","Teie ametirühm on oskustööline (näiteks: töödejuhataja, automehaanik, trükkal, õmbleja, tööriista- ja stantsivalmistaja, elektrik).","Teie ametirühm on poolkvalifitseeritud töötaja (näiteks: müürsepp, bussijuht, konservitehase töötaja, puusepp, plekksepp, pagar).","Teie ametirühm on oskusteta töötaja (näiteks: tööline, kandja, oskusteta tehase töötaja, koristaja).","Teie ametirühm on põllumajandustöötaja (näiteks: farmitööline, traktorijuht).",Teie ametirühm on talupidaja või talu juht.,,,,,
20,fil,Filipino (Pilipino),Hindi ka nagkaroon ng trabaho kailanman.,"Ang iyong pangkat ng trabaho ay propesyonal at teknikal (halimbawa: doktor, guro, inhinyero, artista, accountant, nars).","Ang iyong pangkat ng trabaho ay mas mataas na administratibo (halimbawa: bangkero, ehekutibo sa malaking negosyo, mataas na opisyal ng gobyerno, opisyal ng unyon).","Ang iyong pangkat ng trabaho ay klerikal (halimbawa: sekretarya, klerk, tagapamahala ng opisina, kawani ng gobyerno, tagapagtala ng aklat).","Ang iyong pangkat ng trabaho ay nasa pagbebenta (halimbawa: sales manager, may-ari ng tindahan, katulong sa tindahan, ahente ng seguro, mamimili).","Ang iyong pangkat ng trabaho ay serbisyo (halimbawa: may-ari ng restawran, pulis, waitress, barbero, tagapag-alaga).","Ang iyong pangkat ng trabaho ay bihasang manggagawa (halimbawa: kapatas, mekaniko ng sasakyan, tagapaglimbag, mananahi, tagagawa ng kasangkapan at hulmahan, elektrisyan).","Ang iyong pangkat ng trabaho ay semi-skilled worker (halimbawa: mason, drayber ng bus, manggagawa sa pabrika ng de-lata, karpintero, manggagawa sa yero, panadero).","Ang iyong pangkat ng trabaho ay hindi sanay na manggagawa (halimbawa: laborer, kargador, hindi sanay na manggagawa sa pabrika, tagalinis).","Ang iyong pangkat ng trabaho ay manggagawa sa bukid (halimbawa: manggagawa sa bukid, drayber ng traktora).",Ang iyong pangkat ng trabaho ay may-ari ng sakahan o tagapamahala ng sakahan.,,,,,
21,fi,Finnish,Et ole koskaan ollut töissä.,"Ammattiryhmäsi on ammattilainen ja tekninen (esimerkiksi: lääkäri, opettaja, insinööri, taiteilija, kirjanpitäjä, sairaanhoitaja).","Ammattiryhmäsi on ylempi hallinnollinen (esimerkiksi: pankkiiri, suuryrityksen johtaja, korkea valtion virkamies, ammattiliiton edustaja).","Ammattiryhmäsi on toimistotyö (esimerkiksi: sihteeri, virkailija, toimistopäällikkö, virkamies, kirjanpitäjä).","Ammattiryhmäsi on myynti (esimerkiksi: myyntipäällikkö, kauppias, myyjä, vakuutusasiamies, ostaja).","Ammattiryhmäsi on palvelu (esimerkiksi: ravintolan omistaja, poliisi, tarjoilija, parturi, talonmies).","Ammattiryhmäsi on ammattitaitoinen työntekijä (esimerkiksi: työnjohtaja, automekaanikko, painaja, ompelija, työkalujen ja muottien valmistaja, sähköasentaja).","Ammattiryhmäsi on puolikoulutettu työntekijä (esimerkiksi: muurari, bussinkuljettaja, säilyketyöntekijä, puuseppä, peltiseppä, leipuri).","Ammattiryhmäsi on kouluttamaton työntekijä (esimerkiksi: työmies, kantaja, kouluttamaton tehdastyöntekijä, siivooja).","Ammattiryhmäsi on maatilatyöntekijä (esimerkiksi: maataloustyöntekijä, traktorinkuljettaja).",Ammattiryhmäsi on maatilan omistaja tai maatilan johtaja.,,,,,
22,fr,French,Vous n'avez jamais eu de travail.,"Votre groupe professionnel est professionnel et technique (par exemple : médecin, enseignant, ingénieur, artiste, comptable, infirmier).","Votre groupe professionnel est celui de la haute administration (par exemple : banquier, cadre dirigeant dans une grande entreprise, haut fonctionnaire, responsable syndical).","Votre groupe professionnel est administratif (par exemple : secrétaire, employé de bureau, gestionnaire de bureau, fonctionnaire, comptable).","Votre groupe professionnel est la vente (par exemple : responsable des ventes, propriétaire de magasin, vendeur, agent d'assurance, acheteur).","Votre groupe professionnel est le secteur des services (par exemple : propriétaire de restaurant, policier, serveuse, coiffeur, gardien).","Votre groupe professionnel est celui des travailleurs qualifiés (par exemple : contremaître, mécanicien automobile, imprimeur, couturière, outilleur-ajusteur, électricien).","Votre groupe professionnel est celui des travailleurs semi-qualifiés (par exemple : maçon, conducteur de bus, ouvrier de conserverie, charpentier, tôlier, boulanger).","Votre groupe professionnel est travailleur non qualifié (par exemple : manœuvre, porteur, ouvrier non qualifié en usine, agent d'entretien).","Votre groupe professionnel est travailleur agricole (par exemple : ouvrier agricole, conducteur de tracteur).",Votre groupe professionnel est propriétaire ou gestionnaire de ferme.,,,,,
23,gl,Galician,Nunca tiveches un traballo.,"O teu grupo ocupacional é profesional e técnico (por exemplo: médico, profesor, enxeñeiro, artista, contable, enfermeira).","O teu grupo ocupacional é administrativo superior (por exemplo: banqueiro, executivo en grandes empresas, alto funcionario do goberno, funcionario sindical).","O teu grupo ocupacional é administrativo (por exemplo: secretario/a, empregado/a, xestor/a de oficina, funcionario/a, contable).","O teu grupo ocupacional é vendas (por exemplo: xestor de vendas, propietario de tenda, asistente de tenda, axente de seguros, comprador).","O teu grupo ocupacional é o de servizos (por exemplo: propietario de restaurante, axente de policía, camareira, barbeiro, coidador).","O teu grupo ocupacional é traballador cualificado (por exemplo: capataz, mecánico de motores, impresor, costureira, fabricante de ferramentas e matrices, electricista).","O teu grupo ocupacional é traballador semi-cualificado (por exemplo: albanel, condutor de autobús, traballador de conserveira, carpinteiro, traballador de chapa, panadeiro).","O teu grupo ocupacional é traballador non cualificado (por exemplo: xornaleiro, porteiro, traballador non cualificado de fábrica, limpador).","O teu grupo ocupacional é traballador agrícola (por exemplo: xornaleiro, condutor de tractor).",O teu grupo ocupacional é propietario de granxa ou xestor de granxa.,,,,,
24,ka,Georgian,თქვენ არასდროს გქონიათ სამსახური.,"თქვენი პროფესიული ჯგუფი არის პროფესიონალური და ტექნიკური (მაგალითად: ექიმი, მასწავლებელი, ინჟინერი, მხატვარი, ბუღალტერი, ექთანი).","თქვენი პროფესიული ჯგუფი არის მაღალი ადმინისტრაციული (მაგალითად: ბანკირი, დიდი ბიზნესის აღმასრულებელი, მაღალი სამთავრობო თანამდებობის პირი, პროფკავშირის წარმომადგენელი).","თქვენი პროფესიული ჯგუფი არის საოფისე (მაგალითად: მდივანი, კლერკი, ოფისის მენეჯერი, საჯარო მოხელე, ბუღალტერი).","თქვენი პროფესიული ჯგუფი არის გაყიდვები (მაგალითად: გაყიდვების მენეჯერი, მაღაზიის მფლობელი, მაღაზიის ასისტენტი, სადაზღვევო აგენტი, მყიდველი).","თქვენი პროფესიული ჯგუფი არის მომსახურება (მაგალითად: რესტორნის მფლობელი, პოლიციის ოფიცერი, მიმტანი, დალაქი, მომვლელი).","თქვენი პროფესიული ჯგუფი არის კვალიფიციური მუშაკი (მაგალითად: ბრიგადირი, ავტო მექანიკოსი, ბეჭდვის სპეციალისტი, მკერავი, ხელსაწყოებისა და ფორმების დამამზადებელი, ელექტრიკოსი).","თქვენი პროფესიული ჯგუფი ნახევრად კვალიფიციური მუშაკია (მაგალითად: აგურის მწარმოებელი, ავტობუსის მძღოლი, საკონსერვო ქარხნის მუშაკი, დურგალი, თუნუქის მუშაკი, მცხობელი).","თქვენი პროფესიული ჯგუფი არის კვალიფიკაციის არმქონე მუშაკი (მაგალითად: მუშა, მტვირთავი, კვალიფიკაციის არმქონე ქარხნის მუშაკი, დამლაგებელი).","თქვენი პროფესიული ჯგუფი არის ფერმის მუშაკი (მაგალითად: ფერმის მუშაკი, ტრაქტორის მძღოლი).",თქვენი პროფესიული ჯგუფი არის ფერმის მფლობელი ან ფერმის მენეჯერი.,,,,,
25,de,German,Du hattest nie einen Job.,"Ihre Berufsgruppe ist professionell und technisch (zum Beispiel: Arzt, Lehrer, Ingenieur, Künstler, Buchhalter, Krankenschwester).","Ihre Berufsgruppe ist höhere Verwaltung (zum Beispiel: Bankier, Führungskraft in einem großen Unternehmen, hoher Regierungsbeamter, Gewerkschaftsfunktionär).","Ihre Berufsgruppe ist kaufmännisch (zum Beispiel: Sekretär/in, Sachbearbeiter/in, Büroleiter/in, Beamter/Beamtin, Buchhalter/in).","Ihre Berufsgruppe ist der Vertrieb (zum Beispiel: Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsagent, Einkäufer).","Ihre Berufsgruppe ist der Dienstleistungssektor (zum Beispiel: Restaurantbesitzer, Polizist, Kellnerin, Friseur, Hausmeister).","Ihre Berufsgruppe ist Facharbeiter (zum Beispiel: Vorarbeiter, Kraftfahrzeugmechaniker, Drucker, Näherin, Werkzeugmacher, Elektriker).","Ihre Berufsgruppe ist der angelernte Arbeiter (zum Beispiel: Maurer, Busfahrer, Konservenarbeiter, Zimmermann, Blechschlosser, Bäcker).","Ihre Berufsgruppe ist ungelernter Arbeiter (zum Beispiel: Arbeiter, Träger, ungelernter Fabrikarbeiter, Reinigungskraft).","Ihre Berufsgruppe ist Landarbeiter (zum Beispiel: Landarbeiter, Traktorfahrer).",Ihre Berufsgruppe ist Landwirt oder Betriebsleiter.,,,,,
26,el,"Greek, Modern",Ποτέ δεν είχες δουλειά.,"Η επαγγελματική σας ομάδα είναι επαγγελματική και τεχνική (για παράδειγμα: γιατρός, δάσκαλος, μηχανικός, καλλιτέχνης, λογιστής, νοσηλευτής).","Η επαγγελματική σας ομάδα είναι ανώτερη διοικητική (για παράδειγμα: τραπεζίτης, στέλεχος σε μεγάλη επιχείρηση, υψηλόβαθμος κυβερνητικός αξιωματούχος, συνδικαλιστικός αξιωματούχος).","Η επαγγελματική σας ομάδα είναι διοικητική (για παράδειγμα: γραμματέας, υπάλληλος, διευθυντής γραφείου, δημόσιος υπάλληλος, λογιστής).","Η επαγγελματική σας ομάδα είναι οι πωλήσεις (για παράδειγμα: διευθυντής πωλήσεων, ιδιοκτήτης καταστήματος, υπάλληλος καταστήματος, ασφαλιστικός πράκτορας, αγοραστής).","Η επαγγελματική σας ομάδα είναι υπηρεσίες (για παράδειγμα: ιδιοκτήτης εστιατορίου, αστυνομικός, σερβιτόρα, κουρέας, φροντιστής).","Η επαγγελματική σας ομάδα είναι ειδικευμένος εργαζόμενος (για παράδειγμα: επιστάτης, μηχανικός αυτοκινήτων, τυπογράφος, μοδίστρα, κατασκευαστής εργαλείων και καλουπιών, ηλεκτρολόγος).","Η επαγγελματική σας ομάδα είναι ημι-ειδικευμένος εργαζόμενος (για παράδειγμα: χτίστης, οδηγός λεωφορείου, εργαζόμενος σε κονσερβοποιία, ξυλουργός, εργαζόμενος σε λαμαρίνες, αρτοποιός).","Η επαγγελματική σας ομάδα είναι ανειδίκευτος εργάτης (για παράδειγμα: εργάτης, αχθοφόρος, ανειδίκευτος εργάτης εργοστασίου, καθαριστής).","Η επαγγελματική σας ομάδα είναι εργαζόμενος σε αγρόκτημα (για παράδειγμα: εργάτης αγροκτήματος, οδηγός τρακτέρ).",Η επαγγελματική σας ομάδα είναι ιδιοκτήτης ή διαχειριστής αγροκτήματος.,,,,,
27,ha,Hausa,Ba ka taɓa samun aiki ba.,"Rukunkin aikinka na sana'a da fasaha ne (misali: likita, malami, injiniya, mai zane, akawu, nas).","Rukunkin aikinka yana cikin manyan shugabanni na gudanarwa (misali: ma'aikacin banki, babban jami'i a manyan kasuwanci, babban jami'in gwamnati, jami'in ƙungiya).","Rukunin aikinka yana cikin aikin ofis (misali: sakatare, ma'aikacin ofis, mai kula da ofis, ma'aikacin gwamnati, mai kula da lissafi).","Rukunkin aikinku shine tallace-tallace (misali: manajan tallace-tallace, mai mallakar shago, mataimakin shago, wakilin inshora, mai saye).","Rukunin aikinku shine sabis (misali: mai gidan abinci, ɗan sanda, mai hidima, mai aski, mai kula).","Rukunkin aikinku shi ne ma'aikaci mai ƙwarewa (misali: shugaban aiki, mai gyaran motoci, mai buga takardu, ma'aikaciyar dinki, mai kera kayan aiki da gyaran su, mai aikin lantarki).","Rukunin aikinka yana cikin ma'aikatan da ke da ƙwarewa kaɗan (misali: ma'aikacin gini, direban bas, ma'aikacin kamfani, kafinta, ma'aikacin ƙarfe, mai yin burodi).","Rukunin aikinku shi ne ma'aikaci mara kwarewa (misali: ɗan kwadago, mai ɗaukar kaya, ma'aikacin masana'anta mara kwarewa, mai tsabta).","Rukunkin aikinka shi ne ma'aikacin gona (misali: ma'aikacin gona, direban tarakta).",Rukunin aikinka shi ne mai gonaki ko mai kula da gonaki.,,,,,
28,hil,Hiligaynon (Ilonggo),Wala ka gid sang trabaho.,"Ang imo nga propesyonal nga grupo amo ang propesyonal kag teknikal (sanglit: doktor, maestro, inhenyero, artista, accountant, nars).","Ang imo nga grupo sa trabaho amo ang mas mataas nga administratibo (sanglit: bangkero, ehekutibo sa daku nga negosyo, mataas nga opisyal sa gobyerno, opisyal sang unyon).","Ang imo nga trabaho nga grupo amo ang clerical (sanglit: sekretarya, klerk, manedyer sa opisina, empleyado sa gobyerno, bookkeeper).","Ang imo nga grupo sa trabaho amo ang pagbaligya (sanglit: sales manager, tag-iya sang tindahan, asistente sa tindahan, ahente sang seguro, buyer).","Ang imo nga okupasyonal nga grupo amo ang serbisyo (sanglit: tag-iya sang restoran, pulis, waitress, barbero, tag-amuma).","Ang imo nga grupo sa trabaho amo ang mga abilidad nga trabahador (sanglit: kapatas, mekaniko sang motor, manug-imprinta, manugtahi, manug-ubra sang mga himan kag molde, elektrisyan).","Ang imo nga grupo sa trabaho amo ang semi-skilled worker (sanglit: panday, drayber sang bus, trabahador sa pabrika, karpintero, trabahador sa yero, panadero).","Ang imo nga trabaho nga grupo amo ang wala sang espesyalisasyon nga mga trabahador (sanglit: trabahador, kargador, wala sang espesyalisasyon nga trabahador sa pabrika, manuglimpyo).","Ang imo nga trabaho nga grupo amo ang mangunguma (sanglit: trabahador sa uma, drayber sang traktora).",Ang imo nga propesyonal nga grupo amo ang tag-iya sang uma o manedyer sang uma.,,,,,
