,idx,lang,1,2,3,4,5,6,-1,-5,-2
11,ca,Catalan (Valencian),El teu estat civil actual és casat/casada.,El teu estat civil actual és convivint com a casat.,El teu estat civil actual és divorciat/ada.,El teu estat civil actual és separat.,El teu estat civil actual és vidu/vidua.,El teu estat civil actual és solter.,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Ang imong kasamtangang kahimtang sa kaminyoon kay minyo.,Ang imong kasamtangang kahimtang sa kaminyoon kay nag-uban nga mura'g minyo.,Ang imong kasamtangang kahimtang sa kaminyoon kay diborsyado.,Ang imong kasamtangang kahimtang sa kaminyoon kay bulag.,Ang imong kasamtangang kahimtang sa kaminyoon kay balo.,Ang imong kasamtangang kahimtang sa kaminyoon kay wala pa nagminyo.,,,
13,hr,Croatian,Vaš trenutni bračni status je oženjen/udana.,Vaš trenutni bračni status je zajednički život kao u braku.,Vaš trenutni bračni status je razveden.,Vaš trenutni bračni status je razdvojen.,Vaš trenutni bračni status je udovac/udovica.,Vaš trenutni bračni status je samac.,,,
14,cs,Czech,Váš současný rodinný stav je ženatý/vdaná.,Váš současný rodinný stav je žijící společně jako manželé.,Váš současný rodinný stav je rozvedený.,Váš současný rodinný stav je odloučený.,Váš současný rodinný stav je ovdovělý.,Váš současný rodinný stav je svobodný.,,,
15,da,Danish,Din nuværende civilstand er gift.,Din nuværende civilstand er samlevende som gift.,Din nuværende civilstand er skilt.,Din nuværende civilstand er separeret.,Din nuværende civilstand er enkestand.,Din nuværende civilstand er ugift.,,,
16,nl,Dutch (Flemish),Uw huidige burgerlijke staat is gehuwd.,Uw huidige burgerlijke staat is samenwonen als gehuwd.,Uw huidige burgerlijke staat is gescheiden.,Uw huidige burgerlijke staat is gescheiden.,Uw huidige burgerlijke staat is weduwe/weduwnaar.,Uw huidige burgerlijke staat is ongehuwd.,,,
17,en,English,Your current marital status is married.,Your current marital status is living together as married.,Your current marital status is divorced.,Your current marital status is separated.,Your current marital status is widowed.,Your current marital status is single.,,,
18,es,Spanish (Castilian),Su estado civil actual es casado.,Su estado civil actual es convivir como casados.,Su estado civil actual es divorciado.,Su estado civil actual es separado.,Su estado civil actual es viudo/viuda.,Su estado civil actual es soltero.,,,
19,et,Estonian,Teie praegune perekonnaseis on abielus.,Teie praegune perekonnaseis on kooselus nagu abielus.,Teie praegune perekonnaseis on lahutatud.,Teie praegune perekonnaseis on lahus.,Teie praegune perekonnaseis on lesk.,Teie praegune perekonnaseis on vallaline.,,,
20,fil,Filipino (Pilipino),Ang iyong kasalukuyang katayuan sa pag-aasawa ay kasal.,Ang iyong kasalukuyang katayuan sa pag-aasawa ay nagsasama na parang mag-asawa.,Ang iyong kasalukuyang katayuan sa pag-aasawa ay diborsiyado.,Ang iyong kasalukuyang katayuan sa pag-aasawa ay hiwalay.,Ang iyong kasalukuyang katayuan sa pag-aasawa ay biyuda/biyudo.,Ang iyong kasalukuyang katayuan sa pag-aasawa ay walang asawa.,,,
21,fi,Finnish,Nykyinen siviilisäätysi on naimisissa.,Nykyinen siviilisäätysi on avoliitossa.,Nykyinen siviilisäätysi on eronnut.,Nykyinen siviilisäätysi on asumuserossa.,Nykyinen siviilisäätysi on leski.,Nykyinen siviilisäätysi on naimaton.,,,
22,fr,French,Votre statut matrimonial actuel est marié.,Votre statut matrimonial actuel est de vivre ensemble comme mariés.,Votre état civil actuel est divorcé.,Votre statut matrimonial actuel est séparé.,Votre état civil actuel est veuf/veuve.,Votre état civil actuel est célibataire.,,,
23,gl,Galician,O seu estado civil actual é casado.,O seu estado civil actual é convivir como casados.,O seu estado civil actual é divorciado.,O seu estado civil actual é separado.,O seu estado civil actual é viúvo/viúva.,O seu estado civil actual é solteiro.,,,
24,ka,Georgian,თქვენი ამჟამინდელი ოჯახური მდგომარეობა დაქორწინებულია.,თქვენი ამჟამინდელი ოჯახური მდგომარეობა არის თანაცხოვრება როგორც დაქორწინებულები.,თქვენი ამჟამინდელი ოჯახური მდგომარეობა განქორწინებულია.,თქვენი ამჟამინდელი ოჯახური მდგომარეობა არის განცალკევებული.,თქვენი ამჟამინდელი ოჯახური მდგომარეობა არის ქვრივი.,თქვენი ამჟამინდელი ოჯახური მდგომარეობა არის უცოლო/დაუქორწინებელი.,,,
25,de,German,Ihr aktueller Familienstand ist verheiratet.,Ihr aktueller Familienstand ist in eheähnlicher Gemeinschaft lebend.,Ihr aktueller Familienstand ist geschieden.,Ihr aktueller Familienstand ist getrennt.,Ihr aktueller Familienstand ist verwitwet.,Ihr aktueller Familienstand ist ledig.,,,
26,el,"Greek, Modern",Η τρέχουσα οικογενειακή σας κατάσταση είναι παντρεμένος/παντρεμένη.,Η τρέχουσα οικογενειακή σας κατάσταση είναι ότι ζείτε μαζί σαν παντρεμένοι.,Η τρέχουσα οικογενειακή σας κατάσταση είναι διαζευγμένος/διαζευγμένη.,Η τρέχουσα οικογενειακή σας κατάσταση είναι σε διάσταση.,Η τρέχουσα οικογενειακή σας κατάσταση είναι χήρος/χήρα.,Η τρέχουσα οικογενειακή σας κατάσταση είναι ανύπαντρος/ανύπαντρη.,,,
27,ha,Hausa,Matsayin aurenka na yanzu shi ne aure.,Matsayin auratayya na yanzu shine kuna zaune tare kamar ma'aurata.,Matsayin aurenka na yanzu shi ne saki.,Matsayin aurenka na yanzu shine rabuwa.,Matsayin aurenka na yanzu shi ne maraya.,Matsayin auranka na yanzu shi ne mara aure.,,,
28,hil,Hiligaynon (Ilonggo),Ang imo kasamtangan nga kahimtang sa pag-asawahay amo ang kasado.,Ang imo subong nga kahimtangan sa pag-asawahay amo ang pag-upod nga daw kasado.,Ang imo kasamtangan nga kahimtangan sa pag-asawa amo ang pagka-divorced.,Ang imo nga kasamtangan nga kahimtangan sa pag-asawa amo ang nagbulag.,Ang imo kasamtangan nga kahimtang sa pag-asawa amo ang balo.,Ang imo kasamtangan nga kahimtangan sa pag-asawa amo ang pagka-single.,,,
29,hi,Hindi,आपकी वर्तमान वैवाहिक स्थिति विवाहित है।,आपकी वर्तमान वैवाहिक स्थिति विवाहित के रूप में साथ रहना है।,आपकी वर्तमान वैवाहिक स्थिति तलाकशुदा है।,आपकी वर्तमान वैवाहिक स्थिति अलग है।,आपकी वर्तमान वैवाहिक स्थिति विधवा है।,आपकी वर्तमान वैवाहिक स्थिति अविवाहित है।,,,
30,hu,Hungarian,Jelenlegi családi állapota házas.,"Jelenlegi családi állapota: élettársi kapcsolatban él, mint házas.",Jelenlegi családi állapota elvált.,Jelenlegi családi állapota külön élő.,Jelenlegi családi állapota özvegy.,Jelenlegi családi állapota egyedülálló.,,,
31,is,Icelandic,Núverandi hjúskaparstaða þín er giftur/gift.,Núverandi hjúskaparstaða þín er að búa saman eins og gift.,Núverandi hjúskaparstaða þín er fráskilin.,Núverandi hjúskaparstaða þín er skilin að borði og sæng.,Núverandi hjúskaparstaða þín er ekkja/ekkill.,Núverandi hjúskaparstaða þín er einhleyp/ur.,,,
32,ig,Igbo,Ọnọdụ gị ugbu a n'alụmdi na nwunye bụ ịlụ di ma ọ bụ nwunye.,Ọnọdụ alụmdi na nwunye gị ugbu a bụ ibi ọnụ dị ka di na nwunye.,Ọnọdụ alụmdi na nwunye gị ugbu a bụ ịgba alụkwaghịm.,Ọnọdụ alụmdi na nwunye gị ugbu a bụ ịgba alụkwaghịm.,Ọnọdụ alụmdi na nwunye gị ugbu a bụ onye di/nwunye nwụrụ anwụ.,Ọnọdụ alụmdi na nwunye gị ugbu a bụ onye dịghị di ma ọ bụ nwunye.,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Ti kasasaadmo iti panagkasar kaatiddog ket kasado.,Ti kasasaadyo iti panagkatulagan ket agtutulnog kayo a kas maysa a magasawa.,Ti kasasaad ti pannakasawa yo ita ket nadissolisyon.,Ti kasasaad ti pannakasikog mo ita ket nagtalinaed.,Ti kasasaad ti panagkasar mo ita ket balo.,Ti kasasaadmo iti panagkasar kaatiddog ket agmaymaysa.,,,
34,id,Indonesian,Status pernikahan Anda saat ini adalah menikah.,Status pernikahan Anda saat ini adalah tinggal bersama sebagai pasangan menikah.,Status pernikahan Anda saat ini adalah bercerai.,Status pernikahan Anda saat ini adalah berpisah.,Status pernikahan Anda saat ini adalah janda/duda.,Status pernikahan Anda saat ini adalah lajang.,,,
35,it,Italian,Il tuo stato civile attuale è sposato.,Il tuo attuale stato civile è convivente come sposato.,Il tuo stato civile attuale è divorziato.,Il tuo attuale stato civile è separato.,Il tuo stato civile attuale è vedovo/vedova.,Il tuo stato civile attuale è single.,,,
36,ja,Japanese,あなたの現在の婚姻状況は既婚です。,現在の婚姻状況は、事実婚です。,あなたの現在の婚姻状況は離婚しています。,あなたの現在の婚姻状況は別居中です。,あなたの現在の婚姻状況は、未亡人です。,あなたの現在の婚姻状況は独身です。,,,
37,kk,Kazakh,Сіздің қазіргі отбасылық жағдайыңыз - үйленген.,Сіздің қазіргі отбасылық жағдайыңыз - некеде тұрғандай бірге тұру.,Сіздің қазіргі отбасылық жағдайыңыз - ажырасқан.,Сіздің қазіргі отбасылық жағдайыңыз - ажырасқан.,Сіздің қазіргі отбасылық жағдайыңыз - жесір.,Сіздің қазіргі отбасылық жағдайыңыз - бойдақ.,,,
38,ky,Kirghiz (Kyrgyz),Учурдагы нике абалыңыз - үйлөнгөн/турмушка чыккан.,"Сиздин учурдагы нике абалыңыз - чогуу жашоо, никеде тургандай.",Учурдагы нике абалыңыз ажырашкан.,Сиздин учурдагы нике абалыңыз бөлүнгөн.,Сиздин учурдагы үй-бүлөлүк абалыңыз жесир.,Учурдагы нике абалыңыз бойдок.,,,
39,zh,Chinese,您的当前婚姻状况是已婚。,您的当前婚姻状况是同居如婚。,您的当前婚姻状况是离婚。,您的当前婚姻状况是分居。,您的当前婚姻状况是丧偶。,您的当前婚姻状况是单身。,,,
40,ko,Korean,귀하의 현재 결혼 상태는 기혼입니다.,현재 귀하의 혼인 상태는 사실혼 관계입니다.,귀하의 현재 결혼 상태는 이혼입니다.,귀하의 현재 결혼 상태는 별거 중입니다.,귀하의 현재 결혼 상태는 사별입니다.,귀하의 현재 결혼 상태는 미혼입니다.,,,
41,lt,Macedonian,Вашиот тековен брачен статус е во брак.,Вашиот тековен брачен статус е живеење заедно како во брак.,Вашиот тековен брачен статус е разведен/разведена.,Вашиот тековен брачен статус е разделен.,Вашиот тековен брачен статус е вдовец/вдовица.,Вашиот тековен брачен статус е сингл.,,,
42,mk,Malay (Malaysian),Status perkahwinan anda sekarang ialah berkahwin.,Status perkahwinan anda sekarang adalah tinggal bersama sebagai suami isteri.,Status perkahwinan anda sekarang ialah bercerai.,Status perkahwinan anda sekarang ialah berpisah.,Status perkahwinan anda sekarang ialah balu/duda.,Status perkahwinan anda sekarang adalah bujang.,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您的当前婚姻状况是已婚。,您目前的婚姻状况是同居如婚。,您的当前婚姻状况是离婚。,您目前的婚姻状况是分居。,您的当前婚姻状况是丧偶。,您的当前婚姻状况是单身。,,,
44,mn,Mongolian,Таны одоогийн гэр бүлийн байдал гэрлэсэн.,Таны одоогийн гэр бүлийн байдал нь гэрлэсэн мэт хамтран амьдарч байна.,Таны одоогийн гэр бүлийн байдал салсан.,Таны одоогийн гэр бүлийн байдал салсан байна.,Таны одоогийн гэр бүлийн байдал бэлэвсэн.,Таны одоогийн гэр бүлийн байдал ганц бие.,,,
45,cnr,Montenegrin,Vaš trenutni bračni status je u braku.,Vaš trenutni bračni status je zajednički život kao u braku.,Vaš trenutni bračni status je razveden.,Vaš trenutni bračni status je razdvojen.,Vaš trenutni bračni status je udovac/udovica.,Vaš trenutni bračni status je slobodan.,,,
46,nd,North Ndebele,Isimo somtshado sakho samanje sitshadile.,Isimo somtshado sakho samanje yikuhlala ndawonye njengabaganeneyo.,Isimo somtshado wakho samanje yikuhlukanisa.,Isimo somtshado wakho okwamanje yikuhlukanisa.,Isimo somtshado wakho samanje yikuba umfelokazi.,Isimo somtshado sakho samanje yikuba ungatshadanga.,,,
47,no,Norwegian,Din nåværende sivilstatus er gift.,Din nåværende sivilstatus er samboende som gift.,Din nåværende sivilstatus er skilt.,Din nåværende sivilstatus er separert.,Din nåværende sivilstatus er enke/enkemann.,Din nåværende sivilstatus er singel.,,,
48,om,Oromo,Haala fuudhaa heerumaa amma jiru: Ni heerumte.,Haala fuudhaa heerumaa amma keessa jirtan walitti jiraachuu akka warra heerumaniiti.,Haala fuudhaa heerumaa amma keessa jirtan hiikaman.,Haala fuudhaa heerumaa amma keessa jirtan addaan baʼuudha.,Haala fuudhaa heerumaa amma keessa jirtan niitii/abbaa manaa dhabuu dha.,Haala fuudhaa heerumaa kee ammaa: hin fuudhin/hin heerumin.,,,
49,fa,"Persian (Farsi, Dari)",وضعیت تأهل کنونی شما متأهل است.,وضعیت تأهل فعلی شما زندگی مشترک به عنوان متأهل است.,وضعیت تأهل فعلی شما مطلقه است.,وضعیت تأهل کنونی شما جدا شده است.,وضعیت تأهل فعلی شما بیوه است.,وضعیت تأهل فعلی شما مجرد است.,,,
50,pl,Polish,Twój obecny stan cywilny to żonaty/zamężna.,Twój obecny stan cywilny to życie razem jak małżeństwo.,Twój obecny stan cywilny to rozwiedziony/rozwiedziona.,Twój obecny stan cywilny to separacja.,Twój obecny stan cywilny to wdowiec/wdowa.,Twój obecny stan cywilny to singiel.,,,
51,pt,Portuguese,Seu estado civil atual é casado.,Seu estado civil atual é vivendo junto como casado.,Seu estado civil atual é divorciado.,Seu estado civil atual é separado.,Seu estado civil atual é viúvo(a).,Seu estado civil atual é solteiro.,,,
52,ro,"Romanian (Moldavian, Moldovan)",Statutul dumneavoastră marital actual este căsătorit/căsătorită.,Statutul dumneavoastră marital actual este de a locui împreună ca și cum ați fi căsătoriți.,Statutul dumneavoastră marital actual este divorțat.,Statutul dumneavoastră marital actual este separat.,Statutul dumneavoastră marital actual este văduv(ă).,Statutul dumneavoastră marital actual este necăsătorit.,,,
53,ru,Russian,Ваше текущее семейное положение — женат/замужем.,Ваше текущее семейное положение — совместное проживание в браке.,Ваше текущее семейное положение - разведён(а).,Ваше текущее семейное положение: в разводе.,Ваше текущее семейное положение - вдовец/вдова.,Ваше текущее семейное положение — не замужем/не женат.,,,
54,sr,Serbian,Vaš trenutni bračni status je u braku.,Vaš trenutni bračni status je zajednički život kao u braku.,Vaš trenutni bračni status je razveden.,Vaš trenutni bračni status je razdvojen.,Vaš trenutni bračni status je udovac/udovica.,Vaš trenutni bračni status je samac.,,,
55,sn,Shona,Chimiro chako chewanano parizvino chakaroora/chakaroorwa.,Chimiro chako chemuchato parizvino chiri kugara pamwe chete semurume nemukadzi.,Chimiro chako chewanano parizvino ndechekurambana.,Chimiro chako chemuchato parizvino chakaparadzana.,Chimiro chako chemuchato parizvino uri chirikadzi.,Chimiro chako chemuchato parizvino hachina kuroorwa.,,,
56,sk,Slovak,Váš súčasný rodinný stav je ženatý/vydatá.,Váš súčasný rodinný stav je spolužitie ako manželia.,Váš súčasný rodinný stav je rozvedený.,Váš súčasný rodinný stav je odlúčený.,Váš súčasný rodinný stav je vdovec/vdova.,Váš súčasný rodinný stav je slobodný.,,,
57,sl,Slovenian,Vaš trenutni zakonski status je poročen.,Vaš trenutni zakonski status je skupno življenje kot poročena.,Vaš trenutni zakonski status je ločen.,Vaš trenutni zakonski status je ločen.,Vaš trenutni zakonski status je vdovec/vdova.,Vaš trenutni zakonski stan je samski.,,,
58,sw,Swahili,Hali yako ya ndoa kwa sasa ni umeoa/umeolewa.,Hali yako ya ndoa kwa sasa ni kuishi pamoja kama mume na mke.,Hali yako ya ndoa kwa sasa ni talaka.,Hali yako ya ndoa kwa sasa ni kutengana.,Hali yako ya ndoa kwa sasa ni mjane.,Hali yako ya ndoa kwa sasa ni mseja.,,,
59,sv,Swedish,Din nuvarande civilstånd är gift.,Din nuvarande civilstånd är sammanboende som gifta.,Din nuvarande civilstånd är skild.,Din nuvarande civilstånd är separerad.,Din nuvarande civilstånd är änka/änkling.,Din nuvarande civilstånd är singel.,,,
60,tg,Tajik,Вазъи ҳозираи оилавии шумо оиладор аст.,Вазъи кунунии оилавии шумо зиндагӣ кардан ҳамчун оиладор аст.,Вазъи кунунии оилавии шумо талоқшуда аст.,Вазъи ҳозираи оилавии шумо ҷудошуда аст.,Вазъи кунунии оилавии шумо бева мебошад.,Вазъи оилавии ҳозираи шумо муҷаррад аст.,,,
61,tsg,Tausug,"In Tausug, the translation would be: ""In kaw kasal na.""","In Tausug, the translation would be: ""In kaw sahal sin pagminyo, nag-uupod kamo nga sug kinasal.""","In Tausug, the translation would be: ""In kaw magtutul idtu in kahanian mu.""","In Tausug, the translation would be: ""In kaw magtiyaun sin asawa.""","In Tausug, the translation would be: ""In kaw kasalukuyan nga kahimtang ha pag-asawa in biyuda/biyudo.""","In Tausug, the translation would be: ""In kaw kasaluyan nga kahimtangan in kaw waray asawa.""",,,
62,th,Thai (Central Thai),สถานภาพการสมรสปัจจุบันของคุณคือแต่งงานแล้ว,สถานภาพการสมรสปัจจุบันของคุณคืออยู่ร่วมกันเหมือนคู่สมรส,สถานภาพการสมรสปัจจุบันของคุณคือหย่าร้าง,สถานภาพการสมรสปัจจุบันของคุณคือแยกกันอยู่,สถานภาพการสมรสปัจจุบันของคุณคือหม้าย,สถานภาพการสมรสปัจจุบันของคุณคือโสด,,,
63,tig,Tigre,ኩሉ ኩልኩም ኣብ ምርዕው ምስዓብ ኣለኩም።,Your current marital status is living together as married.,ኩሉ ናይ ምሕረት ነገር ዝርከብ እዩ፡ ዝተፈርቅካ እዮም።,Your current marital status is separated. (ብትግረን ትርጉም የለን።),ኩሉ ዘሎ ሕደትካ ምስራሕ እዩ።,ኩሉ ናይ ምሕዝነት ኩነታትካ ሓደ እዩ።,,,
64,uk,Ukrainian,Ваш поточний сімейний стан - одружений.,Ваш поточний сімейний стан: проживання разом як одружені.,Ваш поточний сімейний стан - розлучений.,Ваш поточний сімейний стан - розлучені.,Ваш поточний сімейний стан — вдівець/вдова.,Ваш теперішній сімейний стан - неодружений.,,,
65,tr,Turkish,Mevcut medeni durumunuz evli.,Mevcut medeni durumunuz evli gibi birlikte yaşamaktır.,Mevcut medeni durumunuz boşanmış.,Mevcut medeni durumunuz ayrılmış.,Mevcut medeni durumunuz dul.,Mevcut medeni durumunuz bekâr.,,,
66,ur,Urdu,آپ کی موجودہ ازدواجی حیثیت شادی شدہ ہے۔,آپ کی موجودہ ازدواجی حیثیت شادی شدہ کے طور پر ساتھ رہنا ہے۔,آپ کی موجودہ ازدواجی حیثیت طلاق یافتہ ہے۔,آپ کی موجودہ ازدواجی حیثیت علیحدہ ہے۔,آپ کی موجودہ ازدواجی حیثیت بیوہ ہے۔,آپ کی موجودہ ازدواجی حیثیت غیر شادی شدہ ہے۔,,,
67,uz,Uzbek,Sizning hozirgi oilaviy holatingiz turmush qurgan.,Sizning hozirgi oilaviy holatingiz turmush qurgan holda birga yashashdir.,Sizning hozirgi oilaviy holatingiz ajrashgan.,Sizning hozirgi oilaviy holatingiz ajrashgan.,Sizning hozirgi oilaviy holatingiz - beva.,Sizning hozirgi oilaviy holatingiz - bo'ydoq.,,,
68,vi,Vietnamese,Tình trạng hôn nhân hiện tại của bạn là đã kết hôn.,Tình trạng hôn nhân hiện tại của bạn là sống chung như vợ chồng.,Tình trạng hôn nhân hiện tại của bạn là đã ly hôn.,Tình trạng hôn nhân hiện tại của bạn là ly thân.,Tình trạng hôn nhân hiện tại của bạn là góa.,Tình trạng hôn nhân hiện tại của bạn là độc thân.,,,
69,war,Waray,An imo yana nga kahimtang ha pag-asawa in kasal.,An imo yana nga kahimtang ha pag-asawa amo an pag-ukoy nga sugad nga mag-asawa.,An imo yana nga kahimtang ha pag-asawa in ginbulag.,An imo yana nga kahimtang ha pag-asawa in bulag.,An imo yana nga sityo han pag-asawa amo an balo.,An imo yana nga kahimtang ha pag-asawa amo an pagka-single.,,,
70,yo,Yoruba,Ipo igbeyawo rẹ lọwọlọwọ ni iyawo.,Ipo igbeyawo rẹ lọwọlọwọ ni gbigbe pọ bi ẹni ti o ti ṣe igbeyawo.,Ipo rẹ lọwọlọwọ ninu igbeyawo ni pe ẹ ti kọ silẹ.,Ipo rẹ lọwọlọwọ ninu igbeyawo jẹ yapa.,Ipo igbeyawo rẹ lọwọlọwọ ni ajakunrin tabi ajakobirin.,Ipo rẹ lọwọlọwọ ninu igbeyawo ni alailẹgbẹ.,,,
